"","player","age","season","Transfer"
"121","Jan Mlakar",21,"2018-2019",1
"122","Carlton Morris",24,"2018-2019",1
"123","Jack Robinson",26,"2018-2019",1
"124","Mark Duffy",34,"2018-2019",1
"125","Jake Wright",33,"2018-2019",1
"126","Borja Bastón",27,"2018-2019",1
"127","Andre Green",21,"2018-2019",1
"128","Scott Hogan",27,"2018-2019",1
"129","James Chester",31,"2018-2019",1
"130","Sergi Palencia",23,"2018-2019",1
"131","Gelson Martins",24,"2018-2019",1
"132","Ferland Mendy",24,"2018-2019",1
"133","Alphonse Areola",26,"2018-2019",1
"134","Allan Nyom",31,"2018-2019",1
"135","Fayçal Fajr",31,"2018-2019",1
"136","Aymen Abdennour",29,"2018-2019",1
"137","Jules Koundé",20,"2018-2019",1
"138","Rony Lopes",23,"2018-2019",1
"139","Lucas Ocampos",24,"2018-2019",1
"140","Diego Carlos",26,"2018-2019",1
"141","Sergio Rico",26,"2018-2019",1
"142","Oliver Burke",22,"2018-2019",1
"143","Martin Braithwaite",28,"2018-2019",1
"144","Giovani Lo Celso",23,"2018-2019",1
"145","Nabil Fekir",26,"2018-2019",1
"146","Sanjin Prcic",25,"2018-2019",1
"147","Pape Cheikh",22,"2018-2019",1
"148","Robert Mazan",25,"2018-2019",1
"149","Claudio Beauvue",31,"2018-2019",1
"150","Brandon Thomas",24,"2018-2019",1
"151","Ante Budimir",27,"2018-2019",1
"152","Yannis Salibur",28,"2018-2019",1
"153","Pablo Chavarría",31,"2018-2019",1
"154","Aleksandar Trajkovski",26,"2018-2019",1
"155","Chema",27,"2018-2019",1
"156","Peter Etebo",24,"2018-2019",1
"157","Ibrahim Amadou",26,"2018-2019",1
"158","Gil Dias",23,"2018-2019",1
"159","Marco Varnier",21,"2018-2019",1
"160","Bruno Martella",26,"2018-2019",1
"161","Mario Balotelli",29,"2018-2019",1
"162","Guglielmo Vicario",22,"2018-2019",1
"163","Lukas Lerager",25,"2018-2019",1
"164","Antonio Barreca",24,"2018-2019",1
"165","Samuel Di Carmine",30,"2018-2019",1
"166","Davide Faraoni",27,"2018-2019",1
"167","Adrien Rabiot",24,"2018-2019",1
"168","Gianluigi Buffon",41,"2018-2019",1
"169","Panagiotis Tachtsidis",28,"2018-2019",1
"170","Biagio Meccariello",28,"2018-2019",1
"171","Gabriel",26,"2018-2019",1
"172","Antonino Gallo",19,"2018-2019",1
"173","Simone Lo Faso",21,"2018-2019",1
"174","Andrea Rispoli",30,"2018-2019",1
