"player","season","fouls_drawn_to_shot","def_action_to_shot","goal_creating_action","comp_live_pass_to_goal","comp_dead_pass_to_goal","takeon_to_goal","shot_to_goal_shot","fouls_drawn_to_goal","def_action_to_goal","carries","tot_carry_distance","prog_carry_distance","prog_carries","carries_into_final_third","carries_into_box","fail_to_control","lose_control_due_to_tkl","successfully_rec_pass"
"Callum Robinson","2018-2019",2,1,11,5,1,1,4,0,0,674,4405,2134,74,39,26,54,61,724
"Luke Freeman","2018-2019",11,2,14,6,6,0,2,0,0,1090,7678,3867,131,100,19,125,114,1158
"Ben Osborn","2018-2019",5,2,8,4,2,0,0,1,1,957,4590,2101,33,34,4,64,41,1146
"Ezri Konsa","2018-2019",2,1,3,3,0,0,0,0,0,1396,7549,4948,42,20,0,21,13,1612
"Anwar El Ghazi","2018-2019",5,1,10,8,0,1,0,1,0,697,5376,2897,117,74,39,70,41,870
"Björn Engels","2018-2019",1,0,2,2,0,0,0,0,0,855,5075,3441,20,9,0,9,3,956
"Gary Gardner","2018-2019",6,5,12,6,0,0,5,0,1,653,3075,1366,26,31,1,37,20,785
"Jack Clarke","2018-2019",1,0,4,2,0,1,1,0,0,264,2129,1185,43,15,23,27,11,303
"Cameron Carter-Vickers","2018-2019",0,0,1,1,0,0,0,0,0,883,4043,2518,6,4,0,4,3,1302
"Kieran Dowell","2018-2019",2,2,2,2,0,0,0,0,0,178,1250,756,28,24,4,10,12,244
"Jarrod Bowen","2018-2019",12,2,14,6,1,1,4,2,0,1007,7863,3325,123,73,60,110,96,1058
"Josh Brownhill","2018-2019",1,2,9,8,0,0,1,0,0,1114,6246,2846,51,52,8,45,25,1466
"Nahki Wells","2018-2019",10,2,16,7,0,2,5,2,0,712,3728,1277,53,42,27,99,48,841
"Jack Robinson","2018-2019",2,1,4,3,1,0,0,0,0,939,5212,2891,47,36,2,37,20,1076
"Mark Duffy","2018-2019",3,0,19,11,0,5,1,2,0,1066,6019,3093,102,74,34,56,61,1419
"Scott Hogan","2018-2019",0,0,1,1,0,0,0,0,0,56,315,155,10,4,7,7,6,81
"James Chester","2018-2019",0,0,0,0,0,0,0,0,0,628,3259,2029,3,0,0,10,4,889
"Sergi Palencia","2018-2019",0,1,6,5,0,1,0,0,0,677,3246,1932,49,31,7,18,13,766
"Gelson Martins","2018-2019",5,0,5,3,0,1,1,0,0,493,3299,1832,69,40,16,48,23,521
"Ferland Mendy","2018-2019",3,0,6,6,0,0,0,0,0,1452,8128,4734,111,84,21,36,37,1513
"Fayçal Fajr","2018-2019",14,2,13,6,4,0,1,2,0,1283,5983,2672,39,39,2,47,35,1574
"Jules Koundé","2018-2019",0,0,2,1,1,0,0,0,0,1377,8121,5465,32,15,1,15,9,1478
"Rony Lopes","2018-2019",2,3,4,2,1,0,0,0,1,540,3745,2000,74,53,21,49,23,591
"Lucas Ocampos","2018-2019",11,2,10,7,0,1,1,1,0,887,6117,2658,85,62,29,98,57,920
"Diego Carlos","2018-2019",1,1,2,1,0,0,1,0,0,1099,4796,3022,20,15,2,16,2,1235
"Martin Braithwaite","2018-2019",6,0,1,1,0,0,0,0,0,273,1670,624,24,16,13,46,17,309
"Nabil Fekir","2018-2019",10,0,13,11,0,1,0,1,0,1000,5558,2505,62,53,26,53,44,1091
"Claudio Beauvue","2018-2019",4,0,4,0,0,2,1,1,0,298,1375,544,22,18,6,56,16,426
"Ante Budimir","2018-2019",1,0,4,2,0,0,1,1,0,265,1330,499,24,15,10,47,29,339
"Yannis Salibur","2018-2019",4,0,6,2,2,0,0,2,0,303,2280,1267,57,26,18,20,29,336
