"player","season","fouls_drawn_to_shot","def_action_to_shot","goal_creating_action","comp_live_pass_to_goal","comp_dead_pass_to_goal","takeon_to_goal","shot_to_goal_shot","fouls_drawn_to_goal","def_action_to_goal","carries","tot_carry_distance","prog_carry_distance","prog_carries","carries_into_final_third","carries_into_box","fail_to_control","lose_control_due_to_tkl","successfully_rec_pass"
"Efthimis Koulouris","2019-2020",3,0,4,4,0,0,0,0,0,372,1421,506,17,9,5,39,23,493
"Jordan Amavi","2019-2020",1,2,2,1,1,0,0,0,0,788,4457,2377,62,54,9,32,19,835
"Ignatius Ganago","2019-2020",7,1,5,2,0,0,0,3,0,322,1863,924,33,20,19,40,16,388
"Otávio","2019-2020",0,2,6,4,0,1,1,0,0,1040,4043,1806,13,16,2,18,13,1243
"Boulaye Dia","2019-2020",3,0,4,2,0,1,0,1,0,317,2130,916,32,29,21,58,31,364
"Bakaye Dibassy","2019-2020",1,1,0,0,0,0,0,0,0,565,2816,1454,15,6,0,16,2,660
"Junior Sambia","2019-2020",4,0,1,1,0,0,0,0,0,169,1101,605,14,14,0,13,7,193
"Yacine Adli","2019-2020",2,2,7,3,1,2,1,0,0,485,2646,1418,38,31,3,27,24,537
"Wahbi Khazri","2019-2020",3,0,4,2,2,0,0,0,0,295,1987,990,39,28,14,45,27,365
"Yoann Court","2019-2020",5,3,10,6,2,0,1,0,1,422,2145,1054,33,25,2,43,28,503
"Romain Thomas","2019-2020",0,0,2,2,0,0,0,0,0,551,2301,1216,2,1,1,5,1,844
"Xavier Chavalerin","2019-2020",1,3,5,3,2,0,0,0,0,611,2541,1151,17,17,5,33,10,799
"Nayef Aguerd","2019-2020",0,0,1,1,0,0,0,0,0,352,1490,859,0,0,0,4,3,467
"Thierry Ambrose","2019-2020",1,1,0,0,0,0,0,0,0,185,1476,713,31,24,7,24,23,219
"Colin Dagba","2019-2020",0,1,1,1,0,0,0,0,0,271,1506,833,24,14,5,7,5,313
"Pablo","2019-2020",0,0,0,0,0,0,0,0,0,1074,4579,2247,6,6,0,11,8,1192
"Aaron Leya Iseka","2019-2020",4,0,2,0,0,0,1,1,0,170,936,383,11,8,9,24,23,217
"Mathieu Cafaro","2019-2020",4,0,4,0,2,0,1,1,0,292,1801,898,34,22,9,23,11,314
"Marshall Munetsi","2019-2020",0,3,2,2,0,0,0,0,0,241,1617,796,19,12,0,17,9,281
"Haris Belkebla","2019-2020",2,1,2,2,0,0,0,0,0,615,3159,1457,18,16,1,22,19,704
"Stephy Mavididi","2019-2020",2,0,1,0,0,1,0,0,0,346,2844,1282,54,40,20,52,42,401
"Nolan Roux","2019-2020",0,1,3,1,0,0,2,0,0,107,472,166,5,2,3,16,8,142
"Zeki Çelik","2019-2020",1,0,5,2,1,1,0,1,0,787,4469,2467,54,47,8,31,19,903
"Yunis Abdelhamid","2019-2020",2,0,1,1,0,0,0,0,0,1031,5773,3542,21,12,0,15,5,1216
"Abdoul Kader Bamba","2019-2020",10,0,6,2,1,1,1,1,0,665,4718,2564,82,66,25,46,31,705
"Cesc Fàbregas","2019-2020",0,0,9,8,1,0,0,0,0,412,1571,812,11,13,2,7,6,644
"Arturo Calabresi","2019-2020",2,1,2,1,0,0,1,0,0,449,2269,1248,20,16,4,20,14,550
"Christophe Hérelle","2019-2020",0,0,3,3,0,0,0,0,0,535,2371,1525,11,7,2,3,3,766
"Aleksandr Golovin","2019-2020",4,0,11,8,2,1,0,0,0,853,6127,3222,93,70,23,46,14,903
"Jordan Ferri","2019-2020",3,0,1,1,0,0,0,0,0,498,2732,1462,32,22,4,21,28,599
"Andrei Girotto","2019-2020",0,0,0,0,0,0,0,0,0,776,3624,1993,9,8,1,13,1,883
"Fabien Centonze","2019-2020",5,2,5,4,0,0,0,0,1,681,5556,3062,97,62,14,31,24,798
"Ruben Aguilar","2019-2020",2,1,4,4,0,0,0,0,0,534,2573,1482,32,19,4,9,11,581
"Lebo Mothiba","2019-2020",0,0,3,3,0,0,0,0,0,217,1136,445,23,10,11,36,13,266
"Gelson Martins","2019-2020",2,1,6,4,0,0,2,0,0,677,5355,3073,112,56,38,42,33,689
"Gaëtan Belaud","2019-2020",0,0,0,0,0,0,0,0,0,199,782,352,3,9,0,3,0,248
"Daniel Congré","2019-2020",1,0,3,2,0,0,1,0,0,518,2665,1783,21,8,1,14,2,648
"Haitam Aleesami","2019-2020",0,1,3,3,0,0,0,0,0,573,2813,1426,21,17,4,23,22,756
"Layvin Kurzawa","2019-2020",2,1,3,1,0,1,0,1,0,412,1488,748,15,16,2,14,15,539
"Jonathan Ikone","2019-2020",3,0,13,11,0,2,0,0,0,666,4251,1981,67,55,30,74,49,748
"Kylian Mbappé","2019-2020",7,0,12,9,0,2,0,1,0,609,4649,2754,115,58,66,47,26,798
"Juan Bernat","2019-2020",2,0,5,4,0,0,0,1,0,718,3380,1838,44,36,7,18,15,924
"Ander Herrera","2019-2020",1,1,2,2,0,0,0,0,0,310,1336,720,7,12,1,7,2,439
"Mauro Icardi","2019-2020",3,0,9,4,0,2,1,2,0,125,458,184,9,3,8,15,4,176
"Alexander Djiku","2019-2020",1,1,1,1,0,0,0,0,0,883,3743,2088,6,8,2,11,12,935
"Lucas Deaux","2019-2020",1,0,2,2,0,0,0,0,0,362,1738,826,14,10,4,31,6,472
"Mounir Chouiar","2019-2020",2,0,2,1,1,0,0,0,0,512,3920,1946,67,42,20,49,36,527
"Ludovic Ajorque","2019-2020",3,0,12,7,0,1,2,2,0,376,1503,584,21,15,8,53,15,553
"Charles Abi","2019-2020",4,1,2,1,0,0,0,1,0,108,680,346,12,4,5,26,7,144
"Christophe Jallet","2019-2020",0,0,2,2,0,0,0,0,0,240,1125,630,12,10,0,12,3,331
"Ibrahima Niane","2019-2020",5,0,0,0,0,0,0,0,0,263,1770,734,19,26,4,37,20,315
"Gaëtan Paquiez","2019-2020",0,0,1,1,0,0,0,0,0,316,1723,991,20,19,2,21,6,395
"Jason Denayer","2019-2020",0,0,2,2,0,0,0,0,0,1209,6763,4168,15,11,0,7,3,1354
"El Bilal Touré","2019-2020",2,0,2,0,0,0,1,1,0,57,402,151,7,6,2,12,6,87
"Jean-Eudes Aholou","2019-2020",2,4,1,0,0,0,0,0,1,225,1210,572,14,9,1,19,7,267
"Angelo Fulgini","2019-2020",9,0,6,3,0,2,1,0,0,670,3883,2212,56,39,10,42,37,851
"Lois Diony","2019-2020",2,0,0,0,0,0,0,0,0,110,550,190,15,5,6,19,14,138
"Enock Kwateng","2019-2020",0,1,2,1,0,0,1,0,0,375,1513,833,15,15,0,17,12,431
"Mamadou Fofana","2019-2020",0,0,0,0,0,0,0,0,0,415,1930,895,5,8,1,4,5,554
"Jérémy Gélin","2019-2020",0,0,0,0,0,0,0,0,0,436,1745,741,0,2,1,1,0,431
"Arnaud Souquet","2019-2020",7,0,3,3,0,0,0,0,0,566,3164,1729,44,43,5,28,14,697
"Florent Balmont","2019-2020",0,0,0,0,0,0,0,0,0,162,711,302,7,2,1,7,6,206
"Renaud Cohade","2019-2020",0,1,1,0,1,0,0,0,0,351,2062,1077,27,24,0,15,13,487
"Aurélien Tchouaméni","2019-2020",1,1,1,0,0,0,0,1,0,503,2241,1101,9,10,2,9,11,575
"Stéphane Bahoken","2019-2020",1,1,2,2,0,0,0,0,0,195,966,260,16,6,8,37,23,243
"Dénys Bain","2019-2020",0,0,0,0,0,0,0,0,0,471,2044,935,1,2,0,1,6,550
"Martin Terrier","2019-2020",2,0,5,2,1,0,0,2,0,317,1789,934,33,24,11,22,8,380
"Thilo Kehrer","2019-2020",0,0,2,2,0,0,0,0,0,281,1284,679,13,11,0,1,1,327
"Sofiane Alakouch","2019-2020",1,1,2,2,0,0,0,0,0,454,2492,1477,32,22,8,21,7,488
"Arnaud Lusamba","2019-2020",3,0,4,4,0,0,0,0,0,284,1143,532,7,18,2,22,19,393
"Paul Lasne","2019-2020",3,1,2,2,0,0,0,0,0,431,1965,839,14,9,1,25,16,606
"Dimitri Payet","2019-2020",8,0,13,7,3,2,1,0,0,917,6126,3300,95,66,35,45,50,959
"Gaël Kakuta","2019-2020",4,1,8,7,0,1,0,0,0,661,3937,1613,63,43,16,90,79,852
"Lionel Carole","2019-2020",2,0,2,1,0,0,0,1,0,516,2772,1573,32,27,2,14,10,584
"Loïc Rémy","2019-2020",2,0,4,2,0,1,1,0,0,170,960,436,19,13,6,23,9,241
"Irvin Cardona","2019-2020",3,1,5,3,0,1,1,0,0,377,2188,1053,37,26,11,52,31,483
"Harold Moukoudi","2019-2020",0,0,0,0,0,0,0,0,0,340,1985,1164,10,2,0,7,3,452
"Stanley N'Soki","2019-2020",1,0,2,2,0,0,0,0,0,604,3412,2107,25,18,1,12,5,809
"Ludovic Blas","2019-2020",2,3,6,4,0,1,0,0,1,607,4578,1875,53,61,15,59,39,698
"Mathieu Dossevi","2019-2020",1,0,4,3,0,1,0,0,0,614,4128,1973,91,56,14,53,34,635
"Moussa Doumbia","2019-2020",6,0,3,2,0,0,0,1,0,644,4883,2528,102,67,31,67,32,695
"Thomas Basila","2019-2020",0,0,0,0,0,0,0,0,0,112,494,247,4,2,0,2,1,174
"Habib Diallo","2019-2020",5,0,9,5,0,3,1,0,0,379,2300,802,35,28,22,87,33,557
"Pedro Mendes","2019-2020",0,1,0,0,0,0,0,0,0,468,2598,1671,19,7,1,6,4,549
"Gabriel Magalhães","2019-2020",1,1,1,1,0,0,0,0,0,999,5173,3319,25,12,0,10,6,1171
"Senou Coulibaly","2019-2020",0,0,0,0,0,0,0,0,0,274,1342,737,2,1,0,3,2,319
"Neymar","2019-2020",11,0,18,14,0,3,0,1,0,867,6326,3307,110,90,24,73,46,1042
"Youcef Atal","2019-2020",2,1,3,1,0,1,0,1,0,440,3580,1900,54,43,27,35,18,496
"Loïc Perrin","2019-2020",0,0,0,0,0,0,0,0,0,654,3280,1945,5,7,0,2,4,799
"Ghislain Konan","2019-2020",2,1,4,3,0,0,0,1,0,528,3347,1986,56,30,3,24,18,617
"Téji Savanier","2019-2020",6,4,8,4,3,0,0,1,0,635,3591,1860,28,27,1,41,16,731
"Romain Perraud","2019-2020",0,1,3,3,0,0,0,0,0,661,3504,1796,45,23,5,36,19,763
"Wesley Lautoa","2019-2020",1,2,2,2,0,0,0,0,0,627,3449,1995,9,4,0,14,6,735
"Myziane Maolida","2019-2020",3,0,2,2,0,0,0,0,0,276,1786,1045,36,27,14,17,20,310
"Bruno Ecuele Manga","2019-2020",0,0,1,0,0,0,1,0,0,872,3845,1993,5,5,1,13,11,994
"Idrissa Gana Gueye","2019-2020",0,3,5,5,0,0,0,0,0,1048,4935,2532,37,35,6,25,13,1405
"Alexis Claude-Maurice","2019-2020",7,0,5,4,0,1,0,0,0,548,3757,2095,64,63,16,55,37,648
"Opa Nguette","2019-2020",5,3,7,3,0,3,0,1,0,525,3786,1663,67,45,18,60,52,579
"Julien Faussurier","2019-2020",2,2,9,5,2,0,1,0,1,675,3180,1798,36,22,3,16,14,819
"Kenny Lala","2019-2020",1,0,1,0,1,0,0,0,0,868,6329,3795,94,69,11,31,27,904
"Kévin Zohi","2019-2020",0,0,2,1,0,1,0,0,0,163,1075,546,22,16,4,14,9,161
"Nicolas Pallois","2019-2020",2,1,1,1,0,0,0,0,0,715,4206,2479,15,14,1,8,7,709
"Joris Chotard","2019-2020",1,1,0,0,0,0,0,0,0,332,1461,685,8,9,0,28,4,402
"Pierrick Capelle","2019-2020",2,2,4,4,0,0,0,0,0,538,3233,1572,50,32,8,40,40,697
"Arnaud Nordin","2019-2020",4,0,5,3,0,0,0,2,0,244,2252,1120,41,28,13,30,19,286
"Eduardo Camavinga","2019-2020",7,0,8,6,0,2,0,0,0,753,5070,2408,48,36,3,25,20,787
"Jemerson","2019-2020",0,0,0,0,0,0,0,0,0,384,1977,1342,11,11,0,7,4,488
"Gaëtan Laborde","2019-2020",6,1,6,6,0,0,0,0,0,512,2966,1634,69,58,20,95,37,747
"James Lea Siliki","2019-2020",5,1,2,2,0,0,0,0,0,327,1929,930,23,20,3,19,14,347
"Antonin Bobichon","2019-2020",0,0,3,1,1,0,1,0,0,256,1404,809,23,21,3,20,11,338
"Khéphren Thuram","2019-2020",0,1,0,0,0,0,0,0,0,244,1177,587,3,9,0,11,5,326
"Mathias Autret","2019-2020",1,2,5,4,0,0,1,0,0,371,1823,1020,32,27,3,37,14,474
"Florent Mollet","2019-2020",1,1,10,5,3,0,1,0,1,631,3196,1284,38,19,6,34,24,760
"Abdoulaye Bamba","2019-2020",0,0,0,0,0,0,0,0,0,106,479,258,9,4,1,3,3,177
"Toma Bašić","2019-2020",0,0,4,1,3,0,0,0,0,448,2240,1217,19,16,2,31,14,486
"Aurélien Chedjou","2019-2020",0,1,1,1,0,0,0,0,0,663,3787,2347,11,3,0,8,5,698
"François Kamano","2019-2020",6,0,3,2,0,0,0,1,0,254,1448,885,31,23,10,13,10,293
"Youssouf Fofana","2019-2020",4,1,2,2,0,0,0,0,0,593,3564,2110,46,40,6,32,23,698
"Thomas Delaine","2019-2020",1,0,0,0,0,0,0,0,0,393,3359,2013,66,55,10,22,11,473
"Thomas Monconduit","2019-2020",2,0,0,0,0,0,0,0,0,422,2176,1081,12,17,1,21,15,546
"Mahdi Camara","2019-2020",2,1,3,3,0,0,0,0,0,321,2239,1008,19,18,0,13,13,392
"John Boye","2019-2020",0,0,0,0,0,0,0,0,0,509,2331,996,1,2,0,13,5,657
"Patrick Burner","2019-2020",0,2,2,2,0,0,0,0,0,585,2646,1596,20,11,3,7,3,804
"Frédéric Sammaritano","2019-2020",1,0,3,2,1,0,0,0,0,183,1067,524,22,9,2,14,13,213
"Mathias Pereira Lage","2019-2020",7,0,6,4,0,1,0,1,0,370,2499,1221,49,44,12,38,25,505
"Didier Ibrahim Ndong","2019-2020",0,1,3,3,0,0,0,0,0,967,5293,2505,48,29,3,24,24,1147
"Clément Grenier","2019-2020",3,0,2,0,1,1,0,0,0,306,1534,869,18,10,2,12,5,353
"Domagoj Bradarić","2019-2020",1,0,2,2,0,0,0,0,0,471,2690,1552,35,37,0,18,4,565
"Adrien Tameze","2019-2020",0,0,1,1,0,0,0,0,0,145,663,345,11,8,2,9,7,214
"Nicolas Cozza","2019-2020",1,1,0,0,0,0,0,0,0,164,814,468,2,2,1,2,0,192
"Damien Le Tallec","2019-2020",3,1,7,7,0,0,0,0,0,511,2434,1259,11,9,0,16,6,718
"Memphis","2019-2020",6,1,5,2,0,2,0,1,0,398,2297,1250,39,29,17,35,19,483
"Robert Berić","2019-2020",1,0,0,0,0,0,0,0,0,54,252,107,3,2,2,9,5,66
"Nuno da Costa","2019-2020",1,0,0,0,0,0,0,0,0,159,689,223,6,6,5,15,15,175
"Thomas Foket","2019-2020",0,1,3,3,0,0,0,0,0,693,4459,2639,69,31,8,21,11,819
"José Fonte","2019-2020",0,0,2,2,0,0,0,0,0,917,3878,2264,9,1,1,8,2,1148
"Wesley Saïd","2019-2020",3,0,2,2,0,0,0,0,0,335,2400,1368,43,23,9,25,17,380
"Casimir Ninga","2019-2020",2,1,3,1,0,0,1,1,0,219,1859,932,30,29,11,30,28,249
"Mathieu Debuchy","2019-2020",0,0,2,1,1,0,0,0,0,476,2663,1468,33,11,1,24,17,661
"Serhou Guirassy","2019-2020",11,0,7,3,0,0,0,4,0,526,2473,883,30,32,11,77,41,728
"Tristan Dingomé","2019-2020",1,0,3,3,0,0,0,0,0,224,703,191,1,3,0,21,11,332
"William Vainqueur","2019-2020",0,0,1,1,0,0,0,0,0,694,2962,1217,15,11,2,28,19,782
"Wissam Ben Yedder","2019-2020",4,1,10,5,0,1,2,2,0,629,3608,1848,71,46,30,50,39,796
"Pablo Sarabia","2019-2020",1,1,4,2,0,0,1,1,0,509,2412,1374,41,34,11,31,11,655
"Théo Pellenard","2019-2020",0,0,0,0,0,0,0,0,0,140,805,462,12,11,2,6,5,179
"Kalifa Coulibaly","2019-2020",2,0,1,1,0,0,0,0,0,279,1380,542,23,12,17,63,39,455
"Rafael","2019-2020",0,1,0,0,0,0,0,0,0,260,1026,525,11,13,4,18,4,322
"Fernando Marçal","2019-2020",0,0,2,1,0,0,1,0,0,506,2483,1489,27,17,1,6,3,526
"Rayan Aït-Nouri","2019-2020",1,2,2,2,0,0,0,0,0,445,2684,1611,45,36,10,27,24,550
"Haris Duljević","2019-2020",1,1,6,5,0,1,0,0,0,144,1127,576,15,15,3,19,11,157
"Souleyman Doumbia","2019-2020",0,0,2,2,0,0,0,0,0,202,1292,812,23,19,1,7,2,236
"Ruben Gabrielsen","2019-2020",0,0,0,0,0,0,0,0,0,233,1084,615,3,0,0,0,1,220
"Eddy Gnahoré","2019-2020",0,0,2,1,0,0,1,0,0,476,2647,1154,12,15,1,21,21,582
"Farid Boulaya","2019-2020",1,0,2,1,1,0,0,0,0,282,1988,919,33,25,7,24,10,358
"Sidy Sarr","2019-2020",1,1,2,2,0,0,0,0,0,269,1259,649,7,6,0,16,6,390
"Flavien Tait","2019-2020",4,0,4,4,0,0,0,0,0,370,2379,1366,46,30,8,20,18,392
"Hwang Ui-jo","2019-2020",5,1,5,2,0,0,0,3,0,413,2119,1013,34,27,13,43,21,479
"Molla Wagué","2019-2020",0,0,3,3,0,0,0,0,0,213,1040,460,1,3,0,1,1,222
"Lamine Koné","2019-2020",0,0,0,0,0,0,0,0,0,545,3374,1754,15,3,0,9,5,554
"Hamari Traoré","2019-2020",1,1,8,6,0,2,0,0,0,1014,5360,3281,85,52,13,37,8,1028
"Mehdi Abeid","2019-2020",1,2,4,2,1,0,1,0,0,650,3350,1494,25,24,3,24,21,754
"Houssem Aouar","2019-2020",8,4,11,9,0,1,1,0,0,924,5915,3217,105,78,28,52,38,1077
"Jérémy Pied","2019-2020",1,0,0,0,0,0,0,0,0,183,925,512,11,12,0,3,2,215
"Bongani Zungu","2019-2020",1,1,3,3,0,0,0,0,0,327,1476,597,6,8,0,21,7,398
"Timothée Kolodziejczak","2019-2020",0,0,1,0,1,0,0,0,0,373,2602,1840,21,11,1,17,2,523
"Yohan Cabaye","2019-2020",1,1,1,1,0,0,0,0,0,302,1488,864,11,15,1,10,4,382
"Axel Disasi","2019-2020",0,0,1,1,0,0,0,0,0,1003,6034,4050,42,11,1,11,5,1177
"Boubakary Soumaré","2019-2020",0,1,1,0,0,0,0,0,1,545,3088,1285,21,16,1,18,15,641
"Presnel Kimpembe","2019-2020",0,0,0,0,0,0,0,0,0,845,4062,2308,6,8,1,5,2,943
"Samuel Moutoussamy","2019-2020",1,0,0,0,0,0,0,0,0,240,1261,708,15,15,2,16,6,269
"Nicolas de Préville","2019-2020",12,2,12,6,2,2,2,0,0,826,4918,2317,80,65,17,82,55,947
"Tiago Djaló","2019-2020",0,0,0,0,0,0,0,0,0,319,1610,887,6,3,0,3,3,348
"Jonathan Bamba","2019-2020",6,1,7,5,0,0,1,1,0,681,4805,2497,86,63,30,49,45,769
"Ismaël Traoré","2019-2020",0,0,0,0,0,0,0,0,0,528,2289,1183,7,4,1,8,10,801
"Florian Miguel","2019-2020",4,1,2,0,0,1,0,1,0,574,3167,1740,46,28,8,30,10,628
"Jordan Pefok","2019-2020",1,0,1,1,0,0,0,0,0,91,375,163,8,5,3,18,10,114
"Muzinga Ngonda","2019-2020",0,0,0,0,0,0,0,0,0,201,1189,635,15,19,1,12,3,220
"Nicholas Opoku","2019-2020",0,0,0,0,0,0,0,0,0,139,894,511,3,1,0,3,1,149
"Samuel Kalu","2019-2020",5,1,4,2,0,0,1,1,0,518,3370,1778,54,29,26,43,28,551
"Issiaga Sylla","2019-2020",2,5,2,2,0,0,0,0,0,885,5218,2998,74,55,5,47,26,916
"Fábio","2019-2020",0,1,0,0,0,0,0,0,0,295,1588,927,23,13,0,7,5,347
"Kelvin Amian","2019-2020",0,1,2,2,0,0,0,0,0,416,2730,1615,38,28,5,18,10,427
"Ibrahim Sangaré","2019-2020",3,3,5,3,0,0,0,1,1,933,4534,2363,35,27,2,40,25,997
"Rachid Alioui","2019-2020",5,0,2,2,0,0,0,0,0,353,1638,704,24,18,12,40,17,496
"Renaud Ripart","2019-2020",7,0,2,2,0,0,0,0,0,482,2478,1042,35,28,4,49,40,607
"Maxwel Cornet","2019-2020",0,0,6,3,0,2,1,0,0,520,3140,1851,61,40,18,27,21,569
"Darío Benedetto","2019-2020",5,1,9,2,0,2,2,3,0,388,1516,364,14,8,7,51,27,523
"Matheus Pereira da Silva","2019-2020",0,0,1,0,0,0,1,0,0,148,769,320,9,5,1,7,4,183
"Marvin Gakpa","2019-2020",0,1,0,0,0,0,0,0,0,191,1174,529,9,15,5,9,13,220
"Reinildo Mandava","2019-2020",3,1,0,0,0,0,0,0,0,383,1795,1003,31,25,2,11,7,447
"Vincent Manceau","2019-2020",0,0,2,2,0,0,0,0,0,584,2593,1545,30,25,1,21,8,901
"Jordan Lefort","2019-2020",0,0,2,1,0,1,0,0,0,300,1260,703,2,3,1,7,2,356
"Youssef Aït Bennasser","2019-2020",0,0,2,2,0,0,0,0,0,305,1096,567,6,4,0,7,4,338
"Vitorino Hilton","2019-2020",1,0,3,2,0,0,0,1,0,899,5136,3063,28,3,0,12,2,971
"Max Gradel","2019-2020",5,1,6,4,0,1,0,1,0,554,3670,2218,82,53,26,47,42,564
"Alexis Blin","2019-2020",1,1,1,1,0,0,0,0,0,555,2307,1072,10,10,0,29,10,765
"Thiago Mendes","2019-2020",0,0,9,9,0,0,0,0,0,822,3169,1457,14,21,0,27,23,969
"Adrien Thomasson","2019-2020",10,0,7,6,0,0,0,1,0,777,3621,1576,52,43,15,73,30,874
"Thomas Mangani","2019-2020",0,0,3,2,1,0,0,0,0,692,3191,1767,31,16,2,26,24,1064
"Theo Valls","2019-2020",0,1,1,1,0,0,0,0,0,469,2220,1192,29,12,3,29,12,522
"Matthieu Udol","2019-2020",3,0,3,3,0,0,0,0,0,324,2399,1500,39,29,4,9,6,376
"Boubacar Kamara","2019-2020",1,1,5,5,0,0,0,0,0,968,4557,2540,9,13,0,15,10,988
"Kasper Dolberg","2019-2020",4,0,4,3,0,0,1,0,0,285,1544,495,20,18,8,62,27,370
"Mexer","2019-2020",0,0,2,2,0,0,0,0,0,763,3159,1468,7,9,0,10,7,836
"Adrien Hunou","2019-2020",4,2,6,3,0,0,2,1,0,309,1486,584,20,14,6,42,22,353
"Samuel Grandsir","2019-2020",2,0,4,4,0,0,0,0,0,500,3711,1786,63,41,14,58,35,571
"Andy Delort","2019-2020",15,0,11,3,0,2,3,3,0,552,2826,1219,50,29,29,81,25,845
"Ludovic Baal","2019-2020",1,0,1,1,0,0,0,0,0,342,2054,1220,29,23,2,16,8,408
"Yann M'Vila","2019-2020",0,0,2,2,0,0,0,0,0,629,3253,1400,4,8,0,13,11,913
"Jeff Reine-Adélaïde","2019-2020",2,1,7,4,0,3,0,0,0,412,3007,1523,43,39,8,26,25,447
"Júlio Tavares","2019-2020",1,1,3,3,0,0,0,0,0,363,1627,556,13,21,5,50,29,599
"Marquinhos","2019-2020",0,0,3,2,0,0,1,0,0,865,3980,2180,8,15,1,8,10,1114
"Hiroki Sakai","2019-2020",4,0,1,0,0,0,0,1,0,703,2931,1747,39,22,6,20,14,775
"Romain Amalfitano","2019-2020",3,2,2,2,0,0,0,0,0,626,3565,1691,24,27,3,31,19,727
"Victorien Angban","2019-2020",1,0,0,0,0,0,0,0,0,432,2657,1381,25,21,2,18,17,504
"Guillermo Maripán","2019-2020",0,1,1,1,0,0,0,0,0,762,3794,2320,12,10,0,7,2,859
"Franck Honorat","2019-2020",1,1,4,4,0,0,0,0,0,234,1714,1131,34,26,4,19,6,291
"Charles Traore","2019-2020",1,0,2,2,0,0,0,0,0,576,2651,1414,22,14,2,14,6,682
"Leandro Paredes","2019-2020",0,0,3,2,0,0,1,0,0,606,2722,1539,10,15,0,3,2,836
"Alexandre Mendy","2019-2020",1,0,3,2,0,0,1,0,0,129,495,203,9,3,5,20,10,181
"Jean-Charles Castelletto","2019-2020",0,0,0,0,0,0,0,0,0,661,3276,1859,8,9,1,5,5,738
"Imran Louza","2019-2020",3,2,5,5,0,0,0,0,0,748,4149,1879,31,40,3,43,25,938
"Zaydou Youssouf","2019-2020",0,3,2,2,0,0,0,0,0,362,2487,1139,16,15,0,17,16,424
"Ambroise Oyongo","2019-2020",1,0,2,2,0,0,0,0,0,545,2801,1389,31,24,3,23,11,625
"Miguel Trauco","2019-2020",0,0,2,2,0,0,0,0,0,443,2067,1140,19,16,3,20,17,548
"Kévin N'Doram","2019-2020",3,2,0,0,0,0,0,0,0,546,3276,1659,21,16,1,26,19,732
"Faitout Maouassa","2019-2020",4,0,3,2,0,1,0,0,0,723,4442,2532,74,57,6,25,17,721
"Gil Bastião Dias","2019-2020",2,1,3,1,0,0,1,1,0,453,3090,1929,43,36,8,22,15,471
"Stiven Mendoza","2019-2020",3,1,4,3,0,1,0,0,0,323,2421,1326,48,32,11,43,33,398
"Habib Maïga","2019-2020",0,2,10,8,0,0,1,0,1,846,5450,2606,56,49,4,45,28,1070
"Jhonder Cádiz","2019-2020",3,1,3,1,0,1,1,0,0,178,1235,624,25,20,16,26,20,236
"Jérémy Morel","2019-2020",0,0,0,0,0,0,0,0,0,720,3358,1960,16,12,0,3,7,745
"Remi Oudin","2019-2020",3,0,4,4,0,0,0,0,0,542,2711,1044,31,23,12,39,19,652
"Mihailo Ristić","2019-2020",0,1,2,2,0,0,0,0,0,246,1527,675,15,14,4,25,4,281
"Valère Germain","2019-2020",1,0,5,2,1,0,1,1,0,329,1156,386,15,12,4,23,18,399
"Valentin Rongier","2019-2020",3,3,3,2,0,0,0,0,1,1072,5273,2495,44,31,7,38,23,1203
"Adam Ounas","2019-2020",3,1,5,4,0,0,0,1,0,378,2880,1310,41,30,21,34,23,500
"Fouad Chafik","2019-2020",3,0,6,6,0,0,0,0,0,526,3404,2013,44,28,1,12,7,607
"Dylan Bronn","2019-2020",0,0,0,0,0,0,0,0,0,169,756,388,0,0,0,2,1,238
"Abdoulaye Touré","2019-2020",6,1,2,1,0,1,0,0,0,922,4623,1995,34,28,5,39,32,1171
"Benjamin André","2019-2020",1,2,4,4,0,0,0,0,0,723,3471,1615,25,25,3,17,20,922
"Steven Moreira","2019-2020",2,2,3,1,0,0,1,1,0,471,2727,1646,32,32,1,16,11,462
"Andy Pelmard","2019-2020",0,0,0,0,0,0,0,0,0,364,1720,913,4,1,0,7,5,488
"Xeka","2019-2020",1,1,1,0,0,0,0,1,0,301,1671,854,17,3,0,11,3,388
"Stevan Jovetić","2019-2020",2,0,1,1,0,0,0,0,0,162,952,506,18,17,5,10,7,208
"Fodé Ballo-Touré","2019-2020",3,1,0,0,0,0,0,0,0,588,3943,2437,67,32,3,30,10,622
"Sada Thioub","2019-2020",3,0,4,4,0,0,0,0,0,566,4124,2142,84,49,33,44,43,699
"Pierre Lees-Melou","2019-2020",3,1,9,7,0,0,2,0,0,827,4544,2385,57,49,9,44,32,1097
"Moreto Cassamã","2019-2020",0,0,2,1,1,0,0,0,0,328,1480,668,4,4,0,12,8,422
"Loris Benito","2019-2020",0,1,4,3,1,0,0,0,0,865,4476,2471,50,36,6,25,11,973
"Yusuf Yazıcı","2019-2020",0,0,4,2,2,0,0,0,0,297,1869,768,22,30,7,16,29,365
"Laurent Koscielny","2019-2020",0,0,1,1,0,0,0,0,0,1010,5104,2736,5,6,1,11,6,1074
"Quentin Boisgard","2019-2020",2,2,4,2,2,0,0,0,0,405,2178,1014,27,26,9,44,21,411
"Dimitri Liénard","2019-2020",2,1,9,6,2,1,0,0,0,727,3607,1829,34,28,0,24,14,789
"Maxence Caqueret","2019-2020",1,0,0,0,0,0,0,0,0,256,1123,473,6,9,1,19,7,350
