"rk","player","min","gca","sca","cmp_percent","won_percent","succ_percent","carries","int","tkl","season","age","nation","team","comp","mp","min_2","x90s","starts","subs","un_sub","gls","ast","g_a","g_pk","pk","p_katt","p_km","cmp","att","cmp_percent_2","kp","x3_jan","ppa","crs_pa","prg_p","tot_dist","prg_dist","cmp_2","att_2","cmp_percent_3","cmp_3","att_3","cmp_percent_4","cmp_4","att_4","cmp_percent_5","sca_2","pass_live","pass_dead","to","sh","fld","def","gca_2","pass_live_2","pass_dead_2","to_2","sh_2","fld_2","def_2","carries_2","tot_dist_2","prg_dist_2","prg_c","x3_jan_2","cpa","mis","dis","rec","prg_r","att_5","succ","succ_percent_2","tkld","tkld_percent","tkl_2","tkl_w","def_3rd","mid_3rd","att_3rd","tkl_3","att_6","tkl_percent","lost","blocks","sh_3","pass","int_2","tkl_int","clr","err","won","lost_2","won_percent_2","pos"
"902","Jordan Cousins",643,"0","9","84.3","50","16.7","208","6","12","2022-2023","28","eng ENG","Wigan Athletic","eng Championship","10","643","7.1","8","2","5","0","0","0","0","0","0","0","268","318","84.3","3","25","0","0","15","5070","1051","108","121","89.3","111","129","86","41","53","77.4","9","9","0","0","0","0","0","0","0","0","0","0","0","0","208","933","365","2","3","0","11","6","253","4","6","1","16.7","2","33.3","12","7","7","5","0","7","8","87.5","1","4","1","3","6","18","9","0","6","6","50","MF"
"903","Daryl Dike",1202,"3","25","62.1","43.7","40.9","185","1","5","2022-2023","22","us USA","West Brom","eng Championship","23","1,202","13.4","14","9","0","7","1","8","7","0","0","0","126","203","62.1","11","7","5","0","14","1663","312","70","107","65.4","35","54","64.8","5","9","55.6","25","12","0","2","7","4","0","3","1","0","0","2","0","0","185","666","247","9","8","5","47","18","272","73","22","9","40.9","10","45.5","5","2","3","1","1","1","5","20","4","9","1","8","1","6","15","0","55","71","43.7","FW"
"904","Matty Pearson",1402,"1","6","56.5","57.7","40","267","25","22","2022-2023","28","eng ENG","Huddersfield","eng Championship","18","1,402","15.6","17","1","1","5","1","6","5","0","0","0","325","575","56.5","5","19","2","0","35","6133","2927","121","171","70.8","169","253","66.8","29","118","24.6","6","4","1","0","0","1","0","1","1","0","0","0","0","0","267","972","394","3","6","0","7","4","284","9","5","2","40","2","40","22","16","16","5","1","12","25","48","13","19","10","9","25","47","50","0","41","30","57.7","DF"
"905","Semi Ajayi",1462,"0","10","83.5","66.2","40","551","24","23","2022-2023","28","ng NGA","West Brom","eng Championship","22","1,462","16.2","17","5","9","2","0","2","2","0","0","0","743","890","83.5","4","50","2","0","52","16006","5311","177","206","85.9","459","504","91.1","102","168","60.7","10","7","1","0","2","0","0","0","0","0","0","0","0","0","551","2818","1585","11","11","0","10","1","657","3","5","2","40","2","40","23","15","16","7","0","7","17","41.2","10","12","6","6","24","47","48","2","51","26","66.2","DF"
"906","Greg Docherty",1954,"3","50","77.4","43.3","32.2","655","16","44","2022-2023","25","sct SCO","Hull City","eng Championship","35","1,954","21.7","18","17","4","1","2","3","1","0","0","0","751","970","77.4","26","58","12","3","93","12048","2693","361","419","86.2","302","356","84.8","55","99","55.6","50","44","0","1","3","0","2","3","3","0","0","0","0","0","655","3974","1543","38","27","8","42","30","810","73","59","19","32.2","35","59.3","44","30","19","18","7","20","46","43.5","26","34","10","24","16","60","25","0","26","34","43.3","MF,FW"
"907","Andy King",1380,"1","26","76.1","42","75","361","14","25","2022-2023","33","wls WAL","Bristol City","eng Championship","26","1,380","15.3","15","11","17","0","1","1","0","0","0","0","551","724","76.1","7","37","14","3","57","9465","2926","238","286","83.2","260","322","80.7","40","82","48.8","26","26","0","0","0","0","0","1","1","0","0","0","0","0","361","1417","520","3","4","0","10","1","476","7","4","3","75","1","25","25","13","15","7","3","13","29","44.8","16","26","13","13","14","39","39","0","21","29","42","MF,DF"
"908","Benson Manuel",1490,"8","75","76.2","25","42.9","749","1","12","2022-2023","25","ao ANG","Burnley","eng Championship","33","1,490","16.6","14","19","3","11","3","14","11","0","0","0","553","726","76.2","36","26","26","13","43","8476","1366","321","357","89.9","185","237","78.1","38","78","48.7","75","59","3","5","7","1","0","8","6","0","0","2","0","0","749","6306","3197","118","52","51","47","32","784","196","84","36","42.9","36","42.9","12","8","6","2","4","3","8","37.5","5","10","0","10","1","13","4","1","4","12","25","FW"
"909","Kenneth Paal",3518,"8","57","73.2","44.7","42.4","1003","58","93","2022-2023","25","sr SUR","QPR","eng Championship","40","3,518","39.1","40","0","0","1","3","4","1","0","0","0","1493","2039","73.2","32","103","24","11","132","22507","9545","879","970","90.6","466","674","69.1","98","289","33.9","57","41","14","0","0","2","0","8","6","0","0","0","2","0","1003","4037","1860","33","29","4","41","17","1211","132","33","14","42.4","10","30.3","93","61","55","32","6","57","81","70.4","24","48","6","42","58","151","144","0","38","47","44.7","DF"
"910","Kyle McFadzean",2917,"0","19","77.6","69.2","66.7","761","48","45","2022-2023","35","sct SCO","Coventry City","eng Championship","35","2,917","32.4","34","1","0","2","0","2","2","0","0","0","1030","1328","77.6","7","41","4","1","58","22179","8790","286","339","84.4","559","637","87.8","173","305","56.7","19","13","2","0","1","0","3","0","0","0","0","0","0","0","761","3338","1337","3","1","1","11","5","758","4","6","4","66.7","2","33.3","45","26","31","13","1","15","27","55.6","12","24","16","8","48","93","174","0","90","40","69.2","DF"
"911","Andreas Voglsammer",2248,"8","68","57.9","49.4","22.7","435","13","34","2022-2023","30","de GER","Millwall","eng Championship","41","2,248","25","27","14","2","3","5","8","2","1","1","0","361","624","57.9","34","22","26","17","39","6067","1763","182","255","71.4","124","202","61.4","41","88","46.6","68","42","7","2","11","5","1","8","4","1","0","1","2","0","435","2374","621","34","12","8","44","32","563","153","22","5","22.7","16","72.7","34","18","17","14","3","18","23","78.3","5","39","5","34","13","47","24","0","39","40","49.4","FW"
