player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Izzy Brown,1,2019-2020,25,1455,17,8,2,1,7,8,1,650,66.6,51,31,84,3276,2843,33.845238095238095,0.4184981684981685,2.7202380952380953,21.636363636363637,86,1,2,1371,43,70,76,64.5,31,18,0.5806451612903226,14,10,38.9,54,0,1,0
Tiemoué Bakayoko,1,2019-2020,20,1719,20,0,0,1,2,3,1,961,84.4,10,12,112,3809,3731,33.3125,0.45523759516933576,2.418410041841004,31.636363636363637,39,2,1,1734,30,56,57,63.2,48,24,0.5,29,17,72.5,40,0,1,0
Izzy Brown,1,2019-2020,25,1455,17,8,2,1,7,8,1,650,66.6,51,31,84,3276,2843,33.845238095238095,0.4184981684981685,2.7202380952380953,21.636363636363637,86,1,2,1371,43,70,76,64.5,31,18,0.5806451612903226,14,10,38.9,54,0,1,0
Jake Clarke-Salter,1,2019-2020,19,1610,19,0,14,1,1,2,1,549,73.2,1,1,33,1728,3717,112.63636363636364,0.5619212962962963,3.336769759450172,70.15,5,0,0,971,7,2,7,85.7,27,15,0.5555555555555556,23,77,53.5,129,0,0,1
Eberechi Eze,1,2019-2020,46,4057,46,0,0,14,8,22,10,1901,82.2,82,58,223,10601,7042,31.57847533632287,0.4460899915102349,3.107095926412615,29.46031746031746,189,0,3,4729,135,221,222,61.3,54,32,0.5925925925925926,24,11,31.5,92,1,1,0
Nathan Ferguson,1,2019-2020,21,1746,21,0,0,1,1,2,1,1212,77.1,7,9,104,3790,6538,62.86538461538461,0.5461741424802111,2.915492957746479,35.25925925925926,25,2,0,2070,45,36,48,64.6,50,35,0.7,19,47,55.7,61,0,0,1
Connor Wickham,1,2019-2020,13,894,8,5,0,2,0,2,2,246,50,7,3,18,1005,471,26.166666666666668,0.2975124378109453,1.3529411764705883,50.64935064935065,21,1,0,299,9,57,17,82.4,6,4,0.6666666666666666,0,13,39.4,127,1,0,0
Kieran Dowell,1,2019-2020,22,1597,20,2,15,5,3,8,5,741,69.9,34,29,91,2622,2687,29.52747252747253,0.458047292143402,2.4560327198364007,11.478260869565217,72,2,1,1201,37,93,22,77.3,27,17,0.6296296296296297,9,3,32.4,34,0,1,0
Matthew Pennington,1,2019-2020,14,1105,13,1,21,0,0,0,0,538,69,3,6,47,1264,3469,73.80851063829788,0.5379746835443038,3.0357142857142856,48.88,13,0,0,680,9,9,12,66.7,15,13,0.8666666666666667,30,49,65.3,72,0,0,1
Terence Kongolo,1,2019-2020,12,882,10,2,2,0,1,1,0,518,73.2,5,2,38,1201,2726,71.73684210526316,0.5703580349708576,2.8423236514522823,26.4,12,0,0,685,8,22,4,50,27,15,0.5555555555555556,16,32,70.6,34,0,0,1
