player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Martin Terrier,0,2019-2020,23,1198,13,10,3,1,2,3,1,444,76.8,16,6,39,1789,1434,36.76923076923077,0.5220793739519285,2.946372239747634,20.714285714285715,31,0,0,934,33,61,25,68,20,15,0.75,10,11,41.7,48,1,1,0
Thilo Kehrer,0,2019-2020,7,480,5,2,3,1,0,1,1,401,93.3,2,2,26,1284,1442,55.46153846153846,0.528816199376947,2.416370106761566,8.88888888888889,9,0,0,679,13,5,3,66.7,10,7,0.7,1,2,47.1,17,0,0,1
Sofiane Alakouch,0,2019-2020,17,1400,17,0,8,0,0,0,0,798,81.2,11,13,78,2492,4185,53.65384615384615,0.5926966292134831,3.253303964757709,10.625,33,1,0,1477,32,39,33,51.5,45,26,0.5777777777777777,23,39,38.5,26,0,0,1
Arnaud Lusamba,0,2019-2020,15,982,11,4,10,1,2,3,1,443,83.7,18,3,43,1143,1342,31.209302325581394,0.4654418197725284,1.8732394366197183,3.230769230769231,28,0,0,532,7,52,24,79.2,20,11,0.55,5,6,18.8,16,1,1,0
Paul Lasne,0,2019-2020,19,1224,14,5,6,2,1,3,2,665,82.1,16,13,54,1965,2122,39.2962962962963,0.42697201017811703,1.9466357308584687,16.153846153846153,34,1,0,839,14,68,9,66.7,25,13,0.52,7,5,53.6,28,1,1,0
Dimitri Payet,0,2019-2020,22,1930,22,0,0,9,4,13,6,1113,68.8,87,40,128,6126,4561,35.6328125,0.5386875612144956,3.5986913849509268,9,146,0,2,3300,95,144,82,61,22,12,0.5454545454545454,8,12,50,16,1,1,0
Gaël Kakuta,0,2019-2020,24,2001,23,1,0,2,5,7,2,850,66.5,27,31,101,3937,2590,25.643564356435643,0.4097028194056388,2.4402420574886534,25.40983606557377,63,1,1,1613,63,155,74,64.9,46,27,0.5869565217391305,16,8,29.1,86,1,1,0
Lionel Carole,0,2019-2020,18,1272,14,4,8,0,0,0,0,808,77.4,14,16,81,2772,4717,58.23456790123457,0.5674603174603174,3.048449612403101,26.285714285714285,33,0,0,1573,32,61,22,63.6,23,8,0.34782608695652173,19,22,76.7,30,0,0,1
Loïc Rémy,0,2019-2020,20,963,11,9,5,7,0,7,7,215,78.1,8,5,20,960,431,21.55,0.45416666666666666,2.5647058823529414,12.631578947368421,31,0,1,436,19,72,19,57.9,4,1,0.25,0,7,38.7,31,1,0,0
Irvin Cardona,0,2019-2020,21,1450,15,6,2,6,3,9,6,443,61.9,19,20,53,2188,1131,21.339622641509433,0.4812614259597806,2.793103448275862,23.22222222222222,38,1,1,1053,37,134,29,48.3,13,8,0.6153846153846154,1,7,55,40,1,1,0
Harold Moukoudi,0,2019-2020,11,990,11,0,5,0,0,0,0,587,86.2,0,1,41,1985,3055,74.51219512195122,0.5863979848866498,3.4235294117647057,37.05882352941177,3,0,0,1164,10,0,7,71.4,28,19,0.6785714285714286,16,42,67.3,52,0,0,1
Stanley N'Soki,0,2019-2020,17,1273,14,3,4,0,1,1,0,1038,90,7,4,109,3412,5454,50.03669724770642,0.6175263774912075,3.48841059602649,22.615384615384617,18,0,0,2107,25,18,36,69.4,40,29,0.725,32,37,61.8,34,0,0,1
Ludovic Blas,0,2019-2020,24,1845,22,2,0,5,1,6,5,676,78,24,22,92,4578,2127,23.119565217391305,0.40956749672346004,3.088962108731466,17.485714285714284,64,3,1,1875,53,112,102,57.8,26,18,0.6923076923076923,14,11,32.7,52,1,1,0
Mathieu Dossevi,0,2019-2020,26,1751,20,6,0,1,2,3,1,737,62.4,49,30,57,4128,2489,43.666666666666664,0.47795542635658916,3.2133550488599347,6.24,80,0,1,1973,91,163,55,56.4,32,20,0.625,14,7,19.4,31,1,1,0
Moussa Doumbia,0,2019-2020,26,1718,22,4,0,2,1,3,1,689,77.2,25,17,79,4883,1732,21.924050632911392,0.5177145197624411,3.9254658385093166,4.2105263157894735,71,0,0,2528,102,159,83,48.2,16,8,0.5,9,5,17.4,23,1,1,0
Thomas Basila,0,2019-2020,7,415,3,4,10,0,0,0,0,255,80.4,1,1,13,494,1336,102.76923076923077,0.5,2.205357142857143,4.8,1,0,0,247,4,8,1,100,6,3,0.5,4,14,44.4,9,0,0,1
Habib Diallo,0,2019-2020,26,2196,26,0,0,12,3,15,11,452,66.2,24,5,19,2300,528,27.789473684210527,0.348695652173913,2.1160949868073877,111.72077922077922,54,0,3,802,35,129,42,50,2,1,0.5,4,43,41.9,265,1,0,0
Pedro Mendes,0,2019-2020,16,1376,16,0,0,1,0,1,1,723,79.7,2,3,64,2598,5046,78.84375,0.6431870669745958,3.5705128205128207,24.96,6,1,0,1671,19,3,7,71.4,28,17,0.6071428571428571,28,42,49,49,0,0,1
Gabriel Magalhães,0,2019-2020,24,2087,23,1,1,1,0,1,1,1510,81.9,3,2,107,5173,8741,81.69158878504673,0.641600618596559,3.3223223223223224,82.8409090909091,18,1,0,3319,25,3,2,100,41,29,0.7073170731707317,22,86,64.8,125,0,0,1
Senou Coulibaly,0,2019-2020,10,666,9,1,9,0,0,0,0,401,81.3,1,1,16,1342,2954,184.625,0.5491803278688525,2.68978102189781,16,5,0,0,737,2,1,1,100,14,7,0.5,10,44,66.7,21,0,0,1
Neymar,0,2019-2020,15,1318,15,0,0,13,6,19,9,951,77.1,39,65,160,6326,3901,24.38125,0.5227631994941512,3.8143021914648214,1.25,100,0,3,3307,110,159,148,60.8,12,7,0.5833333333333334,4,1,20,5,1,1,0
Youcef Atal,0,2019-2020,13,1003,12,1,0,1,1,2,1,509,78.4,10,12,40,3580,1580,39.5,0.5307262569832403,4.318181818181818,17.77777777777778,35,1,1,1900,54,119,106,44.3,24,11,0.4583333333333333,24,11,64,25,1,0,1
Loïc Perrin,0,2019-2020,21,1714,20,1,3,0,0,0,0,1109,87.1,4,3,65,3280,7738,119.04615384615384,0.5929878048780488,2.974006116207951,60.229166666666664,13,0,0,1945,5,1,2,100,27,20,0.7407407407407407,39,59,55.1,107,0,0,1
Ghislain Konan,0,2019-2020,16,1333,15,1,6,0,1,1,0,913,78.1,13,10,85,3347,4674,54.988235294117644,0.5933671945025396,3.7613636363636362,21.636363636363637,36,1,0,1986,56,70,57,47.4,43,26,0.6046511627906976,24,34,38.9,54,0,0,1
Téji Savanier,0,2019-2020,19,1524,18,1,0,6,2,8,4,948,74.6,28,12,126,3591,4907,38.94444444444444,0.5179615705931495,2.9291338582677167,23.692307692307693,69,4,0,1860,28,31,54,61.1,52,39,0.75,35,21,62.9,35,0,1,0
Romain Perraud,0,2019-2020,20,1670,19,1,5,0,1,1,0,1159,76.7,16,14,83,3504,5195,62.59036144578313,0.5125570776255708,2.7170953101361572,12.4,32,1,0,1796,45,85,21,57.1,29,14,0.4827586206896552,27,50,28.6,42,0,0,1
Wesley Lautoa,0,2019-2020,23,1869,21,2,1,0,1,1,0,990,86.2,9,5,68,3449,5993,88.13235294117646,0.5784285300086982,3.1818181818181817,29.166666666666668,22,2,0,1995,9,4,18,83.3,54,29,0.5370370370370371,42,48,53.8,52,0,1,1
Myziane Maolida,0,2019-2020,18,675,7,11,4,1,2,3,1,315,80.6,13,10,28,1786,864,30.857142857142858,0.5851063829787234,3.786231884057971,5.833333333333333,33,0,0,1045,36,120,25,48,14,10,0.7142857142857143,3,3,45.5,11,1,1,0
Bruno Ecuele Manga,0,2019-2020,28,2520,28,0,0,0,0,0,0,1366,84.3,5,6,48,3845,9656,201.16666666666666,0.5183355006501951,2.2855504587155964,86.15384615384616,14,0,0,1993,5,1,7,85.7,22,15,0.6818181818181818,37,112,68.3,123,0,0,1
Idrissa Gana Gueye,0,2019-2020,20,1653,19,1,1,1,2,3,1,1575,92.2,23,13,175,4935,6147,35.12571428571429,0.5130699088145897,2.4160305343511452,18.416666666666668,54,3,0,2532,37,27,40,52.5,65,34,0.5230769230769231,33,15,58.6,29,0,1,0
Alexis Claude-Maurice,0,2019-2020,22,1629,19,3,0,1,1,2,1,595,84.2,20,18,64,3757,1582,24.71875,0.5576257652382219,3.822992700729927,10.285714285714286,58,0,1,2095,64,142,85,68.2,26,16,0.6153846153846154,11,4,56.3,16,1,1,0
Opa Nguette,0,2019-2020,26,1826,23,3,2,5,2,7,5,524,79.2,22,5,46,3786,1196,26,0.4392498679344955,3.1676190476190476,19.5,53,3,3,1663,67,143,112,56.3,44,28,0.6363636363636364,12,12,33.3,57,1,0,0
Julien Faussurier,0,2019-2020,22,1980,22,0,1,2,3,5,2,1278,69.4,27,43,100,3180,8187,81.87,0.5654088050314465,2.6637037037037037,18.75,66,2,0,1798,36,142,17,35.3,36,22,0.6111111111111112,33,46,42.9,42,0,0,1
Kenny Lala,0,2019-2020,25,2043,22,3,1,2,1,3,0,1362,74.1,30,28,97,6329,6692,68.98969072164948,0.5996207931742772,4.372119815668203,17.6,60,0,0,3795,94,73,68,64.7,29,16,0.5517241379310345,20,40,61.5,26,0,1,1
Kévin Zohi,0,2019-2020,17,530,5,12,3,1,1,2,1,155,67.7,3,4,17,1075,442,26,0.5079069767441861,3.3496932515337425,4.4,14,0,1,546,22,53,24,62.5,8,6,0.75,4,2,28.6,14,1,1,0
Nicolas Pallois,0,2019-2020,21,1890,21,0,0,0,0,0,0,1080,83,2,1,68,4206,6756,99.3529411764706,0.589396100808369,3.467132867132867,45.46666666666667,21,1,0,2479,15,1,28,75,47,36,0.7659574468085106,40,77,59.5,74,0,0,1
Joris Chotard,0,2019-2020,20,1251,13,7,5,0,0,0,0,545,76.5,11,9,59,1461,2554,43.28813559322034,0.46885694729637234,2.0632530120481927,23.571428571428573,21,1,0,685,8,17,15,46.7,30,18,0.6,20,12,61.1,36,0,1,0
Pierrick Capelle,0,2019-2020,24,1747,20,4,0,1,2,3,1,796,79.8,26,11,68,3233,2749,40.4264705882353,0.4862356944014847,2.9219330855018586,32.8,45,2,0,1572,50,102,38,65.8,42,32,0.7619047619047619,21,28,44.4,72,0,1,1
Arnaud Nordin,0,2019-2020,18,908,9,9,3,1,0,1,1,268,74.3,10,7,20,2252,618,30.9,0.49733570159857904,4.590163934426229,8.285714285714286,26,0,0,1120,41,70,31,61.3,7,3,0.42857142857142855,4,6,22.2,36,1,1,0
Eduardo Camavinga,0,2019-2020,25,2107,24,1,1,1,2,3,1,980,87.3,7,5,96,5070,3149,32.802083333333336,0.47495069033530574,3.197875166002656,31.885714285714286,37,0,2,2408,48,24,28,67.9,105,64,0.6095238095238096,34,35,47,66,0,1,0
Jemerson,0,2019-2020,13,1056,13,0,2,0,0,0,0,648,83.2,2,1,59,1977,3633,61.57627118644068,0.6788062721294891,3.4947916666666665,13.09090909090909,7,0,0,1342,11,6,2,100,28,17,0.6071428571428571,16,24,52.2,23,0,1,1
Gaëtan Laborde,0,2019-2020,28,2237,27,1,0,6,5,11,6,661,64.8,24,23,77,2966,1336,17.350649350649352,0.5509103169251517,3.19140625,114.09708737864078,71,1,0,1634,69,216,80,41.3,21,12,0.5714285714285714,7,32,52.3,216,1,0,0
James Lea Siliki,0,2019-2020,20,1079,12,8,6,0,0,0,0,405,74.8,8,7,32,1929,1060,33.125,0.4821150855365474,2.8440366972477062,11.11111111111111,27,1,0,930,23,30,19,63.2,28,16,0.5714285714285714,12,12,52.6,19,0,1,0
Antonin Bobichon,0,2019-2020,13,829,10,3,11,2,1,3,2,391,78,9,6,59,1404,1508,25.559322033898304,0.5762108262108262,3.16015625,4.3076923076923075,28,0,0,809,23,29,10,60,13,7,0.5384615384615384,8,4,23.5,17,0,1,0
Khéphren Thuram,0,2019-2020,14,590,7,7,6,0,0,0,0,378,87,3,2,24,1177,1003,41.791666666666664,0.49872557349192864,2.4057377049180326,9.333333333333334,13,1,0,587,3,4,12,66.7,22,7,0.3181818181818182,7,13,70,10,0,1,0
Mathias Autret,0,2019-2020,23,1222,14,9,1,2,3,5,2,565,66,30,23,63,1823,2106,33.42857142857143,0.5595172792100932,2.7493261455525606,4.222222222222222,60,2,0,1020,32,83,20,20,23,17,0.7391304347826086,10,3,18.2,22,1,1,0
Florent Mollet,0,2019-2020,25,1684,19,6,0,6,3,9,6,887,76.9,43,13,84,3196,3168,37.714285714285715,0.40175219023779724,2.03486529318542,12.571428571428571,75,1,0,1284,38,122,24,58.3,13,11,0.8461538461538461,9,2,36.4,33,1,1,0
Abdoulaye Bamba,0,2019-2020,7,554,6,1,7,0,0,0,0,277,73.6,3,2,15,479,1620,108,0.5386221294363257,2.4339622641509435,3.375,6,0,0,258,9,23,3,33.3,10,7,0.7,4,18,27.3,11,0,0,1
Toma Bašić,0,2019-2020,15,991,11,4,6,1,3,4,1,590,77.5,23,7,77,2240,2357,30.61038961038961,0.5433035714285714,2.716517857142857,20.25,35,0,0,1217,19,24,27,70.4,26,22,0.8461538461538461,9,12,69.2,26,0,1,0
Aurélien Chedjou,0,2019-2020,22,1971,22,0,1,0,0,0,0,1051,78.6,3,2,82,3787,7802,95.14634146341463,0.6197517824135199,3.539969834087481,38.02777777777778,15,1,0,2347,11,0,11,81.8,27,19,0.7037037037037037,40,120,50.7,73,0,0,1
François Kamano,0,2019-2020,11,648,7,4,5,1,0,1,1,313,79.6,5,5,18,1448,653,36.27777777777778,0.6111878453038674,3.484251968503937,3.2142857142857144,18,0,0,885,31,69,28,39.3,12,6,0.5,3,2,17.6,17,0,1,1
Youssouf Fofana,0,2019-2020,20,1618,19,1,0,1,2,3,1,800,83.1,13,9,103,3564,3133,30.41747572815534,0.5920314253647587,3.558178752107926,26.5625,36,1,0,2110,46,63,36,41.7,41,26,0.6341463414634146,22,16,61,41,0,1,0
Thomas Delaine,0,2019-2020,16,1254,14,2,7,0,0,0,0,687,68.9,12,13,47,3359,2900,61.702127659574465,0.599285501637392,5.122137404580153,6.5,24,0,0,2013,66,86,29,58.6,25,16,0.64,15,28,33.3,18,0,0,1
Thomas Monconduit,0,2019-2020,19,1364,15,4,7,0,0,0,0,729,74.8,10,3,85,2176,3681,43.305882352941175,0.4967830882352941,2.561611374407583,24.210526315789473,23,0,0,1081,12,21,19,78.9,26,12,0.46153846153846156,10,25,54.8,42,0,1,0
Mahdi Camara,0,2019-2020,12,901,10,2,4,0,0,0,0,456,84,3,3,30,2239,1162,38.733333333333334,0.4502009825815096,3.1401869158878504,17.142857142857142,9,1,0,1008,19,13,10,80,33,20,0.6060606060606061,18,5,53.3,30,0,1,0
John Boye,0,2019-2020,24,2115,24,0,1,2,0,2,2,918,85.3,1,1,28,2331,5529,197.46428571428572,0.4272844272844273,1.956777996070727,47.483870967741936,9,0,0,996,1,0,6,66.7,30,19,0.6333333333333333,31,116,59.7,77,0,0,1
Patrick Burner,0,2019-2020,20,1434,15,5,5,1,1,2,1,1099,85.6,7,9,101,2646,5545,54.9009900990099,0.6031746031746031,2.7282051282051283,8.333333333333334,21,2,0,1596,20,32,31,64.5,35,25,0.7142857142857143,30,37,25,32,0,0,1
Frédéric Sammaritano,0,2019-2020,10,518,6,4,6,1,2,3,1,262,74.8,20,11,34,1067,994,29.235294117647058,0.49109653233364575,2.8633879781420766,0,30,0,0,524,22,41,14,71.4,9,7,0.7777777777777778,2,3,0,6,1,1,0
Mathias Pereira Lage,0,2019-2020,25,1542,17,8,0,1,3,4,1,535,69.7,22,15,50,2499,1502,30.04,0.4885954381752701,3.3,30.857142857142858,51,0,1,1221,49,136,33,39.4,30,18,0.6,17,9,46.2,65,0,1,0
Didier Ibrahim Ndong,0,2019-2020,27,2386,27,0,0,0,3,3,0,1426,87.7,16,5,130,5293,6048,46.52307692307692,0.47326657849990555,2.590486039296794,18.692307692307693,44,1,0,2505,48,26,32,59.4,62,35,0.5645161290322581,49,31,40.9,44,0,1,0
Clément Grenier,0,2019-2020,11,839,10,1,2,1,0,1,1,456,73,12,2,47,1534,1801,38.319148936170215,0.5664928292046936,2.8398692810457518,11.666666666666666,31,0,1,869,18,20,7,85.7,21,12,0.5714285714285714,7,16,62.5,16,0,1,0
Domagoj Bradarić,0,2019-2020,18,1419,16,2,4,0,1,1,0,841,74.3,17,17,44,2690,3185,72.38636363636364,0.5769516728624535,3.2951167728237793,10.454545454545455,30,0,0,1552,35,95,14,42.9,28,11,0.39285714285714285,22,28,31.3,32,0,0,1
Adrien Tameze,0,2019-2020,8,519,6,2,5,1,0,1,1,230,84.8,7,6,20,663,589,29.45,0.5203619909502263,2.3793103448275863,2.2857142857142856,10,0,0,345,11,24,11,72.7,6,2,0.3333333333333333,7,1,22.2,9,0,1,0
Nicolas Cozza,0,2019-2020,7,556,6,1,5,0,0,0,0,248,81.5,0,1,13,814,1422,109.38461538461539,0.5749385749385749,2.8536585365853657,10,4,1,0,468,2,1,4,50,5,5,1,9,18,50,18,0,0,1
Damien Le Tallec,0,2019-2020,28,2458,28,0,0,2,0,2,2,992,79.6,6,6,94,2434,4898,52.1063829787234,0.5172555464256368,2.4637964774951078,64.98461538461538,32,1,0,1259,11,26,7,42.9,52,27,0.5192307692307693,38,59,49.6,129,0,1,1
Memphis,0,2019-2020,13,1018,12,1,1,9,2,11,8,485,73.8,25,14,49,2297,1398,28.53061224489796,0.5441880713974749,3.14070351758794,2.25,55,1,2,1250,39,101,47,55.3,4,3,0.75,2,2,20,10,1,1,0
Robert Berić,0,2019-2020,11,413,4,7,6,1,0,1,1,65,67.7,4,2,2,252,60,30,0.4246031746031746,1.9814814814814814,3.230769230769231,4,0,0,107,3,23,3,33.3,3,2,0.6666666666666666,4,2,18.8,16,1,0,0
Nuno da Costa,0,2019-2020,14,527,4,10,5,1,0,1,1,144,61.8,5,3,13,689,281,21.615384615384617,0.32365747460087085,1.4025157232704402,22.5,15,0,0,223,6,57,27,59.3,15,10,0.6666666666666666,4,3,60,35,1,0,0
Thomas Foket,0,2019-2020,27,2430,27,0,1,0,1,1,0,1308,79.3,21,20,89,4459,5611,63.04494382022472,0.5918367346938775,3.808080808080808,21.724137931034484,49,1,0,2639,69,110,21,61.9,61,36,0.5901639344262295,39,59,42,50,0,0,1
José Fonte,0,2019-2020,25,2205,25,0,3,1,1,2,1,1479,86.5,6,5,82,3878,8181,99.76829268292683,0.5838060856111398,2.468920392584515,65.5609756097561,14,0,0,2264,9,8,3,66.7,19,11,0.5789473684210527,28,90,61,105,0,0,1
Wesley Saïd,0,2019-2020,23,1160,14,9,0,2,1,3,2,418,79.9,12,13,50,2400,1561,31.22,0.57,4.083582089552239,13.866666666666667,38,0,0,1368,43,84,41,68.3,20,9,0.45,9,8,46.4,28,1,1,0
Casimir Ninga,0,2019-2020,16,683,6,10,1,3,1,4,3,208,75,12,9,21,1859,498,23.714285714285715,0.5013448090371168,4.255707762557078,13.8125,35,1,0,932,30,63,20,45,5,5,1,3,2,44.8,29,1,1,0
Mathieu Debuchy,0,2019-2020,21,1769,20,1,4,1,1,2,1,1100,71.9,13,14,89,2663,5576,62.651685393258425,0.5512579797221179,3.0840336134453783,91.91489361702128,39,0,0,1468,33,66,17,64.7,44,26,0.5909090909090909,43,59,65.7,137,0,0,1
Serhou Guirassy,0,2019-2020,23,1921,23,0,0,9,2,11,6,622,70.7,14,7,51,2473,977,19.15686274509804,0.35705620703598867,1.6787072243346008,93.95876288659794,37,0,0,883,30,178,32,46.9,7,3,0.42857142857142855,4,21,48.9,190,1,0,0
Tristan Dingomé,0,2019-2020,15,892,12,3,2,0,1,1,0,374,71.4,12,13,51,703,988,19.372549019607842,0.2716927453769559,0.8526785714285714,2.3333333333333335,30,0,0,191,1,48,5,60,10,4,0.4,6,1,25,8,0,1,0
William Vainqueur,0,2019-2020,21,1715,21,0,2,0,0,0,0,985,88.7,9,4,74,2962,3064,41.4054054054054,0.41087103308575285,1.7536023054755043,21.11111111111111,29,0,0,1217,15,31,25,84,68,36,0.5294117647058824,29,23,52.6,38,0,1,0
Wissam Ben Yedder,0,2019-2020,26,2164,25,1,0,18,4,22,15,819,72.2,45,31,102,3608,2319,22.735294117647058,0.5121951219512195,2.9379968203497615,12.352941176470589,90,1,1,1848,71,209,56,60.7,22,16,0.7272727272727273,4,1,26.1,46,1,0,0
Pablo Sarabia,0,2019-2020,21,1164,13,8,4,4,3,7,4,681,77.1,19,20,73,2412,1797,24.616438356164384,0.5696517412935324,2.699410609037328,3.3333333333333335,40,1,0,1374,41,185,9,55.6,12,7,0.5833333333333334,10,5,25,12,1,1,0
Théo Pellenard,0,2019-2020,8,455,4,4,9,0,0,0,0,276,75.4,7,4,21,805,1335,63.57142857142857,0.5739130434782609,3.3,7.5,12,0,0,462,12,27,8,50,11,8,0.7272727272727273,5,8,71.4,7,0,0,1
Kalifa Coulibaly,0,2019-2020,21,1616,18,3,1,4,0,4,4,337,54.9,13,7,21,1380,472,22.476190476190474,0.3927536231884058,1.9426523297491038,99.07692307692308,28,0,0,542,23,124,27,29.6,11,7,0.6363636363636364,6,32,51.9,189,1,0,0
Rafael,0,2019-2020,13,700,9,4,7,0,0,0,0,444,80,3,3,34,1026,1934,56.88235294117647,0.5116959064327485,2.019230769230769,18.88888888888889,13,1,0,525,11,28,15,53.3,24,16,0.6666666666666666,10,14,65.4,26,0,0,1
Fernando Marçal,0,2019-2020,11,829,11,0,1,0,1,1,0,752,81,12,12,66,2483,3492,52.90909090909091,0.5996778091018928,2.9426877470355732,22.857142857142858,20,0,0,1489,27,50,12,50,28,18,0.6428571428571429,26,32,74.1,27,0,0,1
Rayan Aït-Nouri,0,2019-2020,17,1282,16,1,0,0,2,2,0,808,76.5,9,17,56,2684,4114,73.46428571428571,0.6002235469448585,3.6202247191011234,19.833333333333332,26,2,0,1611,45,69,35,54.3,29,22,0.7586206896551724,18,33,73.9,23,0,0,1
Haris Duljević,0,2019-2020,14,520,5,9,3,0,3,3,0,157,68.8,11,6,20,1127,328,16.4,0.5110913930789707,4,4.4,27,1,1,576,15,29,23,56.5,11,6,0.5454545454545454,2,1,28.6,14,1,1,0
Souleyman Doumbia,0,2019-2020,6,540,6,0,2,0,1,1,0,345,76.5,5,4,23,1292,1671,72.65217391304348,0.628482972136223,4.01980198019802,5.625,10,0,0,812,23,19,13,61.5,11,5,0.45454545454545453,6,21,38.5,13,0,0,1
Ruben Gabrielsen,0,2019-2020,8,656,8,0,0,0,0,0,0,297,82.5,1,1,14,1084,1863,133.07142857142858,0.5673431734317343,2.6394849785407724,26.4,2,0,0,615,3,0,3,100,3,2,0.6666666666666666,8,41,70.6,34,0,0,1
Eddy Gnahoré,0,2019-2020,17,1133,14,3,3,0,0,0,0,730,90.1,7,3,57,2647,2356,41.333333333333336,0.4359652436720816,2.4243697478991595,13,20,0,0,1154,12,32,7,42.9,24,12,0.5,9,25,50,24,0,1,0
Farid Boulaya,0,2019-2020,19,821,8,11,3,2,1,3,2,418,66.7,22,13,44,1988,1409,32.02272727272727,0.46227364185110664,3.2588652482269502,5.384615384615385,38,0,0,919,33,54,29,51.7,14,10,0.7142857142857143,6,3,27.8,18,1,0,0
Sidy Sarr,0,2019-2020,22,1165,12,10,1,0,2,2,0,529,70.5,11,6,58,1259,2025,34.91379310344828,0.5154884829229547,2.412639405204461,94.89795918367346,25,1,0,649,7,21,14,64.3,35,18,0.5142857142857142,15,18,65.5,142,0,1,0
Flavien Tait,0,2019-2020,17,885,9,8,5,2,2,4,2,410,72.9,18,17,51,2379,1171,22.96078431372549,0.5741908364859184,3.691891891891892,4.3076923076923075,42,0,0,1366,46,67,32,68.8,20,13,0.65,9,5,23.5,17,1,1,0
Hwang Ui-jo,0,2019-2020,24,1633,19,5,2,6,2,8,6,415,82.2,6,8,31,2119,768,24.774193548387096,0.4780556866446437,2.4527845036319613,15.681818181818182,29,1,0,1013,34,112,36,38.9,9,7,0.7777777777777778,5,5,40.5,37,1,1,0
Molla Wagué,0,2019-2020,9,682,8,1,16,0,0,0,0,324,83.3,1,1,9,1040,1595,177.22222222222223,0.4423076923076923,2.15962441314554,29.25,7,0,0,460,1,1,4,100,15,12,0.8,15,42,69.2,39,0,0,1
Lamine Koné,0,2019-2020,18,1473,17,1,4,1,0,1,1,741,80.7,4,6,49,3374,4180,85.3061224489796,0.5198577356253705,3.218348623853211,37.1875,8,0,0,1754,15,3,10,80,31,21,0.6774193548387096,25,47,68.6,51,0,0,1
Hamari Traoré,0,2019-2020,27,2411,27,0,0,0,5,5,0,1569,79.4,34,30,116,5360,8111,69.92241379310344,0.6121268656716418,3.2357001972386588,38.233333333333334,67,1,2,3281,85,122,41,61,55,26,0.4727272727272727,48,59,55.2,67,0,0,1
Mehdi Abeid,0,2019-2020,25,1817,20,5,1,1,2,3,1,967,81.9,27,6,104,3350,3634,34.94230769230769,0.44597014925373135,2.2984615384615386,13.764705882352942,53,2,0,1494,25,42,23,69.6,55,29,0.5272727272727272,23,8,43.3,30,0,1,0
Houssem Aouar,0,2019-2020,25,1956,23,2,1,3,4,7,3,1082,84.1,24,25,134,5915,3261,24.33582089552239,0.5438715131022823,3.4816017316017316,18.416666666666668,85,4,1,3217,105,127,112,59.8,28,12,0.42857142857142855,13,11,58.6,29,1,1,0
Jérémy Pied,0,2019-2020,5,450,5,0,18,0,0,0,0,331,72.2,2,11,32,925,1774,55.4375,0.5535135135135135,2.7978142076502732,5,10,0,0,512,11,24,6,50,18,10,0.5555555555555556,7,10,50,8,0,0,1
Bongani Zungu,0,2019-2020,21,992,10,11,3,0,0,0,0,545,79.6,2,2,47,1476,2479,52.744680851063826,0.40447154471544716,1.8256880733944953,18.666666666666668,17,1,0,597,6,4,6,66.7,27,11,0.4074074074074074,16,21,40,45,0,1,0
Timothée Kolodziejczak,0,2019-2020,15,1305,14,1,3,0,0,0,0,732,76.2,7,3,50,2602,3708,74.16,0.7071483474250576,4.932975871313673,26.38888888888889,12,0,0,1840,21,21,5,80,17,10,0.5882352941176471,30,44,58.1,43,0,0,1
Yohan Cabaye,0,2019-2020,15,858,12,3,1,0,1,1,0,521,78.7,8,6,59,1488,2692,45.6271186440678,0.5806451612903226,2.8609271523178808,9,21,1,0,864,11,11,8,75,29,18,0.6206896551724138,22,7,50,16,0,1,0
Axel Disasi,0,2019-2020,27,2430,27,0,0,1,0,1,1,1507,84.3,5,8,114,6034,9196,80.66666666666667,0.6711965528670865,4.037886340977069,72.42,22,0,0,4050,42,3,8,50,32,21,0.65625,26,97,58.7,121,0,0,1
Boubakary Soumaré,0,2019-2020,20,1213,15,5,6,0,0,0,0,758,89.3,12,4,74,3088,2982,40.2972972972973,0.4161269430051813,2.3577981651376145,11.11111111111111,25,1,0,1285,21,21,23,87,19,12,0.631578947368421,16,9,52.6,19,0,1,0
Presnel Kimpembe,0,2019-2020,16,1225,14,2,5,0,0,0,0,1114,94.8,1,0,58,4062,5899,101.70689655172414,0.568193008370261,2.731360946745562,21.666666666666668,7,0,0,2308,6,2,15,86.7,33,25,0.7575757575757576,21,33,62.5,32,0,0,1
Samuel Moutoussamy,0,2019-2020,18,523,3,15,10,0,0,0,0,320,81.6,7,2,38,1261,1362,35.8421052631579,0.5614591593973037,2.95,0,17,0,0,708,15,42,17,35.3,4,1,0.25,4,7,0,6,0,1,1
