,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
611,Victor Osimhen,"2,566",9,80,69,54.6,33.3,469,6,10,2022-2023,23,ng NGA,Napoli,it Serie A,32,"2,566",28.5,30,2,0,26,4,30,24,2,3,1,276,400,69,34,20,10,2,28,3890,582,158,199,79.4,71,108,65.7,21,29,72.4,80,54,0,5,11,8,2,9,6,0,0,1,2,0,469,2589,836,43,23,27,96,49,594,196,75,25,33.3,36,48,10,6,1,2,7,0,7,0,7,6,1,5,6,16,29,0,65,54,54.6,FW
612,Carlos Augusto,"3,083",9,56,83.2,63.3,54.1,1032,24,73,2022-2023,23,br BRA,Monza,it Serie A,35,"3,083",34.3,35,0,0,6,5,11,6,0,0,0,1430,1719,83.2,26,75,27,7,101,22788,6775,743,811,91.6,566,665,85.1,82,133,61.7,56,45,3,3,2,2,1,9,8,0,0,1,0,0,1032,5925,3073,87,62,15,45,28,1267,151,61,33,54.1,24,39.3,73,38,42,23,8,33,54,61.1,21,24,6,18,24,97,85,1,57,33,63.3,DF
613,Adrien Tameze,"3,031",3,53,76.5,46.6,49.1,713,37,51,2022-2023,28,cm CMR,Hellas Verona,it Serie A,37,"3,031",33.7,35,2,1,0,0,0,0,0,0,0,835,1092,76.5,22,91,17,3,103,14351,4390,376,468,80.3,363,430,84.4,73,116,62.9,53,44,2,1,1,4,1,3,3,0,0,0,0,0,713,3953,1618,32,34,4,39,34,739,58,53,26,49.1,22,41.5,51,30,21,26,4,28,63,44.4,35,51,14,37,37,88,55,2,27,31,46.6,MF
614,Adolfo Gaich,726,1,19,57,32.9,64.7,144,3,5,2022-2023,23,ar ARG,Hellas Verona,it Serie A,16,726,8.1,8,8,2,2,0,2,2,0,0,0,94,165,57,6,8,0,0,11,1055,200,61,100,61,22,39,56.4,0,2,0,19,14,0,2,0,2,1,1,0,0,0,0,1,0,144,637,181,6,4,4,22,9,198,33,17,11,64.7,5,29.4,5,3,0,3,2,1,6,16.7,5,7,2,5,3,8,7,1,25,51,32.9,FW
615,Caleb Okoli,960,1,2,75.3,63.2,0,265,30,21,2022-2023,21,it ITA,Atalanta,it Serie A,17,960,10.7,9,8,19,0,0,0,0,0,0,0,345,458,75.3,0,11,2,0,19,5887,2267,156,190,82.1,151,189,79.9,28,49,57.1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,265,1059,463,4,5,0,12,5,286,12,1,0,0,1,100,21,17,14,6,1,10,25,40,15,10,5,5,30,51,44,3,43,25,63.2,DF
616,Oliver Abildgaard,592,0,9,59,70.4,100,99,5,10,2022-2023,26,dk DEN,Hellas Verona,it Serie A,13,592,6.6,6,7,5,0,0,0,0,0,0,0,115,195,59,6,17,3,2,15,1943,930,58,85,68.2,41,71,57.7,13,27,48.1,9,8,0,0,1,0,0,0,0,0,0,0,0,0,99,401,156,2,3,0,6,1,116,8,1,1,100,0,0,10,6,6,3,1,7,16,43.8,9,7,1,6,5,15,17,0,50,21,70.4,MF
617,Manolo Gabbiadini,"2,354",4,62,68.5,36.8,24,535,6,23,2022-2023,30,it ITA,Sampdoria,it Serie A,35,"2,354",26.2,27,8,2,7,2,9,7,0,0,0,428,625,68.5,27,33,28,2,55,5770,1470,263,332,79.2,116,167,69.5,19,45,42.2,62,39,1,3,8,9,2,4,2,0,0,0,1,1,535,2482,1022,32,24,10,52,30,683,111,25,6,24,16,64,23,15,8,9,6,9,23,39.1,14,16,2,14,6,29,25,0,42,72,36.8,"FW,MF"
618,Nicolò Cambiaghi,"1,285",7,53,74.3,16.7,38.6,442,9,30,2022-2023,21,it ITA,Empoli,it Serie A,28,"1,285",14.3,12,16,3,6,1,7,6,0,0,0,321,432,74.3,15,19,18,5,42,4556,930,194,219,88.6,86,119,72.3,19,34,55.9,53,31,1,3,5,10,3,7,1,1,2,1,2,0,442,3746,1603,73,30,23,44,21,464,99,57,22,38.6,20,35.1,30,22,11,12,7,8,27,29.6,19,19,1,18,9,39,8,0,3,15,16.7,"FW,MF"
619,José Luis Palomino,759,2,9,82.6,64.9,66.7,308,28,23,2022-2023,32,ar ARG,Atalanta,it Serie A,15,759,8.4,8,7,2,1,0,1,1,0,0,0,428,518,82.6,2,26,4,2,29,7998,2928,169,191,88.5,214,242,88.4,44,70,62.9,9,7,0,1,1,0,0,2,1,0,0,1,0,0,308,1514,638,3,1,1,3,3,339,3,3,2,66.7,1,33.3,23,14,16,7,0,11,19,57.9,8,11,4,7,28,51,20,0,24,13,64.9,DF
620,Christian Gytkjær,559,2,9,67.6,33.3,60,84,0,6,2022-2023,32,dk DEN,Monza,it Serie A,22,559,6.2,3,19,16,1,0,1,1,0,1,1,69,102,67.6,3,3,2,0,6,895,155,41,57,71.9,18,26,69.2,3,3,100,9,7,0,0,2,0,0,2,1,0,0,1,0,0,84,274,53,1,2,2,17,5,119,32,5,3,60,2,40,6,2,1,4,1,2,5,40,3,6,1,5,0,6,2,0,10,20,33.3,"FW,MF"
621,Koffi Djidji,"2,424",1,18,86.7,48.5,80,919,34,50,2022-2023,29,ci CIV,Torino,it Serie A,34,"2,424",26.9,26,8,3,1,0,1,1,0,0,0,1249,1441,86.7,2,81,5,2,83,22239,6388,504,543,92.8,617,672,91.8,101,171,59.1,18,16,0,0,0,0,2,1,1,0,0,0,0,0,919,3316,1486,11,10,0,7,6,1123,13,5,4,80,1,20,50,25,32,17,1,18,32,56.3,14,29,14,15,34,84,72,0,47,50,48.5,DF
622,Riccardo Sottil,833,2,40,78.6,37.5,27.7,302,0,4,2022-2023,23,it ITA,Fiorentina,it Serie A,18,833,9.3,9,9,5,0,2,2,0,0,0,0,209,266,78.6,15,11,8,2,27,3457,554,102,115,88.7,84,109,77.1,18,25,72,40,31,0,2,4,3,0,2,2,0,0,0,0,0,302,2822,1548,65,35,28,28,13,316,123,47,13,27.7,21,44.7,4,3,2,0,2,2,5,40,3,2,0,2,0,4,0,0,3,5,37.5,FW
623,Danilo,"3,184",4,62,84.7,58.2,30.4,1380,47,92,2022-2023,31,br BRA,Juventus,it Serie A,37,"3,184",35.4,35,2,0,3,3,6,3,0,0,0,1884,2225,84.7,19,187,13,3,176,36469,13783,701,778,90.1,914,998,91.6,249,392,63.5,62,54,1,0,5,2,0,4,3,0,0,1,0,0,1380,6329,3479,39,26,1,22,9,1685,43,23,7,30.4,9,39.1,92,62,61,23,8,52,73,71.2,21,39,20,19,47,139,114,1,53,38,58.2,DF
624,Giulio Maggiore,894,1,14,74.4,39.1,25,300,8,20,2022-2023,24,it ITA,Salernitana,it Serie A,16,894,9.9,11,5,7,0,0,0,0,0,0,0,351,472,74.4,3,35,11,0,53,5873,1564,166,208,79.8,140,163,85.9,33,67,49.3,14,11,0,0,2,1,0,1,1,0,0,0,0,0,300,1117,427,7,3,1,18,4,365,13,4,1,25,2,50,20,8,11,6,3,10,21,47.6,11,19,4,15,8,28,10,0,9,14,39.1,MF
