,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1811,James Rodríguez,"1,138",8,83,82.6,30,61.5,688,4,12,2018-2019,27,co COL,Bayern Munich,de Bundesliga,20,"1,138",12.6,13,7,4,7,3,10,7,0,0,0,805,974,82.6,51,74,36,5,135,14271,3994,369,401,92,302,349,86.5,100,157,63.7,83,56,19,1,6,1,0,8,5,2,0,0,1,0,688,3566,1708,35,26,7,13,12,822,103,26,16,61.5,10,38.5,12,8,3,4,5,5,19,26.3,14,9,0,9,4,16,1,0,3,7,30,MF
1812,Mario Gómez,"2,211",5,48,64.8,52.3,40,270,5,19,2018-2019,33,de GER,Stuttgart,de Bundesliga,31,"2,211",24.6,25,6,2,7,2,9,7,0,0,0,321,495,64.8,25,25,4,0,37,4290,945,195,267,73,93,140,66.4,11,26,42.3,48,37,0,3,6,0,2,5,3,0,0,2,0,0,270,1235,475,18,11,7,40,21,461,111,20,8,40,12,60,19,11,6,10,3,2,12,16.7,10,17,6,11,5,24,33,0,90,82,52.3,FW
1813,Niko Gießelmann,"2,593",9,66,72.6,61.3,47.8,807,36,57,2018-2019,26,de GER,Düsseldorf,de Bundesliga,30,"2,593",28.8,29,1,2,0,3,3,0,0,0,0,997,1373,72.6,26,89,28,11,116,18230,7745,429,502,85.5,431,557,77.4,115,241,47.7,66,41,10,3,6,6,0,9,5,1,0,1,2,0,807,4227,2149,54,37,6,32,8,944,100,23,11,47.8,12,52.2,57,37,38,14,5,26,59,44.1,33,25,6,19,36,93,85,1,49,31,61.3,DF
1814,Markus Suttner,489,0,12,68.9,53.8,0,154,8,10,2018-2019,31,at AUT,Düsseldorf,de Bundesliga,6,489,5.4,6,0,6,1,1,2,1,0,0,0,175,254,68.9,9,11,4,1,15,3581,1421,73,82,89,64,90,71.1,36,74,48.6,12,6,5,0,0,1,0,0,0,0,0,0,0,0,154,733,420,11,9,0,3,4,182,15,2,0,0,2,100,10,7,5,4,1,4,8,50,4,8,3,5,8,18,10,0,7,6,53.8,"DF,MF"
1815,Robin Quaison,"2,194",6,43,71.1,24.2,45.8,472,7,19,2018-2019,24,se SWE,Mainz 05,de Bundesliga,28,"2,194",24.4,25,3,1,7,3,10,7,0,0,0,329,463,71.1,22,29,13,3,50,4824,1012,190,235,80.9,105,134,78.4,21,34,61.8,43,32,0,2,4,5,0,6,5,0,0,1,0,0,472,2691,1033,36,35,15,38,58,512,122,48,22,45.8,26,54.2,19,12,3,10,6,5,12,41.7,7,9,1,8,7,26,4,0,23,72,24.2,"FW,MF"
1816,Sebastian Langkamp,"1,414",0,11,88.5,56.2,100,680,20,24,2018-2019,30,de GER,Werder Bremen,de Bundesliga,21,"1,414",15.7,15,6,10,0,0,0,0,0,0,0,858,970,88.5,5,53,1,0,79,16959,5377,268,292,91.8,489,534,91.6,93,126,73.8,11,10,0,0,1,0,0,0,0,0,0,0,0,0,680,4474,2922,30,8,0,5,0,767,5,2,2,100,0,0,24,15,18,6,0,7,14,50,7,17,11,6,20,44,79,1,41,32,56.2,DF
1817,Fabian Johnson,"1,012",2,13,79.9,33.3,20,363,10,13,2018-2019,30,us USA,Gladbach,de Bundesliga,18,"1,012",11.2,11,7,9,1,0,1,1,0,0,0,448,561,79.9,4,28,9,0,43,6835,1758,232,262,88.5,185,212,87.3,15,39,38.5,13,11,0,0,0,2,0,2,1,0,0,0,1,0,363,1786,1034,20,18,3,11,8,435,43,5,1,20,4,80,13,5,2,8,3,6,8,75,2,8,3,5,10,23,16,0,8,16,33.3,"DF,FW"
1818,Hendrik Weydandt,"1,723",2,53,56.3,51.2,30.6,364,5,18,2018-2019,23,de GER,Hannover 96,de Bundesliga,28,"1,723",19.1,18,10,4,6,1,7,6,0,0,0,251,446,56.3,27,23,10,4,31,3127,775,159,241,66,56,121,46.3,9,19,47.4,53,36,0,4,7,6,0,2,2,0,0,0,0,0,364,1850,650,29,15,14,95,37,552,125,36,11,30.6,25,69.4,18,12,7,8,3,3,24,12.5,21,14,4,10,5,23,44,0,124,118,51.2,FW
1819,Hanno Behrens,"2,639",4,61,67.1,43,50,500,33,46,2018-2019,28,de GER,Nürnberg,de Bundesliga,30,"2,639",29.3,30,0,0,4,1,5,2,2,4,2,617,920,67.1,21,45,13,0,78,9110,2953,332,436,76.1,211,300,70.3,37,92,40.2,61,48,0,1,9,2,1,4,2,0,0,2,0,0,500,2637,1278,25,20,4,41,15,692,54,16,8,50,8,50,46,26,29,17,0,21,47,44.7,26,43,13,30,33,79,49,0,99,131,43,MF
1820,Thiago Alcántara,"2,408",9,98,89.9,47.2,85.1,1698,44,87,2018-2019,27,es ESP,Bayern Munich,de Bundesliga,30,"2,408",26.8,26,4,0,2,6,8,2,0,0,0,2325,2587,89.9,38,266,26,1,310,45160,12086,850,907,93.7,1047,1115,93.9,353,451,78.3,98,71,16,4,1,4,2,9,7,2,0,0,0,0,1698,8863,4874,49,60,4,21,28,2094,56,67,57,85.1,10,14.9,87,65,31,44,12,25,48,52.1,23,23,4,19,44,131,17,1,34,38,47.2,MF
