,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
201,Adam Armstrong,"3,745",19,115,79.9,59.1,27.3,985,9,25,2023-2024,26,eng ENG,Southampton,eng Championship,46,"3,745",41.6,44,2,0,21,13,34,17,4,4,0,970,1214,79.9,62,42,40,9,107,14323,2485,555,612,90.7,348,432,80.6,39,79,49.4,115,88,1,8,12,4,2,19,14,0,1,4,0,0,985,5206,2353,96,56,41,67,44,1263,382,77,21,27.3,44,57.1,25,16,8,8,9,13,28,46.4,15,30,3,27,9,34,23,0,26,18,59.1,"FW,MF"
202,Josh Koroma,"2,422",9,73,67.8,22.5,50,547,8,26,2023-2024,24,sl SLE,Huddersfield,eng Championship,39,"2,422",26.9,29,10,5,6,2,8,6,0,0,0,436,643,67.8,30,39,30,9,72,7280,1926,214,266,80.5,165,239,69,41,82,50,73,44,3,10,7,5,4,9,5,0,3,1,0,0,547,3454,1702,52,33,17,67,32,617,164,58,29,50,22,37.9,26,18,11,7,8,10,23,43.5,13,21,2,19,8,34,12,0,23,79,22.5,"FW,MF"
203,James Hill,"1,298",4,20,77.5,63,11.1,558,29,33,2023-2024,21,eng ENG,Blackburn,eng Championship,18,"1,298",14.4,14,4,3,1,3,4,1,0,0,0,732,945,77.5,8,60,11,3,69,13442,5507,297,347,85.6,349,413,84.5,70,139,50.4,20,18,0,0,2,0,0,4,4,0,0,0,0,0,558,2593,1313,21,14,0,18,5,703,27,9,1,11.1,7,77.8,33,21,19,12,2,17,23,73.9,6,17,8,9,29,62,63,0,51,30,63,DF
204,Flynn Downes,"2,550",7,66,93,35.4,52.2,1262,47,60,2023-2024,24,eng ENG,Southampton,eng Championship,33,"2,550",28.3,31,2,0,2,2,4,2,0,0,0,2019,2170,93,25,120,22,3,122,29909,5447,1152,1214,94.9,744,786,94.7,73,99,73.7,66,59,1,2,1,1,2,7,6,1,0,0,0,0,1262,5466,2845,48,44,3,20,18,1842,43,46,24,52.2,15,32.6,60,39,17,32,11,22,38,57.9,16,31,10,21,47,107,22,0,28,51,35.4,MF
205,Bobby Thomas,"3,759",1,30,80.3,59,60,1656,54,63,2023-2024,,eng ENG,Coventry City,eng Championship,44,"3,759",41.8,42,2,2,2,0,2,2,0,0,0,2004,2495,80.3,9,160,15,2,162,39451,16465,621,717,86.6,1154,1292,89.3,209,425,49.2,30,23,1,0,5,0,1,1,0,0,0,1,0,0,1656,8169,4282,29,23,0,39,6,1903,15,15,9,60,6,40,63,41,44,17,2,40,63,63.5,23,80,54,26,54,117,190,3,102,71,59,DF
206,Jack Stephens,"1,490",1,28,92.1,90.9,100,972,19,24,2023-2024,29,eng ENG,Southampton,eng Championship,23,"1,490",16.6,17,6,8,0,0,0,0,0,0,0,1408,1528,92.1,13,132,11,0,106,22490,8044,711,749,94.9,604,636,95,66,95,69.5,28,23,0,0,3,0,2,1,0,0,0,1,0,0,972,5260,3453,29,20,1,11,8,1294,18,6,6,100,0,0,24,14,11,10,3,15,22,68.2,7,31,15,16,19,43,30,2,20,2,90.9,DF
207,Wilfred Ndidi,"2,127",14,58,80,52.5,27.6,621,27,37,2023-2024,26,ng NGA,Leicester City,eng Championship,32,"2,127",23.6,26,6,0,4,5,9,4,0,0,0,706,883,80,28,73,25,7,102,10703,2411,389,448,86.8,250,305,82,39,51,76.5,58,49,1,2,3,1,2,14,10,0,1,2,1,0,621,2894,1185,41,25,13,48,18,798,163,29,8,27.6,17,58.6,37,25,10,21,6,11,22,50,11,20,6,14,27,64,36,0,31,28,52.5,MF
208,Ben Wiles,"2,015",4,41,73.2,39.2,44.9,398,19,24,2023-2024,24,eng ENG,2 Teams,eng Championship,32,"2,015",22.4,22,10,9,0,2,2,0,0,0,0,423,578,73.2,21,45,16,2,63,6996,2029,216,261,82.8,157,199,78.9,36,76,47.4,41,26,5,4,4,1,1,4,4,0,0,0,0,0,398,1848,800,27,19,3,49,17,448,73,49,22,44.9,25,51,24,17,11,13,0,10,22,45.5,12,16,2,14,19,43,21,0,20,31,39.2,"FW,MF"
209,Jordan Thompson,"2,215",4,47,76.6,33.3,28.6,731,21,59,2023-2024,26,nir NIR,Stoke City,eng Championship,32,"2,215",24.6,23,9,11,2,2,4,2,0,0,0,977,1276,76.6,25,98,25,14,122,17008,5768,454,526,86.3,392,464,84.5,109,219,49.8,47,42,3,0,1,1,0,4,3,0,0,0,1,0,731,3325,1495,24,17,3,26,17,900,65,21,6,28.6,13,61.9,59,37,27,27,5,30,47,63.8,17,20,8,12,21,80,43,0,7,14,33.3,"DF,MF"
210,Tyler Roberts,729,1,21,67.2,40,41.2,209,4,13,2023-2024,24,wls WAL,Birmingham City,eng Championship,17,729,8.1,8,9,8,0,1,1,0,0,0,0,156,232,67.2,4,15,5,0,32,2559,652,73,98,74.5,57,75,76,16,29,55.2,21,13,0,2,2,3,1,1,1,0,0,0,0,0,209,1321,528,19,13,6,23,15,237,41,17,7,41.2,8,47.1,13,7,3,8,2,5,11,45.5,6,7,0,7,4,17,8,0,10,15,40,"FW,MF"
211,Cohen Bramall,"2,944",6,43,63.1,56.1,48.6,574,30,40,2023-2024,27,eng ENG,Rotherham Utd,eng Championship,36,"2,944",32.7,33,3,0,1,3,4,1,0,0,0,638,1011,63.1,23,54,22,15,64,11218,4825,304,370,82.2,249,382,65.2,74,198,37.4,43,30,5,3,3,0,2,6,4,1,0,0,0,1,574,4064,2026,65,44,9,37,19,579,74,37,18,48.6,18,48.6,40,25,25,13,2,24,46,52.2,22,38,16,22,30,70,83,0,32,25,56.1,DF
212,Daniel Johnson,"1,631",3,60,76.7,21.7,47.8,562,16,27,2023-2024,30,jm JAM,Stoke City,eng Championship,26,"1,631",18.1,19,7,4,2,2,4,1,1,2,1,662,863,76.7,31,43,26,7,74,10580,2733,350,396,88.4,224,285,78.6,60,122,49.2,60,41,17,0,2,0,0,3,1,2,0,0,0,0,562,2597,1138,37,25,7,25,17,640,103,23,11,47.8,10,43.5,27,17,7,15,5,12,25,48,13,9,2,7,16,43,5,1,5,18,21.7,"MF,FW"
213,Niall Huggins,"1,330",4,25,84.4,26.7,57.5,590,22,27,2023-2024,22,wls WAL,Sunderland,eng Championship,19,"1,330",14.8,17,2,4,1,1,2,1,0,0,0,743,880,84.4,7,69,7,1,67,10652,3076,438,471,93,252,292,86.3,28,63,44.4,25,17,0,4,2,2,0,4,3,0,1,0,0,0,590,3595,1911,50,33,14,22,10,630,71,40,23,57.5,16,40,27,13,15,8,4,19,35,54.3,16,15,4,11,22,49,34,0,12,33,26.7,DF
