,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2201,Robert Bauer,956,1,14,73.4,40.9,100,220,21,31,2017-2018,22,de GER,Werder Bremen,de Bundesliga,16,956,10.6,12,4,18,0,0,0,0,0,0,0,369,503,73.4,4,34,4,3,39,7491,3460,124,149,83.2,196,249,78.7,48,84,57.1,14,10,3,0,0,0,1,1,0,1,0,0,0,0,220,1161,654,13,7,0,10,3,304,12,1,1,100,0,0,31,25,21,9,1,15,25,60,10,8,2,6,21,52,25,2,9,13,40.9,"DF,FW"
2202,Mario Götze,"1,601",6,77,79.1,45,38.1,674,8,50,2017-2018,25,de GER,Dortmund,de Bundesliga,23,"1,601",17.8,19,4,3,2,3,5,2,0,0,0,818,1034,79.1,40,76,44,6,125,11496,3342,481,553,87,243,302,80.5,40,82,48.8,77,61,10,1,3,2,0,6,6,0,0,0,0,0,674,3566,1626,44,45,21,32,31,927,142,42,16,38.1,26,61.9,50,43,19,24,7,14,34,41.2,20,17,1,16,8,58,9,0,9,11,45,MF
2203,Jhon Córdoba,957,3,30,67,35.7,31.4,218,1,13,2017-2018,24,co COL,Köln,de Bundesliga,18,957,10.6,9,9,1,0,2,2,0,0,0,0,146,218,67,7,8,6,2,16,2124,341,76,111,68.5,48,63,76.2,11,16,68.8,30,18,0,1,7,3,1,3,2,0,0,1,0,0,218,1456,566,27,19,16,35,19,286,99,35,11,31.4,24,68.6,13,10,0,11,2,1,5,20,4,6,2,4,1,14,9,0,30,54,35.7,FW
2204,Jorge Meré,"1,890",1,11,84.3,55.7,75,557,34,34,2017-2018,20,es ESP,Köln,de Bundesliga,22,"1,890",21,21,1,3,1,1,2,1,0,0,0,833,988,84.3,1,53,4,1,70,17202,6312,273,310,88.1,403,442,91.2,148,210,70.5,11,9,1,0,0,1,0,1,1,0,0,0,0,0,557,2860,1696,13,3,0,3,4,682,5,12,9,75,3,25,34,23,25,9,0,23,35,65.7,12,25,13,12,34,68,110,1,44,35,55.7,DF
2205,Fabian Frei,802,1,20,81.3,50,50,259,16,22,2017-2018,28,ch SUI,Mainz 05,de Bundesliga,11,802,8.9,10,1,6,1,0,1,1,0,0,0,348,428,81.3,8,35,6,0,48,5989,1997,159,178,89.3,142,164,86.6,35,61,57.4,20,18,0,1,1,0,0,1,1,0,0,0,0,0,259,1015,491,3,3,1,8,5,315,7,4,2,50,2,50,22,15,7,12,3,8,15,53.3,7,10,0,10,16,38,17,1,6,6,50,MF
2206,Ludwig Augustinsson,"2,532",3,64,76.1,48.8,16.7,632,39,45,2017-2018,23,se SWE,Werder Bremen,de Bundesliga,29,"2,532",28.1,29,0,0,1,1,2,1,0,0,0,1103,1450,76.1,30,101,23,19,103,19321,7653,504,594,84.8,483,599,80.6,100,185,54.1,64,46,11,0,6,1,0,3,2,0,0,1,0,0,632,3362,1787,48,29,5,17,23,973,151,12,2,16.7,10,83.3,45,34,22,20,3,22,32,68.8,10,25,3,22,39,84,53,0,42,44,48.8,"DF,FW"
2207,Nigel de Jong,737,1,14,83.3,72.2,100,185,12,17,2017-2018,32,nl NED,Mainz 05,de Bundesliga,11,737,8.2,10,1,6,0,0,0,0,0,0,0,300,360,83.3,4,28,1,0,32,5365,1886,132,155,85.2,132,151,87.4,30,41,73.2,14,13,1,0,0,0,0,1,1,0,0,0,0,0,185,713,238,0,3,0,3,7,235,2,1,1,100,0,0,17,12,7,9,1,10,14,71.4,4,5,1,4,12,29,22,1,13,5,72.2,MF
2208,Julian Brandt,"2,326",12,116,74,40.8,45.3,1002,16,24,2017-2018,21,de GER,Leverkusen,de Bundesliga,34,"2,326",25.8,26,8,0,9,3,12,9,0,0,0,972,1314,74,58,58,43,9,112,15051,3876,576,678,85,284,386,73.6,81,153,52.9,116,91,13,3,6,3,0,12,10,1,0,0,1,0,1002,6296,2795,91,61,28,42,40,1164,260,95,43,45.3,52,54.7,24,18,11,9,4,11,29,37.9,18,23,1,22,16,40,12,1,20,29,40.8,"FW,MF"
2209,Gideon Jung,"2,570",2,23,77.8,48.3,54.5,686,38,59,2017-2018,22,de GER,Hamburger SV,de Bundesliga,30,"2,570",28.6,29,1,0,1,1,2,1,0,0,0,815,1048,77.8,9,81,11,1,110,15924,5964,269,311,86.5,441,527,83.7,95,173,54.9,23,18,1,1,0,2,1,2,2,0,0,0,0,0,686,3019,1652,19,10,2,23,14,753,27,22,12,54.5,10,45.5,59,41,32,24,3,22,38,57.9,16,29,12,17,38,97,71,1,42,45,48.3,"MF,DF"
