,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2411,Callum Styles,678,0,35,68.8,33.3,64.5,244,13,22,2019-2020,19,hu HUN,Barnsley,eng Championship,17,678,7.5,5,12,8,1,0,1,1,0,0,0,269,391,68.8,17,24,8,0,32,3663,1452,167,201,83.1,73,112,65.2,12,40,30,35,20,4,3,3,4,1,0,0,0,0,0,0,0,244,1552,817,27,20,7,25,16,273,41,31,20,64.5,11,35.5,22,11,10,7,5,10,23,43.5,13,15,1,14,13,35,9,0,9,18,33.3,"MF,DF"
2412,Andy Rinomhota,"2,582",6,55,80.7,38.6,64.1,688,30,67,2019-2020,22,zw ZIM,Reading,eng Championship,37,"2,582",28.7,28,9,8,1,1,2,1,0,0,0,864,1071,80.7,16,76,13,1,100,14336,3907,420,481,87.3,361,426,84.7,61,104,58.7,55,34,2,0,1,14,4,6,1,0,0,0,4,1,688,4198,1974,39,32,3,43,27,798,29,39,25,64.1,14,35.9,67,51,30,30,7,20,54,37,34,25,7,18,30,97,34,1,27,43,38.6,MF
2413,Jake Forster-Caskey,581,5,12,66.7,33.3,50,110,8,11,2019-2020,25,eng ENG,Charlton Ath,eng Championship,11,581,6.5,7,4,6,0,1,1,0,0,0,0,152,228,66.7,3,13,9,3,26,2602,863,79,99,79.8,56,74,75.7,15,43,34.9,12,8,2,1,1,0,0,5,3,1,0,1,0,0,110,474,194,5,2,0,11,5,151,32,2,1,50,1,50,11,8,6,5,0,2,8,25,6,7,2,5,8,19,15,0,7,14,33.3,"MF,DF"
2414,Josh Bowler,"1,048",4,25,60.3,17.9,37.5,304,5,23,2019-2020,20,eng ENG,Hull City,eng Championship,28,"1,048",11.6,11,17,6,1,0,1,1,0,0,0,132,219,60.3,5,7,7,2,20,1812,468,73,103,70.9,48,70,68.6,3,22,13.6,25,10,0,5,1,8,1,4,2,0,0,1,1,0,304,2700,1261,56,27,29,41,39,300,84,64,24,37.5,40,62.5,23,15,14,6,3,8,24,33.3,16,7,0,7,5,28,2,0,5,23,17.9,"FW,MF"
2415,Han-Noah Massengo,"1,909",0,27,78.3,36.1,60,484,34,35,2019-2020,18,fr FRA,Bristol City,eng Championship,25,"1,909",21.2,23,2,16,0,0,0,0,0,0,0,566,723,78.3,7,61,7,0,77,9795,2647,258,310,83.2,230,269,85.5,60,94,63.8,27,20,0,3,1,3,0,0,0,0,0,0,0,0,484,2663,1015,13,16,2,51,30,570,21,25,15,60,10,40,35,19,15,20,0,8,30,26.7,22,20,6,14,34,69,14,1,22,39,36.1,MF
2416,Ryan Woods,"2,122",2,39,80.4,40.7,66.7,641,19,23,2019-2020,25,eng ENG,2 Teams,eng Championship,26,"2,122",23.6,25,1,8,0,1,1,0,0,0,0,851,1059,80.4,11,101,8,1,107,17526,4980,324,372,87.1,335,395,84.8,176,254,69.3,39,23,10,2,1,3,0,2,0,2,0,0,0,0,641,2905,988,11,12,1,24,23,695,12,24,16,66.7,8,33.3,23,18,13,8,2,11,30,36.7,19,18,13,5,19,42,18,0,24,35,40.7,MF
2417,Ben Thompson,"1,839",3,40,65.2,47.3,55.8,413,20,33,2019-2020,23,eng ENG,Millwall,eng Championship,28,"1,839",20.4,20,8,2,1,0,1,1,0,0,0,360,552,65.2,13,35,9,1,71,5401,1340,194,264,73.5,127,181,70.2,21,61,34.4,40,25,0,2,4,7,2,3,3,0,0,0,0,0,413,2418,1076,36,34,11,49,33,457,86,43,24,55.8,19,44.2,33,22,9,19,5,14,40,35,26,21,1,20,20,53,15,0,43,48,47.3,"MF,FW"
2418,Ashley Fletcher,"3,237",14,91,63.2,39.5,38.6,602,9,34,2019-2020,23,eng ENG,Middlesbrough,eng Championship,43,"3,237",36,37,6,1,11,7,18,10,1,1,0,432,684,63.2,40,35,25,2,68,5973,1423,248,357,69.5,131,195,67.2,23,43,53.5,91,68,0,7,8,8,0,14,9,0,2,0,3,0,602,4050,1663,65,33,29,95,51,770,187,57,22,38.6,35,61.4,34,23,16,9,9,13,33,39.4,20,29,2,27,9,43,28,1,101,155,39.5,FW
2419,Lee Tomlin,"2,164",18,98,68.8,15.5,60,632,16,18,2019-2020,30,eng ENG,Cardiff City,eng Championship,33,"2,164",24,24,9,3,8,10,18,8,0,0,0,524,762,68.8,47,63,32,1,92,8471,2705,267,336,79.5,193,271,71.2,45,98,45.9,98,54,15,12,4,13,0,18,9,2,2,2,3,0,632,3548,1637,44,51,13,55,30,675,106,55,33,60,22,40,18,12,4,10,4,8,38,21.1,30,15,2,13,16,34,9,0,9,49,15.5,MF
2420,Wayne Rooney,"1,734",8,58,77.9,48.4,71,815,10,14,2019-2020,33,eng ENG,Derby County,eng Championship,20,"1,734",19.3,20,0,0,5,3,8,3,2,2,0,929,1193,77.9,25,110,16,1,120,18858,6172,365,412,88.6,397,457,86.9,156,285,54.7,58,31,20,1,3,3,0,8,5,3,0,0,0,0,815,3292,1630,12,16,1,20,22,922,47,31,22,71,9,29,14,11,3,9,2,6,24,25,18,8,3,5,10,24,21,2,15,16,48.4,MF
2421,Mads Juel Andersen,"3,269",2,21,68.1,63,76.9,912,101,48,2019-2020,21,dk DEN,Barnsley,eng Championship,38,"3,269",36.3,37,1,4,0,1,1,0,0,0,0,1203,1767,68.1,8,74,6,0,117,23984,11354,401,512,78.3,638,826,77.2,148,367,40.3,21,18,0,0,3,0,0,2,2,0,0,0,0,0,912,5708,3530,13,6,2,23,4,910,4,13,10,76.9,3,23.1,48,26,35,12,1,23,45,51.1,22,35,18,17,101,149,192,4,196,115,63,DF
2422,Hélder Costa,"2,954",12,111,73.4,25,46.8,875,13,63,2019-2020,25,ao ANG,Leeds United,eng Championship,43,"2,954",32.8,33,10,0,4,5,9,4,0,0,0,780,1062,73.4,46,33,54,7,125,10669,2897,502,597,84.1,217,293,74.1,30,66,45.5,111,86,0,12,7,5,1,12,7,0,3,0,2,0,875,6703,3525,147,81,53,101,57,1107,376,126,59,46.8,67,53.2,63,37,23,23,17,15,66,22.7,51,30,1,29,13,76,25,0,16,48,25,"MF,FW"
2423,Scott Malone,"1,176",2,17,71.4,58.8,69.6,374,16,19,2019-2020,28,eng ENG,Derby County,eng Championship,18,"1,176",13.1,15,3,12,1,0,1,1,0,0,0,515,721,71.4,8,29,15,7,43,9169,3063,224,262,85.5,235,314,74.8,48,117,41,17,14,0,1,1,1,0,2,2,0,0,0,0,0,374,1975,1029,22,16,4,7,5,463,58,23,16,69.6,7,30.4,19,13,14,4,1,6,11,54.5,5,9,2,7,16,35,31,1,10,7,58.8,DF
2424,Danny Batth,"3,775",2,37,70.4,67.5,62.5,995,71,41,2019-2020,28,eng ENG,Stoke City,eng Championship,43,"3,775",41.9,40,3,3,4,1,5,4,0,0,0,1290,1833,70.4,10,88,7,1,90,29213,11452,302,387,78,746,913,81.7,231,482,47.9,37,31,1,0,4,1,0,2,1,0,0,1,0,0,995,5254,2916,7,5,0,20,3,1221,5,8,5,62.5,3,37.5,41,26,29,12,0,12,22,54.5,10,41,25,16,71,112,220,0,193,93,67.5,DF
2425,Mallik Wilks,"2,091",4,54,53.4,40.7,41,445,12,7,2019-2020,20,eng ENG,2 Teams,eng Championship,33,"2,091",23.2,24,9,0,6,0,6,6,0,0,0,191,358,53.4,10,13,11,5,31,2570,798,115,171,67.3,55,112,49.1,8,29,27.6,54,21,1,10,8,14,0,4,0,0,0,1,3,0,445,2889,1547,56,37,36,70,47,494,135,78,32,41,44,56.4,7,3,3,0,4,1,13,7.7,12,14,2,12,12,19,8,0,66,96,40.7,"FW,MF"
2426,Albie Morgan,"1,090",3,36,70,25,75,303,10,14,2019-2020,19,eng ENG,Charlton Ath,eng Championship,21,"1,090",12.1,11,10,2,0,2,2,0,0,0,0,346,494,70,20,50,12,5,48,7311,2260,122,141,86.5,153,191,80.1,66,143,46.2,36,28,6,0,1,1,0,3,2,0,0,1,0,0,303,1690,877,14,8,4,18,12,391,23,4,3,75,1,25,14,9,8,5,1,6,25,24,19,10,1,9,10,24,12,2,4,12,25,"MF,FW"
2427,George Byers,"2,086",1,72,77.6,40.6,70.6,622,30,58,2019-2020,23,sct SCO,Swansea City,eng Championship,35,"2,086",23.2,22,13,2,2,0,2,2,0,0,0,908,1170,77.6,30,87,27,2,125,14020,3880,477,557,85.6,324,396,81.8,60,105,57.1,72,56,2,2,10,1,1,1,1,0,0,0,0,0,622,2696,1199,29,25,4,32,15,934,66,17,12,70.6,5,29.4,58,31,24,28,6,13,41,31.7,28,25,7,18,30,88,18,1,39,57,40.6,MF
2428,Grady Diangana,"1,853",13,100,75.6,31.4,56.6,693,7,28,2019-2020,21,cd COD,West Brom,eng Championship,30,"1,853",20.6,23,7,1,8,6,14,8,0,0,0,567,750,75.6,41,37,33,8,75,7417,1949,376,430,87.4,149,211,70.6,14,36,38.9,100,64,2,24,3,7,0,13,7,0,4,0,2,0,693,4635,2592,91,59,39,71,46,815,234,129,73,56.6,54,41.9,28,19,16,12,0,10,27,37,17,34,1,33,7,35,6,0,16,35,31.4,FW
2429,Josh Cullen,"3,025",10,113,77.8,46.4,75,862,45,67,2019-2020,23,ie IRL,Charlton Ath,eng Championship,34,"3,025",33.6,34,0,0,1,2,3,0,1,1,0,1327,1705,77.8,56,152,21,3,198,25700,7926,514,584,88,605,698,86.7,191,345,55.4,113,54,47,0,5,6,1,10,4,4,0,1,0,1,862,4309,1974,48,24,9,43,21,1119,47,32,24,75,8,25,67,30,32,34,1,24,50,48,26,32,15,17,45,112,49,0,39,45,46.4,MF
2430,Denis Odoi,"2,599",3,35,84.1,52.5,76.9,956,34,40,2019-2020,31,gh GHA,Fulham,eng Championship,34,"2,599",28.9,30,4,5,0,1,1,0,0,0,0,1500,1783,84.1,14,104,12,7,122,24772,7849,763,818,93.3,582,670,86.9,127,218,58.3,35,25,3,3,2,2,0,3,2,0,1,0,0,0,956,5502,2782,44,30,2,30,12,1243,36,26,20,76.9,5,19.2,40,24,25,10,5,18,36,50,18,33,16,17,34,74,100,0,74,67,52.5,DF
2431,Joey Pelupessy,935,0,6,75.2,44.4,100,164,17,31,2019-2020,26,nl NED,Sheffield Weds,eng Championship,17,935,10.4,11,6,22,0,0,0,0,0,0,0,236,314,75.2,3,21,1,0,25,4108,1413,102,124,82.3,96,126,76.2,26,42,61.9,6,3,2,0,0,0,1,0,0,0,0,0,0,0,164,675,184,1,1,0,7,3,175,3,2,2,100,0,0,31,23,16,12,3,13,24,54.2,11,10,4,6,17,48,12,0,16,20,44.4,MF
2432,Omar Richards,"2,091",1,39,76.2,34.5,40,623,30,71,2019-2020,21,eng ENG,Reading,eng Championship,28,"2,091",23.2,23,5,9,0,0,0,0,0,0,0,759,996,76.2,24,47,18,9,68,11373,4555,465,521,89.3,233,310,75.2,49,126,38.9,39,30,3,1,3,2,0,1,0,0,0,1,0,0,623,3238,1780,45,29,11,26,12,655,93,30,12,40,18,60,71,41,48,21,2,25,45,55.6,20,33,8,25,30,101,57,0,10,19,34.5,DF
2433,David Nugent,"1,022",2,31,67.3,39.6,33.3,207,1,10,2019-2020,34,eng ENG,Preston,eng Championship,24,"1,022",11.4,11,13,11,1,0,1,1,0,0,0,226,336,67.3,16,23,12,1,39,3080,846,139,190,73.2,64,88,72.7,10,17,58.8,31,27,0,0,3,1,0,2,1,0,0,1,0,0,207,936,298,9,9,3,42,13,363,76,18,6,33.3,12,66.7,10,6,2,5,3,3,15,20,12,7,0,7,1,11,5,0,72,110,39.6,FW
2434,Mahlon Romeo,"3,744",5,85,64.5,43.9,45.5,874,29,113,2019-2020,23,ag ATG,Millwall,eng Championship,43,"3,744",41.6,43,0,0,0,1,1,0,0,0,0,1069,1657,64.5,30,81,42,22,131,17698,8523,583,682,85.5,387,591,65.5,86,293,29.4,85,52,14,4,2,12,1,5,4,0,0,0,1,0,874,5999,3471,116,67,16,56,31,1008,142,66,30,45.5,36,54.5,113,76,64,39,10,44,84,52.4,40,35,15,20,29,142,84,0,36,46,43.9,"DF,MF"
2435,Jordan Storey,725,0,1,78,69.1,100,197,19,8,2019-2020,21,eng ENG,Preston,eng Championship,10,725,8.1,7,3,14,0,0,0,0,0,0,0,255,327,78,0,11,1,0,11,5490,1866,81,93,87.1,118,133,88.7,50,88,56.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,197,976,531,3,0,0,3,2,224,0,3,3,100,0,0,8,4,5,3,0,3,8,37.5,5,4,3,1,19,27,44,0,38,17,69.1,DF
2436,Hal Robson-Kanu,"2,317",6,66,74.4,28.7,55.6,545,3,7,2019-2020,30,wls WAL,West Brom,eng Championship,39,"2,317",25.7,24,15,3,10,1,11,9,1,1,0,351,472,74.4,32,31,15,2,61,4834,1062,218,257,84.8,104,135,77,13,26,50,66,51,0,5,4,6,0,6,4,0,0,1,1,0,545,3432,1169,58,48,18,105,63,623,207,81,45,55.6,36,44.4,7,4,1,4,2,3,13,23.1,10,8,2,6,3,10,23,0,33,82,28.7,FW
2437,Ryan Leonard,"1,082",3,20,74.3,51.2,20,241,16,33,2019-2020,27,eng ENG,Millwall,eng Championship,17,"1,082",12,13,4,5,1,0,1,1,0,0,0,315,424,74.3,7,37,5,0,39,5935,1608,130,161,80.7,134,163,82.2,44,73,60.3,20,11,6,0,1,1,1,3,1,1,0,1,0,0,241,1036,357,7,10,2,15,4,275,20,5,1,20,4,80,33,20,13,16,4,10,22,45.5,12,14,4,10,16,49,22,0,21,20,51.2,MF
2438,Kevin Stewart,"1,968",3,30,75.8,38.2,70,513,47,93,2019-2020,25,jm JAM,Hull City,eng Championship,27,"1,968",21.9,21,6,5,3,1,4,3,0,0,0,580,765,75.8,11,80,11,1,100,10594,4109,246,291,84.5,259,315,82.2,65,125,52,30,22,1,3,2,1,1,3,2,0,0,1,0,0,513,3090,1378,15,15,2,31,14,522,8,30,21,70,9,30,93,55,43,42,8,22,59,37.3,37,30,3,27,47,140,28,0,21,34,38.2,MF
2439,Alex Pritchard,964,4,38,70.4,10,45.2,365,7,16,2019-2020,26,eng ENG,Huddersfield,eng Championship,18,964,10.7,10,8,8,0,1,1,0,0,0,0,311,442,70.4,20,24,12,2,49,4593,1443,186,212,87.7,92,128,71.9,23,68,33.8,38,24,7,2,2,2,1,4,3,0,0,1,0,0,365,2036,738,23,29,9,32,21,427,80,31,14,45.2,17,54.8,16,12,6,7,3,3,16,18.8,13,5,1,4,7,23,3,0,1,9,10,"MF,FW"
2440,Niclas Eliasson,"1,968",8,84,51.9,25.9,52.2,495,11,52,2018-2019,22,se SWE,Bristol City,eng Championship,33,"1,968",21.9,21,12,13,2,6,8,2,0,0,0,360,693,51.9,53,14,32,27,35,6166,2170,184,244,75.4,131,239,54.8,40,163,24.5,84,41,28,4,5,3,3,8,7,1,0,0,0,0,495,3288,1321,62,25,10,69,36,554,198,46,24,52.2,22,47.8,52,35,19,24,9,21,39,53.8,18,20,1,19,11,63,14,0,21,60,25.9,"MF,FW"
2441,Onel Hernández,"3,137",26,159,72.3,25.6,46.9,972,18,40,2018-2019,25,cu CUB,Norwich City,eng Championship,40,"3,137",34.9,34,6,1,8,9,17,8,0,0,0,697,964,72.3,67,23,36,9,66,9333,1963,439,533,82.4,207,281,73.7,21,44,47.7,159,110,0,15,21,12,1,26,13,0,5,5,2,1,972,7338,4067,192,59,105,89,84,1032,389,147,69,46.9,78,53.1,40,25,12,19,9,9,36,25,27,36,2,34,18,58,21,1,22,64,25.6,FW
2442,Morgan Fox,"1,882",5,25,65.5,58,63.6,454,27,39,2018-2019,24,wls WAL,Sheffield Weds,eng Championship,25,"1,882",20.9,21,4,15,0,3,3,0,0,0,0,645,984,65.5,9,36,10,7,52,11918,5840,280,347,80.7,278,390,71.3,78,190,41.1,25,19,2,2,1,1,0,5,4,0,1,0,0,0,454,1973,932,19,25,2,15,13,523,56,11,7,63.6,4,36.4,39,20,25,13,1,10,21,47.6,11,25,10,15,27,66,64,1,65,47,58,DF
2443,Elliott Bennett,"3,399",12,79,71.2,45,71.4,982,53,113,2018-2019,29,eng ENG,Blackburn,eng Championship,40,"3,399",37.8,38,2,0,1,3,4,1,0,0,0,1282,1800,71.2,32,133,45,14,169,23319,8906,581,697,83.4,538,716,75.1,145,311,46.6,79,61,4,4,4,6,0,12,9,0,1,1,1,0,982,5178,2451,51,63,4,49,37,1220,154,28,20,71.4,8,28.6,113,65,54,46,13,33,79,41.8,46,58,13,45,53,166,84,2,49,60,45,"DF,FW"
2444,Ezri Konsa,"3,750",3,31,87.3,55,69.6,1396,46,50,2018-2019,20,eng ENG,Brentford,eng Championship,42,"3,750",41.7,42,0,2,1,0,1,1,0,0,0,1946,2230,87.3,8,121,7,0,164,36198,11486,707,778,90.9,1065,1155,92.2,159,250,63.6,31,23,2,2,1,2,1,3,3,0,0,0,0,0,1396,7549,4948,42,20,0,21,13,1612,9,23,16,69.6,7,30.4,50,34,25,24,1,27,38,71.1,11,34,20,14,46,96,156,1,82,67,55,DF
2445,Bright Osayi-Samuel,"1,140",1,47,73.4,22.2,53.6,249,5,13,2018-2019,20,ng NGA,QPR,eng Championship,27,"1,140",12.7,9,18,16,2,0,2,2,0,0,0,171,233,73.4,16,8,5,0,14,2462,473,104,132,78.8,57,73,78.1,5,8,62.5,47,23,2,11,5,5,1,1,0,0,0,1,0,0,249,2410,1277,55,31,38,28,38,257,91,56,30,53.6,26,46.4,13,8,4,4,5,2,7,28.6,5,5,0,5,5,18,4,0,10,35,22.2,"MF,FW"
2446,Nick Powell,"1,984",10,83,62.5,39.3,43.3,485,12,32,2018-2019,24,eng ENG,Wigan Athletic,eng Championship,32,"1,984",22,25,7,1,8,6,14,8,0,0,0,409,654,62.5,30,48,19,2,76,5740,1882,241,324,74.4,123,206,59.7,21,58,36.2,83,54,1,0,14,13,1,10,7,0,0,2,1,0,485,3087,1439,36,43,3,53,31,650,108,30,13,43.3,17,56.7,32,18,3,19,10,5,23,21.7,18,30,2,28,12,44,20,0,79,122,39.3,"MF,FW"
