,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1611,Matheus Cunha,"1,023",6,50,68.5,29.4,76.7,279,11,16,2019-2020,20,br BRA,2 Teams,de Bundesliga,21,"1,023",11.4,11,10,7,5,1,6,5,0,0,0,183,267,68.5,12,24,11,1,33,3112,1055,98,132,74.2,57,76,75,22,38,57.9,50,26,0,9,7,6,2,6,2,0,1,2,1,0,279,2015,1111,34,26,16,26,36,298,43,60,46,76.7,14,23.3,16,7,6,5,5,4,13,30.8,9,16,2,14,11,27,1,0,10,24,29.4,"FW,MF"
1612,Leonardo Bittencourt,"1,892",4,79,73.1,27,31.1,789,12,53,2019-2020,25,de GER,2 Teams,de Bundesliga,29,"1,892",21,23,6,3,4,2,6,4,0,0,0,663,907,73.1,33,38,26,14,57,9351,2894,400,466,85.8,195,280,69.6,37,75,49.3,79,50,8,2,6,9,4,4,2,1,0,1,0,0,789,4514,2049,60,53,11,60,29,815,163,45,14,31.1,31,68.9,53,29,23,18,12,9,51,17.6,42,20,3,17,12,65,14,0,17,46,27,MF
1613,Bas Dost,"1,475",7,42,58.9,65.8,50,182,5,11,2019-2020,30,nl NED,Eint Frankfurt,de Bundesliga,24,"1,475",16.4,16,8,0,8,2,10,8,0,0,0,271,460,58.9,19,36,5,0,42,3916,949,150,240,62.5,83,145,57.2,14,25,56,42,35,0,1,3,3,0,7,6,0,0,1,0,0,182,591,173,2,1,3,20,4,434,72,4,2,50,2,50,11,7,1,7,3,3,7,42.9,4,6,2,4,5,16,22,0,129,67,65.8,FW
1614,Renato Steffen,"1,585",6,48,73.5,36.7,66,507,23,25,2019-2020,27,ch SUI,Wolfsburg,de Bundesliga,27,"1,585",17.6,19,8,5,6,3,9,6,0,0,0,517,703,73.5,25,39,20,3,68,8273,2431,259,312,83,189,256,73.8,44,79,55.7,48,34,2,4,2,4,2,6,4,0,2,0,0,0,507,2751,1423,43,31,8,31,25,571,109,47,31,66,16,34,25,18,4,14,7,14,39,35.9,25,25,2,23,23,48,10,0,18,31,36.7,"MF,FW"
1615,Erik Thommy,"2,259",14,100,69.6,29.2,67.2,665,16,40,2019-2020,24,de GER,Düsseldorf,de Bundesliga,34,"2,259",25.1,25,9,0,6,4,10,6,0,0,0,618,888,69.6,39,43,25,12,90,10085,2815,314,371,84.6,221,284,77.8,54,135,40,100,47,19,15,6,13,0,14,6,4,3,0,1,0,665,5050,2745,108,65,26,43,44,760,177,67,45,67.2,22,32.8,40,23,16,16,8,15,39,38.5,24,23,2,21,16,56,20,1,14,34,29.2,"MF,FW"
1616,Patrick Herrmann,"1,453",12,54,69.4,30.3,52.2,427,11,24,2019-2020,28,de GER,Gladbach,de Bundesliga,27,"1,453",16.1,16,11,7,6,6,12,6,0,0,0,367,529,69.4,27,18,17,5,35,5319,1542,210,255,82.4,104,150,69.3,25,59,42.4,54,40,2,3,2,6,1,12,10,0,1,0,1,0,427,2293,1189,38,22,12,36,18,499,148,23,12,52.2,11,47.8,24,11,8,10,6,5,16,31.3,11,21,4,17,11,35,8,0,10,23,30.3,"FW,MF"
1617,Robert Andrich,"2,572",6,83,70.6,58.2,68.3,768,47,52,2019-2020,24,de GER,Union Berlin,de Bundesliga,30,"2,572",28.6,30,0,0,1,2,3,1,0,0,0,857,1214,70.6,32,109,30,9,151,13887,5187,389,492,79.1,339,452,75,71,157,45.2,83,55,4,5,11,6,2,6,4,0,0,0,1,1,768,3284,1325,25,22,5,36,17,831,31,41,28,68.3,13,31.7,52,27,28,18,6,19,60,31.7,41,27,7,20,47,99,36,0,46,33,58.2,MF
1618,Sebastian Rode,"1,936",8,59,84.3,40,92.9,704,34,58,2019-2020,28,de GER,Eint Frankfurt,de Bundesliga,29,"1,936",21.5,25,4,1,3,3,6,3,0,0,0,1006,1194,84.3,23,92,21,6,129,17080,4846,462,511,90.4,401,453,88.5,97,137,70.8,59,44,6,1,1,4,3,8,4,2,0,0,0,2,704,3999,2206,37,30,3,25,11,888,41,14,13,92.9,1,7.1,58,33,27,27,4,17,59,28.8,42,32,5,27,34,92,13,0,22,33,40,MF
1619,Matthias Zimmermann,"2,923",7,61,70.5,44.9,42.9,861,43,62,2019-2020,27,de GER,Düsseldorf,de Bundesliga,34,"2,923",32.5,33,1,0,1,2,3,1,0,0,0,1154,1638,70.5,25,130,34,21,193,20507,8384,515,612,84.2,500,680,73.5,115,260,44.2,61,52,6,1,0,1,1,7,6,1,0,0,0,0,861,4267,2368,59,39,3,30,8,1090,118,35,15,42.9,20,57.1,62,47,26,27,9,31,64,48.4,33,41,15,26,43,105,59,0,31,38,44.9,"DF,MF"
1620,Santiago Ascacíbar,634,1,6,83.9,38.9,70,162,16,26,2019-2020,22,ar ARG,Hertha BSC,de Bundesliga,8,634,7,7,1,0,0,1,1,0,0,0,0,261,311,83.9,2,15,1,1,26,4216,1042,127,144,88.2,97,107,90.7,22,30,73.3,6,5,1,0,0,0,0,1,1,0,0,0,0,0,162,805,314,3,3,0,7,3,188,3,10,7,70,3,30,26,13,15,11,0,11,28,39.3,17,13,2,11,16,42,13,0,7,11,38.9,MF
