,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
811,André Gomes,619,3,21,77.3,47.1,66.7,196,1,16,2021-2022,28,pt POR,Everton,eng Premier League,14,619,6.9,7,7,7,0,1,1,0,0,0,0,218,282,77.3,4,29,4,2,25,3491,1060,116,134,86.6,75,89,84.3,19,37,51.4,21,14,0,5,1,1,0,3,2,0,1,0,0,0,196,858,445,6,8,1,21,16,224,13,18,12,66.7,6,33.3,16,4,6,6,4,8,32,25,24,8,2,6,1,17,7,1,8,9,47.1,MF
812,Timothy Castagne,"2,127",1,27,81,50.6,31.6,781,29,67,2021-2022,25,be BEL,Leicester City,eng Premier League,27,"2,127",23.6,22,5,2,1,0,1,1,0,0,0,1077,1330,81,15,66,14,8,72,16391,5539,611,694,88,393,467,84.2,56,101,55.4,27,25,2,0,0,0,0,1,1,0,0,0,0,0,781,3239,1657,32,22,0,27,11,947,115,19,6,31.6,13,68.4,67,31,38,22,7,27,43,62.8,16,28,9,19,29,96,54,1,39,38,50.6,DF
813,Hassane Kamara,"1,623",0,18,69.5,66.7,50,529,69,53,2021-2022,27,ci CIV,Watford,eng Premier League,19,"1,623",18,18,1,0,1,0,1,1,0,0,0,637,917,69.5,10,47,10,4,55,10140,4864,352,416,84.6,223,311,71.7,48,137,35,18,16,0,1,1,0,0,0,0,0,0,0,0,0,529,2922,1403,32,14,2,16,6,505,25,30,15,50,15,50,53,34,31,16,6,27,43,62.8,16,20,4,16,69,122,67,0,30,15,66.7,DF
814,Daniel Amartey,"2,123",1,18,90.5,47.1,85.7,1133,21,26,2021-2022,26,gh GHA,Leicester City,eng Premier League,28,"2,123",23.6,23,5,6,0,0,0,0,0,0,0,1399,1546,90.5,4,71,1,0,62,25246,8400,508,550,92.4,769,810,94.9,103,140,73.6,18,18,0,0,0,0,0,1,1,0,0,0,0,0,1133,5040,2786,14,12,1,7,1,1278,0,7,6,85.7,1,14.3,26,13,19,7,0,19,29,65.5,10,30,22,8,21,47,93,4,33,37,47.1,DF
815,Albert Sambi Lokonga,"1,134",0,39,88.2,42.9,75,606,13,22,2021-2022,21,be BEL,Arsenal,eng Premier League,19,"1,134",12.6,12,7,18,0,0,0,0,0,0,0,727,824,88.2,18,68,14,1,84,12262,3171,331,367,90.2,324,352,92,54,78,69.2,39,36,0,0,1,1,1,0,0,0,0,0,0,0,606,3394,1921,28,20,1,13,8,696,16,4,3,75,1,25,22,18,11,9,2,12,14,85.7,2,12,7,5,13,35,12,4,15,20,42.9,MF
816,Lucas Digne,"2,439",8,88,73.1,56.6,36.7,851,37,46,2021-2022,28,fr FRA,2 Teams,eng Premier League,29,"2,439",27.1,29,0,1,0,4,4,0,0,0,0,1126,1540,73.1,52,74,33,18,97,16883,7655,660,748,88.2,360,486,74.1,75,201,37.3,88,60,23,3,0,2,0,8,5,2,0,0,1,0,851,4258,2084,59,44,4,22,19,933,168,30,11,36.7,19,63.3,46,29,34,7,5,30,47,63.8,17,31,13,18,37,83,70,0,47,36,56.6,DF
817,Christian Pulisic,"1,290",5,36,78,30,43.9,439,5,10,2021-2022,22,us USA,Chelsea,eng Premier League,22,"1,290",14.3,13,9,5,6,2,8,6,0,0,0,362,464,78,15,19,6,0,38,4638,921,240,279,86,100,121,82.6,7,13,53.8,36,24,0,1,4,6,1,5,4,0,0,1,0,0,439,2805,1233,44,31,18,50,25,511,108,57,25,43.9,32,56.1,10,7,6,3,1,3,17,17.6,14,12,0,12,5,15,10,0,12,28,30,"MF,FW"
818,Sam Byram,"1,027",2,11,76.3,50,37.5,317,22,24,2021-2022,27,eng ENG,Norwich City,eng Premier League,15,"1,027",11.4,11,4,6,0,0,0,0,0,0,0,393,515,76.3,4,15,2,0,23,5981,1974,219,248,88.3,144,197,73.1,17,36,47.2,11,6,1,1,2,1,0,2,0,0,0,1,1,0,317,1495,692,11,7,2,8,4,332,16,8,3,37.5,5,62.5,24,15,17,6,1,19,27,70.4,8,21,11,10,22,46,48,0,28,28,50,DF
819,Declan Rice,"3,179",9,78,90.4,60.9,69.4,1640,63,80,2021-2022,22,eng ENG,West Ham,eng Premier League,36,"3,179",35.3,35,1,0,1,4,5,1,0,0,0,1986,2197,90.4,24,256,26,4,256,35788,9260,848,903,93.9,887,938,94.6,203,258,78.7,78,67,0,5,3,0,3,9,9,0,0,0,0,0,1640,11377,5857,104,99,16,26,20,1777,44,72,50,69.4,22,30.6,80,42,45,32,3,38,71,53.5,33,45,21,24,63,143,52,1,42,27,60.9,MF
820,Andreas Christensen,"1,496",0,9,89.9,55.8,100,823,29,14,2021-2022,25,dk DEN,Chelsea,eng Premier League,19,"1,496",16.6,17,2,9,0,0,0,0,0,0,0,1201,1336,89.9,6,88,6,1,81,21164,7424,495,535,92.5,586,631,92.9,100,135,74.1,9,8,0,1,0,0,0,0,0,0,0,0,0,0,823,3835,2215,14,15,0,3,1,1058,5,4,4,100,0,0,14,8,9,4,1,4,7,57.1,3,14,6,8,29,43,57,1,48,38,55.8,DF
821,Enock Mwepu,996,7,26,73.5,23.7,65.2,305,12,22,2021-2022,23,zm ZAM,Brighton,eng Premier League,18,996,11.1,12,6,6,2,4,6,2,0,0,0,289,393,73.5,9,18,4,0,27,3992,899,159,191,83.2,98,127,77.2,10,29,34.5,26,18,0,2,3,3,0,7,6,0,0,0,1,0,305,1661,867,22,16,3,26,9,339,44,23,15,65.2,8,34.8,22,12,10,10,2,5,27,18.5,22,20,2,18,12,34,19,0,9,29,23.7,MF
822,Marc Cucurella,"3,089",3,101,80.2,52.6,50.9,1431,30,93,2021-2022,23,es ESP,Brighton,eng Premier League,35,"3,089",34.3,35,0,0,1,1,2,1,0,0,0,1890,2356,80.2,42,158,49,17,191,29046,9900,1014,1131,89.7,718,856,83.9,110,219,50.2,101,88,8,1,2,1,1,3,2,1,0,0,0,0,1431,6642,4085,104,64,8,40,15,1638,208,55,28,50.9,27,49.1,93,62,43,32,18,44,71,62,27,42,14,28,30,123,74,0,40,36,52.6,DF
