,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2411,Andrea Arrighini,"1,892",8,56,65.4,31.1,33.3,362,2,2,2018-2019,28,it ITA,Carpi,it Serie B,34,"1,892",21,19,15,2,4,5,9,3,1,2,1,231,353,65.4,21,11,12,0,22,3106,492,143,186,76.9,62,107,57.9,11,23,47.8,56,37,1,3,4,11,0,8,4,0,0,2,2,0,362,1661,662,35,17,18,53,21,468,163,21,7,33.3,14,66.7,2,1,0,0,2,1,5,20,4,2,0,2,2,4,9,0,32,71,31.1,FW
2412,Lorenzo Pasciuti,"1,804",5,64,61.3,28,73.7,470,27,44,2018-2019,28,it ITA,Carpi,it Serie B,22,"1,804",20,21,1,7,2,1,3,2,0,0,0,552,901,61.3,30,109,22,5,143,10301,4771,244,307,79.5,197,308,64,94,213,44.1,64,47,14,0,1,1,1,5,4,1,0,0,0,0,470,2850,1457,34,27,4,8,17,584,49,19,14,73.7,5,26.3,44,29,17,25,2,11,28,39.3,17,30,9,21,27,71,26,1,7,18,28,MF
2413,Samuel Di Carmine,"1,647",7,39,58.1,51.3,100,227,5,5,2018-2019,29,it ITA,Hellas Verona,it Serie B,22,"1,647",18.3,18,4,7,8,2,10,5,3,3,0,198,341,58.1,24,6,8,2,16,2548,308,131,208,63,51,83,61.4,5,13,38.5,39,29,0,0,4,6,0,7,4,0,0,1,2,0,227,884,287,14,5,4,31,16,393,134,2,2,100,0,0,5,4,2,2,1,1,4,25,3,3,0,3,5,10,21,0,39,37,51.3,FW
2414,Cristiano Lombardi,857,4,36,58.7,45,66.7,251,11,19,2018-2019,22,it ITA,Venezia,it Serie B,11,857,9.5,10,1,4,0,1,1,0,0,0,0,213,363,58.7,13,24,6,3,21,3297,1142,118,151,78.1,74,122,60.7,14,43,32.6,36,18,1,8,4,4,1,4,1,0,1,0,2,0,251,1900,1023,37,18,21,23,17,322,81,30,20,66.7,10,33.3,19,16,6,11,2,6,25,24,19,14,1,13,11,30,8,0,9,11,45,"FW,DF"
2415,Giampietro Perrulli,488,3,29,66.9,33.3,57.9,246,4,6,2018-2019,33,it ITA,Cremonese,it Serie B,9,488,5.4,6,3,3,0,2,2,0,0,0,0,200,299,66.9,18,20,15,6,44,3719,1280,92,107,86,75,117,64.1,30,60,50,29,19,6,4,0,0,0,3,2,0,1,0,0,0,246,1780,885,25,17,4,16,13,270,67,19,11,57.9,8,42.1,6,6,1,3,2,1,4,25,3,6,0,6,4,10,8,0,1,2,33.3,MF
2416,Alberto Almici,815,1,15,76.9,57.1,33.3,302,16,18,2018-2019,25,it ITA,Hellas Verona,it Serie B,11,815,9.1,9,2,19,1,1,2,1,0,0,0,436,567,76.9,6,48,7,2,53,6700,2774,261,284,91.9,133,173,76.9,28,72,38.9,15,11,3,0,0,1,0,1,1,0,0,0,0,0,302,1387,698,11,17,0,7,6,404,32,3,1,33.3,2,66.7,18,16,10,6,2,8,11,72.7,3,13,4,9,16,34,35,0,8,6,57.1,DF
2417,Cristian Buonaiuto,"1,555",13,81,79.6,36.1,63.3,445,17,31,2018-2019,25,it ITA,Benevento,it Serie B,31,"1,555",17.3,17,14,5,1,2,3,1,0,0,0,499,627,79.6,23,45,25,9,66,7981,2283,286,311,92,137,172,79.7,50,91,54.9,81,45,8,9,4,11,4,13,6,1,1,1,3,1,445,3720,2082,79,51,17,28,23,569,128,30,19,63.3,11,36.7,31,20,11,15,5,8,31,25.8,23,12,1,11,17,48,11,0,13,23,36.1,"MF,FW"
2418,Reda Boultam,534,0,13,68.3,33.3,41.2,159,2,8,2018-2019,20,nl NED,Cremonese,it Serie B,14,534,5.9,7,7,22,1,0,1,1,0,0,0,129,189,68.3,6,19,5,0,30,2203,585,64,78,82.1,50,67,74.6,12,26,46.2,13,9,0,3,0,1,0,0,0,0,0,0,0,0,159,1090,519,11,12,3,13,8,171,35,17,7,41.2,10,58.8,8,3,3,2,3,2,7,28.6,5,5,0,5,2,10,1,0,5,10,33.3,MF
2419,Francesco Renzetti,"1,253",2,30,71.1,52.9,66.7,441,20,32,2018-2019,30,it ITA,Cremonese,it Serie B,16,"1,253",13.9,13,3,20,0,1,1,0,0,0,0,571,803,71.1,16,64,17,11,84,9133,4297,313,351,89.2,201,280,71.8,42,123,34.1,30,22,5,1,0,0,2,2,2,0,0,0,0,0,441,2277,1423,29,20,2,9,7,534,67,18,12,66.7,6,33.3,32,14,19,10,3,19,32,59.4,13,11,4,7,20,52,31,0,18,16,52.9,DF
2420,Lorenzo Crisetig,910,3,30,79.2,62.5,100,271,18,8,2018-2019,25,it ITA,Benevento,it Serie B,12,910,10.1,11,1,5,0,1,1,0,0,0,0,415,524,79.2,12,57,1,0,55,7898,2441,168,203,82.8,164,200,82,68,95,71.6,30,26,1,0,1,0,2,3,2,0,0,0,0,1,271,1434,818,10,13,1,5,4,367,5,2,2,100,0,0,8,7,6,1,1,3,14,21.4,11,7,2,5,18,26,19,0,25,15,62.5,MF
