,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
40,Ferrán Torres,7,"1,211",2023-2024,23,es ESP,Barcelona,es La Liga,29,"1,211",13.5,12,17,2,7,2,9,7,0,0,0,FW
41,Álex Berenguer,7,"1,592",2023-2024,28,es ESP,Athletic Club,es La Liga,35,"1,592",17.7,15,20,1,7,3,10,6,1,1,0,FW
42,Marcos Llorente,6,"2,565",2023-2024,28,es ESP,Atlético Madrid,es La Liga,37,"2,565",28.5,29,8,0,6,4,10,6,0,0,0,"MF,DF"
43,Raúl,6,"1,355",2023-2024,22,es ESP,Osasuna,es La Liga,35,"1,355",15.1,13,22,2,6,1,7,6,0,0,0,FW
44,Raphinha,6,"1,368",2023-2024,26,br BRA,Barcelona,es La Liga,28,"1,368",15.2,17,11,2,6,9,15,5,1,1,0,"FW,MF"
45,Léo Baptistão,6,"1,837",2023-2024,30,br BRA,Almería,es La Liga,32,"1,837",20.4,22,10,1,6,0,6,6,0,0,0,FW
46,Arda Güler,6,377,2023-2024,18,tr TUR,Real Madrid,es La Liga,10,377,4.2,4,6,11,6,0,6,6,0,0,0,"FW,MF"
47,Álvaro García,6,"2,475",2023-2024,30,es ESP,Rayo Vallecano,es La Liga,32,"2,475",27.5,30,2,0,6,1,7,6,0,0,0,"FW,MF"
48,Kirian Rodríguez,6,"3,211",2023-2024,27,es ESP,Las Palmas,es La Liga,37,"3,211",35.7,36,1,0,6,2,8,6,0,0,0,MF
49,Bryan Zaragoza,6,"1,638",2023-2024,22,es ESP,Granada,es La Liga,21,"1,638",18.2,18,3,0,6,2,8,5,1,1,0,"MF,FW"
50,Abdón Prats,6,"1,270",2023-2024,30,es ESP,Mallorca,es La Liga,34,"1,270",14.1,11,23,4,6,1,7,6,0,0,0,"FW,MF"
51,Lucas Boyé,6,"2,541",2023-2024,27,ar ARG,Granada,es La Liga,31,"2,541",28.2,30,1,0,6,3,9,6,0,0,0,FW
52,Luis Javier Suárez,6,917,2023-2024,25,co COL,Almería,es La Liga,15,917,10.2,10,5,0,6,0,6,5,1,1,0,FW
53,Jaime Mata,5,"1,787",2023-2024,34,es ESP,Getafe,es La Liga,35,"1,787",19.9,22,13,1,5,1,6,5,0,0,0,"FW,MF"
54,Dodi Lukebakio,5,"1,125",2023-2024,25,be BEL,Sevilla,es La Liga,23,"1,125",12.5,12,11,1,5,1,6,5,0,0,0,"FW,MF"
55,Williot Swedberg,5,439,2023-2024,19,se SWE,Celta Vigo,es La Liga,15,439,4.9,4,11,16,5,0,5,5,0,0,0,"FW,MF"
56,Eric García,5,"2,694",2023-2024,22,es ESP,2 Teams,es La Liga,32,"2,694",29.9,30,2,2,5,0,5,5,0,0,0,DF
57,Chris Ramos,5,"2,612",2023-2024,26,es ESP,Cádiz,es La Liga,37,"2,612",29,30,7,0,5,1,6,5,0,0,0,"FW,MF"
58,Yangel Herrera,5,"2,107",2023-2024,25,ve VEN,Girona,es La Liga,29,"2,107",23.4,27,2,1,5,0,5,5,0,0,0,MF
59,İlkay Gündoğan,5,"2,994",2023-2024,32,de GER,Barcelona,es La Liga,36,"2,994",33.3,33,3,1,5,9,14,4,1,2,1,MF
60,Lamine Yamal,5,"2,201",2023-2024,16,es ESP,Barcelona,es La Liga,37,"2,201",24.5,22,15,1,5,5,10,5,0,0,0,FW
