,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
166,Vitor Roque,2,328,2023-2024,18,br BRA,Barcelona,es La Liga,14,328,3.6,2,12,5,2,0,2,2,0,0,0,FW
167,Bebé,2,212,2023-2024,33,cv CPV,Rayo Vallecano,es La Liga,19,212,2.4,0,19,15,2,0,2,1,1,1,0,"MF,FW"
168,Marc Roca,2,"1,980",2023-2024,26,es ESP,Betis,es La Liga,26,"1,980",22,24,2,6,2,2,4,2,0,0,0,MF
169,Carlos Fernández,2,408,2023-2024,27,es ESP,Real Sociedad,es La Liga,10,408,4.5,5,5,6,2,1,3,1,1,1,0,FW
170,Domingos André Ribeiro Almeida,2,965,2023-2024,23,pt POR,Valencia,es La Liga,18,965,10.7,12,6,3,2,1,3,2,0,0,0,"FW,MF"
171,Javier Muñoz,2,"2,640",2023-2024,28,es ESP,Las Palmas,es La Liga,37,"2,640",29.3,30,7,0,2,3,5,2,0,0,0,MF
172,Jonathan Viera,2,"1,529",2023-2024,33,es ESP,2 Teams,es La Liga,21,"1,529",17,19,2,2,2,4,6,0,2,2,0,"MF,FW"
173,Matija Nastasić,2,"2,258",2023-2024,30,rs SRB,Mallorca,es La Liga,26,"2,258",25.1,25,1,7,2,0,2,2,0,0,0,DF
174,Nemanja Gudelj,1,"1,742",2023-2024,31,rs SRB,Sevilla,es La Liga,22,"1,742",19.4,20,2,2,1,1,2,1,0,0,0,"DF,MF"
175,Luis Hernández,1,723,2023-2024,34,es ESP,Cádiz,es La Liga,9,723,8,8,1,0,1,0,1,1,0,0,0,DF
176,Raúl de Tomás,1,"1,272",2023-2024,28,es ESP,Rayo Vallecano,es La Liga,25,"1,272",14.1,15,10,11,1,2,3,0,1,1,0,FW
177,Lucas Torró,1,"1,788",2023-2024,29,es ESP,Osasuna,es La Liga,28,"1,788",19.9,21,7,9,1,0,1,1,0,0,0,MF
178,Copete,1,"1,333",2023-2024,23,es ESP,Mallorca,es La Liga,19,"1,333",14.8,17,2,16,1,1,2,1,0,0,0,DF
179,Jesus Vazquez,1,716,2023-2024,20,es ESP,Valencia,es La Liga,20,716,8,6,14,7,1,0,1,1,0,0,0,"DF,MF"
180,Adrià Pedrosa,1,"1,753",2023-2024,25,es ESP,Sevilla,es La Liga,31,"1,753",19.5,15,16,4,1,4,5,1,0,0,0,DF
181,Sergi Canós,1,"1,229",2023-2024,26,es ESP,Valencia,es La Liga,27,"1,229",13.7,15,12,1,1,2,3,1,0,0,0,"MF,FW"
182,Ignasi Miquel,1,"2,992",2023-2024,30,es ESP,Granada,es La Liga,34,"2,992",33.2,33,1,1,1,1,2,1,0,0,0,DF
183,Antonio Rüdiger,1,"2,709",2023-2024,30,de GER,Real Madrid,es La Liga,33,"2,709",30.1,30,3,1,1,0,1,1,0,0,0,DF
184,Yan Couto,1,"2,245",2023-2024,21,br BRA,Girona,es La Liga,34,"2,245",24.9,24,10,1,1,8,9,1,0,0,0,"DF,FW"
185,Gavi,1,944,2023-2024,18,es ESP,Barcelona,es La Liga,12,944,10.5,10,2,0,1,1,2,1,0,0,0,"MF,FW"
186,Giovanni González,1,"2,464",2023-2024,28,uy URU,Mallorca,es La Liga,34,"2,464",27.4,27,7,3,1,1,2,1,0,0,0,DF
187,Marko Milovanović,1,308,2023-2024,19,rs SRB,Almería,es La Liga,11,308,3.4,2,9,14,1,0,1,1,0,0,0,"FW,MF"
188,Kike Pérez,1,835,2023-2024,26,es ESP,Rayo Vallecano,es La Liga,24,835,9.3,9,15,8,1,0,1,1,0,0,0,"MF,FW"
189,Dani García,1,745,2023-2024,33,es ESP,Athletic Club,es La Liga,17,745,8.3,7,10,11,1,0,1,1,0,0,0,MF
190,Theo Corbeanu,1,182,2023-2024,21,ca CAN,Granada,es La Liga,9,182,2,2,7,7,1,0,1,1,0,0,0,"MF,FW"
191,Catena,1,"2,534",2023-2024,28,es ESP,Osasuna,es La Liga,30,"2,534",28.2,28,2,6,1,3,4,1,0,0,0,DF
192,Ronald Araújo,1,"1,997",2023-2024,24,uy URU,Barcelona,es La Liga,25,"1,997",22.2,21,4,7,1,2,3,1,0,0,0,DF
193,Carmona,1,"1,313",2023-2024,21,es ESP,Getafe,es La Liga,30,"1,313",14.6,15,15,1,1,1,2,1,0,0,0,"DF,MF"
194,Brian Ocampo,1,248,2023-2024,24,uy URU,Cádiz,es La Liga,13,248,2.8,1,12,9,1,0,1,1,0,0,0,"MF,FW"
195,Sergi Guardiola,1,495,2023-2024,32,es ESP,Cádiz,es La Liga,22,495,5.5,1,21,11,1,1,2,1,0,0,0,"FW,MF"
196,Marc Pubill,1,"1,883",2023-2024,20,es ESP,Almería,es La Liga,23,"1,883",20.9,22,1,1,1,3,4,1,0,0,0,DF
197,Pablo Ibáñez,1,"1,152",2023-2024,24,es ESP,Osasuna,es La Liga,33,"1,152",12.8,12,21,4,1,2,3,1,0,0,0,MF
198,Javier Llabrés,1,247,2023-2024,20,es ESP,Mallorca,es La Liga,16,247,2.7,1,15,22,1,0,1,1,0,0,0,"MF,FW"
199,Gonzalo Melero,1,"1,103",2023-2024,29,es ESP,Almería,es La Liga,28,"1,103",12.3,10,18,3,1,1,2,1,0,0,0,"MF,FW"
200,Nacho Vidal,1,512,2023-2024,28,es ESP,2 Teams,es La Liga,15,512,5.7,5,10,22,1,0,1,1,0,0,0,"DF,FW"
