,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2211,Carl Jenkinson,618,1,12,73.8,40,66.7,181,6,10,2019-2020,27,eng ENG,Nott'ham Forest,eng Championship,8,618,6.9,7,1,21,0,1,1,0,0,0,0,253,343,73.8,7,15,3,1,26,4196,1298,123,139,88.5,107,139,77,19,41,46.3,12,9,2,1,0,0,0,1,1,0,0,0,0,0,181,1133,704,16,14,4,4,3,207,26,9,6,66.7,3,33.3,10,7,6,2,2,3,8,37.5,5,3,1,2,6,16,21,1,8,12,40,DF
2212,Sam Winnall,504,1,12,60.5,29.5,50,102,0,5,2019-2020,28,eng ENG,Sheffield Weds,eng Championship,13,504,5.6,6,7,6,1,0,1,1,0,0,0,69,114,60.5,2,6,0,0,12,896,198,42,65,64.6,21,30,70,2,7,28.6,12,5,0,1,3,3,0,1,0,0,0,1,0,0,102,435,156,4,7,2,16,13,145,38,2,1,50,1,50,5,5,1,2,2,1,9,11.1,8,1,1,0,0,5,6,0,18,43,29.5,FW
2213,Karlan Grant,"3,698",10,115,67.7,26.8,41.8,959,19,18,2019-2020,21,eng ENG,Huddersfield,eng Championship,43,"3,698",41.1,42,1,0,19,4,23,13,6,7,1,821,1212,67.7,52,43,15,4,88,11476,3039,510,627,81.3,194,282,68.8,56,142,39.4,115,59,29,10,14,3,0,10,4,2,2,1,1,0,959,6767,2697,110,65,49,125,54,1136,315,110,46,41.8,64,58.2,18,12,8,6,4,4,23,17.4,19,16,0,16,19,37,24,0,37,101,26.8,FW
2214,Cameron Carter-Vickers,"2,366",1,11,78.2,70.5,50,664,35,33,2019-2020,21,us USA,2 Teams,eng Championship,28,"2,366",26.3,27,1,2,0,1,1,0,0,0,0,904,1156,78.2,8,36,8,3,65,17803,5752,309,367,84.2,480,574,83.6,107,192,55.7,11,11,0,0,0,0,0,1,1,0,0,0,0,0,664,3293,1803,18,5,4,7,4,763,33,10,5,50,5,50,33,25,23,7,3,10,15,66.7,5,27,19,8,35,68,136,0,86,36,70.5,DF
2215,Jon Toral,610,3,30,64.1,43.5,68.8,157,4,16,2019-2020,24,es ESP,Hull City,eng Championship,14,610,6.8,8,6,6,0,3,3,0,0,0,0,141,220,64.1,18,20,11,0,34,2191,687,71,95,74.7,55,78,70.5,7,26,26.9,30,22,1,2,3,0,2,3,2,0,0,1,0,0,157,819,398,11,10,3,20,9,193,43,16,11,68.8,5,31.3,16,8,4,9,3,2,14,14.3,12,3,0,3,4,20,1,0,10,13,43.5,"MF,FW"
2216,Rico Henry,"4,032",4,67,75.3,48.1,61,1415,48,72,2019-2020,22,eng ENG,Brentford,eng Championship,46,"4,032",44.8,46,0,0,0,2,2,0,0,0,0,1961,2603,75.3,31,128,28,14,181,29759,10467,1111,1249,89,676,908,74.4,121,284,42.6,67,55,4,3,0,5,0,4,4,0,0,0,0,0,1415,7709,4578,123,82,25,65,45,1678,199,59,36,61,23,39,72,53,45,24,3,27,49,55.1,22,47,13,34,48,120,122,1,87,94,48.1,"DF,MF"
2217,Paddy McNair,"3,279",6,100,70.7,49.3,51.7,1097,17,53,2019-2020,24,nir NIR,Middlesbrough,eng Championship,41,"3,279",36.4,36,5,1,6,2,8,4,2,3,1,1069,1513,70.7,48,95,35,15,134,19440,6229,486,576,84.4,434,543,79.9,126,310,40.6,100,63,20,5,1,10,1,6,4,1,0,0,1,0,1097,6981,3509,71,63,15,58,49,1152,105,60,31,51.7,29,48.3,53,29,20,28,5,24,68,35.3,44,18,7,11,17,70,76,0,70,72,49.3,"MF,DF"
2218,Christopher Schindler,"4,050",2,12,80.8,63.3,80,1185,50,68,2019-2020,29,de GER,Huddersfield,eng Championship,45,"4,050",45,45,0,0,2,1,3,2,0,0,0,1679,2079,80.8,4,63,2,0,107,33192,11711,534,617,86.5,938,1088,86.2,195,342,57,12,10,1,0,0,1,0,2,2,0,0,0,0,0,1185,6942,4003,16,6,0,16,4,1452,13,5,4,80,1,20,68,45,37,29,2,23,38,60.5,15,44,34,10,50,118,214,1,171,99,63.3,DF
2219,Jamie Paterson,"1,855",6,53,71.1,11.1,61.1,567,23,46,2019-2020,27,eng ENG,2 Teams,eng Championship,31,"1,855",20.6,20,11,6,7,4,11,7,0,0,0,590,830,71.1,26,70,20,5,72,11869,3490,237,289,82,234,284,82.4,107,207,51.7,53,33,13,4,0,3,0,6,3,2,1,0,0,0,567,3584,1417,44,28,15,38,26,636,89,54,33,61.1,21,38.9,46,23,19,20,7,16,41,39,25,22,5,17,23,69,18,0,3,24,11.1,"MF,FW"
2220,Lee Evans,"1,772",3,50,75.8,45.3,46.7,588,13,34,2019-2020,25,wls WAL,Wigan Athletic,eng Championship,32,"1,772",19.7,18,14,6,2,0,2,2,0,0,0,685,904,75.8,24,69,14,7,68,13679,3155,275,314,87.6,267,328,81.4,123,214,57.5,50,38,7,1,4,0,0,3,2,0,0,1,0,0,588,2769,978,15,12,4,30,18,669,48,15,7,46.7,8,53.3,34,20,12,18,4,16,34,47.1,18,11,5,6,13,47,20,0,24,29,45.3,MF
2221,Borja Bastón,"1,262",1,26,78.3,38.4,14.3,282,3,14,2019-2020,26,es ESP,Swansea City,eng Championship,20,"1,262",14,15,5,8,6,0,6,4,2,2,0,275,351,78.3,12,7,1,0,11,2996,329,187,227,82.4,53,67,79.1,3,5,60,26,19,0,0,5,2,0,1,1,0,0,0,0,0,282,1307,292,9,9,3,46,30,372,89,7,1,14.3,6,85.7,14,7,3,7,4,1,8,12.5,7,11,3,8,3,17,14,0,38,61,38.4,FW
