,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
443,Manu Trigueros,0,828,2022-2023,30,es ESP,Villarreal,es La Liga,23,828,9.2,8,15,7,0,1,1,0,0,0,0,MF
444,Oier Zarraga,0,852,2022-2023,23,es ESP,Athletic Club,es La Liga,26,852,9.5,6,20,11,0,0,0,0,0,0,0,MF
445,Tomás Alarcón,0,223,2022-2023,23,cl CHI,Cádiz,es La Liga,4,223,2.5,2,2,4,0,0,0,0,0,0,0,MF
446,Felix Garreta,0,90,2022-2023,18,es ESP,Betis,es La Liga,1,90,1,1,0,3,0,0,0,0,0,0,0,DF
447,Robin Le Normand,0,"2,796",2022-2023,25,es ESP,Real Sociedad,es La Liga,33,"2,796",31.1,31,2,1,0,0,0,0,0,0,0,DF
448,Cenk Özkacar,0,"1,365",2022-2023,21,tr TUR,Valencia,es La Liga,17,"1,365",15.2,14,3,19,0,0,0,0,0,0,0,DF
449,Diego Iturralde,0,45,2022-2023,19,es ESP,Sevilla,es La Liga,1,45,0.5,1,0,2,0,0,0,0,0,0,0,DF
450,Jorge Meré,0,601,2022-2023,25,es ESP,Cádiz,es La Liga,10,601,6.7,6,4,6,0,0,0,0,0,0,0,DF
451,Ludwig Augustinsson,0,132,2022-2023,28,se SWE,Mallorca,es La Liga,4,132,1.5,1,3,6,0,0,0,0,0,0,0,DF
452,Isco,0,799,2022-2023,30,es ESP,Sevilla,es La Liga,12,799,8.9,10,2,0,0,2,2,0,0,0,0,"MF,FW"
453,Diego Moreno,0,638,2022-2023,21,es ESP,Osasuna,es La Liga,11,638,7.1,7,4,7,0,0,0,0,0,0,0,DF
454,Antonio Sánchez,0,"1,076",2022-2023,25,es ESP,Mallorca,es La Liga,32,"1,076",12,11,21,5,0,0,0,0,0,0,0,"MF,DF"
455,Eden Hazard,0,196,2022-2023,31,be BEL,Real Madrid,es La Liga,6,196,2.2,2,4,27,0,1,1,0,0,1,1,FW
456,Adu Ares,0,84,2022-2023,20,es ESP,Athletic Club,es La Liga,8,84,0.9,0,8,7,0,0,0,0,0,0,0,"FW,MF"
457,Djené,0,"2,840",2022-2023,30,tg TOG,Getafe,es La Liga,33,"2,840",31.6,33,0,0,0,1,1,0,0,0,0,DF
458,Javi Galán,0,"3,160",2022-2023,27,es ESP,Celta Vigo,es La Liga,37,"3,160",35.1,36,1,0,0,3,3,0,0,0,0,DF
459,Aitor Ruibal,0,"1,454",2022-2023,26,es ESP,Betis,es La Liga,26,"1,454",16.2,15,11,10,0,0,0,0,0,0,0,"DF,FW"
460,Juan Cruz Armada,0,"2,062",2022-2023,30,es ESP,Osasuna,es La Liga,27,"2,062",22.9,21,6,9,0,0,0,0,0,0,0,DF
461,Randy Nteka,0,842,2022-2023,24,ao ANG,2 Teams,es La Liga,24,842,9.4,10,14,5,0,0,0,0,0,0,0,"FW,MF"
462,Jaime Seoane,0,326,2022-2023,25,es ESP,Getafe,es La Liga,16,326,3.6,2,14,22,0,0,0,0,0,0,0,"MF,FW"
463,Pablo Marín,0,360,2022-2023,19,es ESP,Real Sociedad,es La Liga,10,360,4,3,7,5,0,0,0,0,0,0,0,"MF,FW"
464,Helibelton Palacios,0,"1,915",2022-2023,29,co COL,Elche,es La Liga,24,"1,915",21.3,23,1,2,0,0,0,0,0,0,0,DF
465,Ángel Algobia,0,"1,138",2022-2023,23,es ESP,Getafe,es La Liga,26,"1,138",12.6,11,15,10,0,0,0,0,0,0,0,MF
466,Gerard Piqué,0,384,2022-2023,35,es ESP,Barcelona,es La Liga,6,384,4.3,4,2,7,0,0,0,0,0,0,0,DF
467,Alexander Callens,0,120,2022-2023,30,pe PER,Girona,es La Liga,6,120,1.3,0,6,7,0,0,0,0,0,0,0,DF
468,Diego Méndez,0,1,2022-2023,18,es ESP,Rayo Vallecano,es La Liga,1,1,0,0,1,5,0,0,0,0,0,0,0,MF
469,Chadi Riad,0,2,2022-2023,19,ma MAR,Barcelona,es La Liga,1,2,0,0,1,3,0,0,0,0,0,0,0,MF
