,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
11,Benoît Badiashile,"1,338",3,23,90.8,56,0,765,18,21,2023-2024,22,fr FRA,Chelsea,eng Premier League,18,"1,338",14.9,15,3,7,0,1,1,0,0,0,0,1065,1173,90.8,6,48,4,0,46,18737,7087,442,463,95.5,543,584,93,71,106,67,23,18,0,0,2,1,2,3,3,0,0,0,0,0,765,3225,1734,3,5,1,6,4,976,3,1,0,0,0,0,21,15,12,9,0,9,14,64.3,5,21,14,7,18,39,66,2,28,22,56,DF
12,Danny Ings,404,3,17,71,25,46.2,94,3,6,2023-2024,31,eng ENG,West Ham,eng Premier League,20,404,4.5,3,17,18,1,0,1,1,0,0,0,76,107,71,5,2,3,0,8,854,170,40,50,80,19,24,79.2,1,8,12.5,17,8,0,3,4,1,1,3,0,0,1,1,1,0,94,381,129,7,2,3,9,4,107,29,13,6,46.2,6,46.2,6,2,0,6,0,4,13,30.8,9,4,1,3,3,9,7,0,3,9,25,FW
13,Chris Richards,"2,094",3,16,82.6,58.1,100,574,27,46,2023-2024,23,us USA,Crystal Palace,eng Premier League,26,"2,094",23.3,23,3,9,1,1,2,1,0,0,0,778,942,82.6,6,41,2,0,43,13337,4341,362,413,87.7,341,389,87.7,58,100,58,16,11,0,0,2,0,3,3,3,0,0,0,0,0,574,2313,890,1,6,0,7,4,678,1,1,1,100,0,0,46,28,21,22,3,20,30,66.7,10,32,12,20,27,73,109,0,61,44,58.1,"DF,MF"
14,Milos Kerkez,"1,970",4,32,72.6,36.7,44.4,518,20,47,2023-2024,19,hu HUN,Bournemouth,eng Premier League,28,"1,970",21.9,22,6,3,0,1,1,0,0,0,0,613,844,72.6,12,34,14,9,44,9811,3390,322,375,85.9,237,333,71.2,43,94,45.7,32,25,0,0,4,2,1,4,2,0,0,0,1,1,518,3192,1617,46,28,8,29,10,538,93,27,12,44.4,12,44.4,47,26,31,13,3,30,42,71.4,12,31,11,20,20,67,60,2,18,31,36.7,DF
15,Ansu Fati,521,3,23,84.8,9.1,27.8,212,3,5,2023-2024,20,es ESP,Brighton,eng Premier League,19,521,5.8,3,16,5,2,0,2,2,0,0,0,178,210,84.8,6,14,7,0,28,2332,518,117,124,94.4,41,50,82,10,11,90.9,23,16,0,1,5,0,1,3,2,0,0,1,0,0,212,1025,451,16,5,9,15,10,238,50,18,5,27.8,9,50,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0,1,10,9.1,"MF,FW"
16,Brennan Johnson,"2,322",16,77,71.7,25,34.6,688,10,30,2023-2024,22,wls WAL,2 Teams,eng Premier League,35,"2,322",25.8,26,9,0,5,10,15,5,0,0,0,566,789,71.7,46,34,39,10,73,7986,1921,358,434,82.5,175,239,73.2,17,47,36.2,77,58,0,6,7,4,2,16,12,0,1,1,1,1,688,4310,2296,105,39,51,39,21,800,307,78,27,34.6,42,53.8,30,16,15,6,9,14,35,40,21,41,2,39,10,40,12,1,6,18,25,FW
17,Sandro Tonali,438,3,12,86.1,100,50,191,2,7,2023-2024,23,it ITA,Newcastle Utd,eng Premier League,8,438,4.9,5,3,1,1,0,1,1,0,0,0,241,280,86.1,7,16,4,2,19,3776,870,130,141,92.2,94,109,86.2,11,19,57.9,12,10,1,0,0,1,0,3,2,0,0,0,1,0,191,965,409,11,4,1,4,2,257,21,6,3,50,2,33.3,7,7,4,2,1,3,9,33.3,6,3,0,3,2,9,4,0,1,0,100,MF
18,Mathias Jørgensen,"1,087",0,12,75.2,53.1,75,275,12,17,2023-2024,33,dk DEN,Brentford,eng Premier League,14,"1,087",12.1,12,2,23,1,0,1,1,0,0,0,446,593,75.2,7,52,9,1,50,7338,3528,227,262,86.6,186,238,78.2,27,62,43.5,12,11,0,0,1,0,0,0,0,0,0,0,0,0,275,1222,758,5,4,0,4,1,372,4,4,3,75,0,0,17,12,15,1,1,11,19,57.9,8,9,5,4,12,29,40,0,26,23,53.1,DF
19,Yasser Larouci,531,0,8,70.8,20,58.8,137,7,17,2023-2024,22,dz ALG,Sheffield Utd,eng Premier League,11,531,5.9,6,5,23,0,0,0,0,0,0,0,131,185,70.8,2,11,0,0,14,1969,714,76,89,85.4,45,59,76.3,6,17,35.3,8,5,1,1,1,0,0,0,0,0,0,0,0,0,137,1225,741,18,13,4,1,5,134,12,17,10,58.8,7,41.2,17,9,10,5,2,10,14,71.4,4,6,1,5,7,24,20,1,1,4,20,DF
20,Mathias Jensen,"2,204",8,87,72.8,31.3,40.9,641,23,54,2023-2024,27,dk DEN,Brentford,eng Premier League,32,"2,204",24.5,27,5,0,3,3,6,3,0,0,0,875,1202,72.8,41,88,41,11,123,17423,6338,362,423,85.6,337,439,76.8,152,268,56.7,87,48,35,0,0,3,1,8,5,2,0,0,1,0,641,2961,1265,19,17,3,31,18,768,66,44,18,40.9,23,52.3,54,32,25,22,7,26,95,27.4,69,41,6,35,23,77,25,1,5,11,31.3,MF
21,Bobby Reid,"1,423",4,35,74.7,35.1,32,389,5,22,2023-2024,30,jm JAM,Fulham,eng Premier League,33,"1,423",15.8,17,16,5,6,2,8,6,0,0,0,364,487,74.7,17,25,17,5,47,5129,1431,211,240,87.9,112,157,71.3,17,37,45.9,35,29,0,1,3,0,2,4,3,0,0,0,0,1,389,1875,900,35,18,11,33,10,475,95,25,8,32,12,48,22,14,5,15,2,4,16,25,12,24,2,22,5,27,14,0,13,24,35.1,FW
22,Alex Scott,"1,014",3,44,76.2,38.9,35.1,330,12,24,2023-2024,19,eng ENG,Bournemouth,eng Premier League,23,"1,014",11.3,11,12,2,1,1,2,1,0,0,0,361,474,76.2,22,22,15,2,50,5733,1583,186,227,81.9,138,161,85.7,25,60,41.7,44,32,5,2,2,2,1,3,2,0,1,0,0,0,330,2166,1129,24,21,10,17,11,361,35,37,13,35.1,20,54.1,24,15,8,10,6,12,28,42.9,16,14,4,10,12,36,18,2,14,22,38.9,MF
