,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2011,Aritz Aduriz,943,1,19,61.3,47.7,22.2,142,0,4,2018-2019,37,es ESP,Athletic Club,es La Liga,20,943,10.5,10,10,3,2,0,2,0,2,2,0,146,238,61.3,8,9,4,1,15,1751,325,90,139,64.7,38,66,57.6,3,7,42.9,19,14,0,0,3,2,0,1,1,0,0,0,0,0,142,520,170,8,5,1,23,6,256,57,9,2,22.2,7,77.8,4,2,1,1,2,1,7,14.3,6,2,1,1,0,4,4,0,52,57,47.7,FW
2012,Nacho,"1,698",0,14,88.4,50.8,56.3,642,32,26,2018-2019,28,es ESP,Real Madrid,es La Liga,20,"1,698",18.9,19,1,12,0,1,1,0,0,0,0,922,1043,88.4,6,49,5,2,53,15840,5295,411,449,91.5,419,459,91.3,72,100,72,14,9,2,1,1,0,1,0,0,0,0,0,0,0,642,2393,1117,15,11,8,8,5,812,52,16,9,56.3,7,43.8,26,19,14,7,5,11,22,50,11,19,7,12,32,58,65,1,30,29,50.8,DF
2013,Michy Batshuayi,527,0,15,74.8,37,40,125,0,1,2018-2019,24,be BEL,Valencia,es La Liga,15,527,5.9,4,11,2,1,0,1,1,0,0,0,101,135,74.8,10,4,4,0,8,1583,255,60,72,83.3,24,35,68.6,13,13,100,15,11,0,0,4,0,0,0,0,0,0,0,0,0,125,597,250,9,4,4,19,18,165,36,10,4,40,6,60,1,1,0,1,0,0,3,0,3,5,2,3,0,1,3,0,10,17,37,FW
2014,Pere Pons,"2,792",4,50,77.7,41.4,50.9,740,35,83,2018-2019,25,es ESP,Girona,es La Liga,34,"2,792",31,32,2,3,1,2,3,1,0,0,0,932,1199,77.7,17,86,11,2,117,15015,4308,464,563,82.4,363,446,81.4,68,107,63.6,50,38,0,4,3,5,0,4,4,0,0,0,0,0,740,4155,2061,46,41,8,45,38,945,57,53,27,50.9,26,49.1,83,46,34,38,11,30,82,36.6,52,48,12,36,35,118,39,0,48,68,41.4,MF
2015,Vasyl Kravets,481,0,12,70.2,50,70,143,4,16,2018-2019,20,ua UKR,Leganés,es La Liga,6,481,5.3,6,0,2,0,0,0,0,0,0,0,160,228,70.2,6,7,6,4,17,2700,921,83,96,86.5,62,85,72.9,13,37,35.1,12,8,2,1,0,0,1,0,0,0,0,0,0,0,143,711,373,8,7,2,7,5,155,41,10,7,70,3,30,16,11,8,6,2,6,13,46.2,7,5,1,4,4,20,10,1,7,7,50,"DF,FW"
2016,Joan Jordán,"2,875",11,143,78.6,58.8,74.6,1113,32,63,2018-2019,24,es ESP,Eibar,es La Liga,36,"2,875",31.9,32,4,0,4,4,8,4,0,0,0,1473,1875,78.6,68,165,31,11,184,30052,7182,563,649,86.7,587,704,83.4,282,420,67.1,143,76,51,5,2,6,3,11,5,5,0,0,1,0,1113,5519,2545,44,52,5,45,34,1303,92,63,47,74.6,16,25.4,63,40,16,38,9,28,80,35,52,38,4,34,32,95,18,1,50,35,58.8,MF
2017,Guilherme Arana,629,0,5,79.9,50,37.5,168,9,11,2018-2019,21,br BRA,Sevilla,es La Liga,9,629,7,8,1,14,0,0,0,0,0,0,0,231,289,79.9,1,3,2,1,13,3514,904,140,157,89.2,77,93,82.8,13,22,59.1,5,4,0,0,0,1,0,0,0,0,0,0,0,0,168,846,506,15,8,3,6,3,201,27,8,3,37.5,5,62.5,11,6,5,5,1,6,7,85.7,1,6,3,3,9,20,8,0,3,3,50,DF
2018,Sergio García,"1,486",6,61,62.8,37.5,44.4,465,10,18,2018-2019,35,es ESP,Espanyol,es La Liga,29,"1,486",16.5,17,12,2,2,1,3,2,0,0,0,317,505,62.8,27,35,30,5,65,5295,1751,173,231,74.9,100,152,65.8,33,72,45.8,61,45,4,4,5,2,1,6,3,0,1,2,0,0,465,2757,1241,47,37,21,47,38,521,152,36,16,44.4,20,55.6,18,10,4,11,3,3,16,18.8,13,6,1,5,10,28,4,0,18,30,37.5,"FW,MF"
2019,Emmanuel Boateng,699,3,18,62.9,53.8,57.1,104,1,4,2018-2019,22,gh GHA,Levante,es La Liga,16,699,7.8,7,9,2,1,0,1,1,0,0,0,66,105,62.9,2,5,0,0,3,797,114,48,67,71.6,9,21,42.9,3,6,50,18,8,0,1,3,5,1,3,1,0,0,1,1,0,104,498,188,9,1,6,16,12,143,38,7,4,57.1,3,42.9,4,3,0,0,4,0,3,0,3,5,0,5,1,5,7,0,28,24,53.8,FW
2020,José Ángel,"3,028",5,92,63.8,59,73.8,1137,41,66,2018-2019,28,es ESP,Eibar,es La Liga,35,"3,028",33.6,34,1,1,1,1,2,1,0,0,0,1386,2173,63.8,56,174,68,42,195,29556,13592,488,569,85.8,582,822,70.8,289,663,43.6,92,59,25,4,2,1,1,5,4,1,0,0,0,0,1137,6323,3094,78,81,7,22,19,1197,75,61,45,73.8,16,26.2,66,46,36,23,7,31,56,55.4,25,24,5,19,41,107,113,1,49,34,59,DF
