,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1811,Charlie Taylor,"1,945",2,27,69.5,62.5,47.5,529,29,39,2019-2020,25,eng ENG,Burnley,eng Premier League,24,"1,945",21.6,22,2,6,0,1,1,0,0,0,0,747,1075,69.5,12,43,21,17,54,12302,5230,388,445,87.2,289,380,76.1,60,188,31.9,27,23,2,0,0,2,0,2,1,1,0,0,0,0,529,4398,1938,61,34,5,22,11,615,46,40,19,47.5,21,52.5,39,24,26,9,4,19,39,48.7,20,29,9,20,29,68,78,1,45,27,62.5,DF
1812,Trent Alexander-Arnold,"3,175",24,155,70.5,33.3,41.2,2137,45,55,2019-2020,20,eng ENG,Liverpool,eng Premier League,38,"3,175",35.3,35,3,0,4,13,17,4,0,0,0,2278,3230,70.5,87,190,88,31,247,43250,16071,993,1095,90.7,912,1250,73,315,700,45,155,93,51,3,6,1,1,24,15,7,0,2,0,0,2137,9099,5332,98,113,16,47,12,2281,226,51,21,41.2,30,58.8,55,34,35,17,3,36,78,46.2,42,27,9,18,45,100,84,3,15,30,33.3,DF
1813,Kurt Zouma,"2,344",1,15,88.4,75.5,66.7,1564,58,23,2019-2020,24,fr FRA,Chelsea,eng Premier League,28,"2,344",26,25,3,7,0,0,0,0,0,0,0,1844,2087,88.4,1,97,1,0,108,36857,11195,548,618,88.7,1068,1132,94.3,209,297,70.4,15,13,0,0,1,1,0,1,1,0,0,0,0,0,1564,7667,4187,16,12,0,12,5,1712,2,12,8,66.7,4,33.3,23,14,17,6,0,9,16,56.3,7,22,14,8,58,81,116,2,105,34,75.5,DF
1814,Danny Welbeck,822,2,15,74.4,52.8,45,168,5,14,2019-2020,28,eng ENG,Watford,eng Premier League,18,822,9.1,8,10,2,2,0,2,2,0,0,0,125,168,74.4,3,8,3,0,10,1459,320,80,101,79.2,34,45,75.6,2,3,66.7,15,11,0,2,0,2,0,2,1,0,0,0,1,0,168,1062,369,13,7,7,21,20,190,66,20,9,45,10,50,14,6,6,5,3,3,11,27.3,8,12,1,11,5,19,7,0,28,25,52.8,"FW,MF"
1815,Dele Alli,"1,847",11,58,75.1,33.9,43.9,707,17,34,2019-2020,23,eng ENG,Tottenham,eng Premier League,25,"1,847",20.5,21,4,3,8,4,12,7,1,1,0,632,841,75.1,23,43,22,0,69,8846,2173,345,414,83.3,212,252,84.1,28,56,50,58,42,1,7,3,3,2,11,5,0,4,2,0,0,707,3569,1684,56,37,14,50,41,760,152,66,29,43.9,36,54.5,34,16,11,20,3,13,37,35.1,24,35,3,32,17,51,17,2,19,37,33.9,"MF,FW"
1816,James McArthur,"3,090",8,70,77.1,37.4,65.9,979,60,88,2019-2020,31,sct SCO,Crystal Palace,eng Premier League,37,"3,090",34.3,37,0,0,0,3,3,0,0,0,0,1166,1513,77.1,34,124,23,5,174,18242,5976,624,706,88.4,415,511,81.2,84,157,53.5,70,58,0,5,3,4,0,8,5,0,0,1,2,0,979,5402,2436,54,42,16,56,39,1186,123,44,29,65.9,15,34.1,88,51,43,34,11,37,106,34.9,69,69,19,50,60,148,56,0,43,72,37.4,MF
1817,Mason Holgate,"2,054",6,21,84,53.2,83.3,767,34,44,2019-2020,22,eng ENG,Everton,eng Premier League,27,"2,054",22.8,24,3,7,0,3,3,0,0,0,0,902,1074,84,4,47,4,1,58,19078,6148,287,321,89.4,448,497,90.1,163,225,72.4,21,14,0,1,5,1,0,6,4,0,0,2,0,0,767,4387,2522,18,12,1,8,6,790,4,12,10,83.3,2,16.7,44,26,30,13,1,21,31,67.7,10,26,13,13,34,78,97,0,41,36,53.2,DF
1818,Sander Berge,943,2,7,76,68.6,75,261,10,22,2019-2020,21,no NOR,Sheffield Utd,eng Premier League,14,943,10.5,12,2,0,1,1,2,1,0,0,0,298,392,76,2,33,8,2,52,4903,1051,124,158,78.5,135,158,85.4,24,38,63.2,7,5,0,1,1,0,0,2,1,0,1,0,0,0,261,1479,655,18,8,3,15,7,309,35,20,15,75,5,25,22,15,3,14,5,5,10,50,5,15,1,14,10,32,16,0,35,16,68.6,MF
1819,Ben Chilwell,"2,373",8,72,76.4,59.1,38,1427,28,43,2019-2020,22,eng ENG,Leicester City,eng Premier League,27,"2,373",26.4,27,0,1,3,3,6,3,0,0,0,1544,2021,76.4,34,109,22,10,126,23939,7050,852,953,89.4,573,724,79.1,86,227,37.9,72,58,7,2,2,2,1,8,8,0,0,0,0,0,1427,8189,4644,109,77,16,50,22,1537,180,50,19,38,31,62,43,26,28,13,2,23,52,44.2,29,30,6,24,28,71,68,2,55,38,59.1,DF
1820,Philip Billing,"2,530",3,50,72.3,59.4,62.9,873,66,72,2019-2020,23,dk DEN,Bournemouth,eng Premier League,34,"2,530",28.1,29,5,1,1,1,2,1,0,0,0,879,1216,72.3,15,70,18,1,100,14318,3856,452,594,76.1,317,397,79.8,79,139,56.8,50,38,3,3,3,2,1,3,3,0,0,0,0,0,873,4050,1646,29,30,4,51,28,905,59,35,22,62.9,13,37.1,72,46,30,37,5,17,65,26.2,48,59,16,43,66,138,97,1,111,76,59.4,MF
