,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
11,Mattia Bani,"2,306",0,7,83.5,53.8,25,749,22,26,2023-2024,29,it ITA,Genoa,it Serie A,27,"2,306",25.6,27,0,3,2,0,2,2,0,0,0,962,1152,83.5,2,36,1,0,37,18643,6794,325,356,91.3,533,586,91,95,181,52.5,7,6,0,0,1,0,0,0,0,0,0,0,0,0,749,3417,1524,5,2,0,10,2,834,4,4,1,25,2,50,26,10,18,7,1,11,22,50,11,51,31,20,22,48,116,1,49,42,53.8,DF
12,Andrea Pinamonti,"3,076",8,59,65.2,33.2,38.7,455,1,13,2023-2024,24,it ITA,Sassuolo,it Serie A,38,"3,076",34.2,37,1,0,11,1,12,9,2,3,1,411,630,65.2,18,24,11,0,45,5473,873,236,315,74.9,130,194,67,12,33,36.4,59,37,0,3,6,11,2,8,4,0,1,0,2,1,455,1591,475,17,11,15,63,37,656,165,31,12,38.7,16,51.6,13,8,1,6,6,5,22,22.7,17,19,2,17,1,14,40,0,79,159,33.2,FW
13,Matías Viña,"1,014",6,33,73.9,42.3,41.4,330,9,34,2023-2024,25,uy URU,Sassuolo,it Serie A,15,"1,014",11.3,13,2,0,0,3,3,0,0,0,0,390,528,73.9,16,45,10,4,46,6507,2891,196,223,87.9,156,204,76.5,30,75,40,33,24,2,3,1,2,1,6,5,0,0,1,0,0,330,1776,1038,24,16,5,18,7,366,37,29,12,41.4,16,55.2,34,21,22,7,5,20,36,55.6,16,12,2,10,9,43,34,0,11,15,42.3,DF
14,Pontus Almqvist,"2,107",7,64,73.4,38.9,39.8,505,14,45,2023-2024,24,se SWE,Lecce,it Serie A,30,"2,107",23.4,25,5,1,2,1,3,2,0,0,0,351,478,73.4,27,14,12,4,32,4689,1071,224,282,79.4,85,120,70.8,17,20,85,64,38,1,9,5,8,3,7,4,0,0,0,2,1,505,4048,1930,72,47,35,59,39,558,137,93,37,39.8,43,46.2,45,29,16,22,7,23,51,45.1,28,21,2,19,14,59,10,0,14,22,38.9,"FW,MF"
15,Fabiano Parisi,"1,454",4,42,82.9,54.5,57.1,702,17,30,2023-2024,22,it ITA,Fiorentina,it Serie A,21,"1,454",16.2,16,5,16,0,1,1,0,0,0,0,830,1001,82.9,16,56,20,5,78,14051,4372,411,453,90.7,344,404,85.1,65,99,65.7,42,40,0,1,0,1,0,4,4,0,0,0,0,0,702,4605,2491,50,41,10,25,17,705,64,42,24,57.1,11,26.2,30,15,11,12,7,15,26,57.7,11,21,5,16,17,47,26,0,24,20,54.5,DF
16,Giuseppe Caso,417,2,12,84.8,0,41.7,129,0,4,2023-2024,24,it ITA,Frosinone,it Serie A,14,417,4.6,2,12,8,0,0,0,0,0,0,0,95,112,84.8,3,5,8,0,20,1144,413,67,74,90.5,17,23,73.9,3,4,75,12,5,1,2,1,3,0,2,0,1,0,0,1,0,129,952,451,15,14,6,15,10,141,37,36,15,41.7,18,50,4,3,2,0,2,2,3,66.7,1,0,0,0,0,4,0,0,0,2,0,"FW,MF"
17,Antonio Sanabria,"2,133",3,38,79.2,45.9,43.8,504,6,18,2023-2024,27,py PAR,Torino,it Serie A,35,"2,133",23.7,23,12,2,5,0,5,3,2,2,0,494,624,79.2,15,39,10,1,57,7261,1214,287,339,84.7,143,177,80.8,33,47,70.2,38,29,0,1,7,1,0,3,2,0,0,1,0,0,504,2382,721,19,16,4,55,23,665,109,32,14,43.8,17,53.1,18,15,5,9,4,4,9,44.4,5,7,1,6,6,24,12,0,62,73,45.9,"FW,MF"
18,Giorgos Kyriakopoulos,"1,712",3,49,82.5,37.5,56.3,765,13,19,2023-2024,27,gr GRE,Monza,it Serie A,28,"1,712",19,20,8,10,0,3,3,0,0,0,0,891,1080,82.5,21,62,20,12,70,15032,4779,446,472,94.5,366,434,84.3,64,120,53.3,49,36,9,1,2,1,0,3,1,2,0,0,0,0,765,4410,2611,64,37,13,16,10,845,94,32,18,56.3,11,34.4,19,10,16,3,0,11,24,45.8,13,18,1,17,13,32,28,0,12,20,37.5,DF
19,Mário Rui,"1,205",2,41,80.5,27,33.3,623,15,27,2023-2024,32,pt POR,Napoli,it Serie A,21,"1,205",13.4,14,7,10,0,2,2,0,0,0,0,860,1068,80.5,26,89,19,7,90,15400,5240,369,406,90.9,366,434,84.3,99,181,54.7,41,25,13,0,0,3,0,2,2,0,0,0,0,0,623,2907,1775,33,21,1,10,9,812,59,9,3,33.3,4,44.4,27,15,17,5,5,14,21,66.7,7,17,2,15,15,42,19,0,10,27,27,DF
20,Norbert Gyömbér,"1,760",1,9,84,52.5,55.6,427,23,36,2023-2024,31,sk SVK,Salernitana,it Serie A,22,"1,760",19.6,20,2,3,0,0,0,0,0,0,0,630,750,84,5,33,0,0,42,11574,4495,229,258,88.8,335,374,89.6,57,99,57.6,9,8,0,1,0,0,0,1,1,0,0,0,0,0,427,2249,799,4,3,0,16,2,460,2,9,5,55.6,3,33.3,36,18,30,6,0,20,26,76.9,6,33,23,10,23,59,77,2,31,28,52.5,DF
