,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2011,Dara O'Shea,"1,482",4,16,67,63.4,50,382,29,31,2019-2020,20,ie IRL,West Brom,eng Championship,17,"1,482",16.5,16,1,16,3,0,3,3,0,0,0,589,879,67,5,46,8,5,52,10710,4651,273,339,80.5,231,349,66.2,73,147,49.7,16,11,3,0,0,2,0,4,2,1,0,0,1,0,382,1576,857,16,7,1,13,5,503,31,10,5,50,5,50,31,17,25,5,1,11,23,47.8,12,13,6,7,29,60,48,0,83,48,63.4,DF
2012,Wayne Routledge,955,4,36,62.9,39.5,70,307,7,17,2019-2020,34,eng ENG,Swansea City,eng Championship,21,955,10.6,10,11,12,4,3,7,4,0,0,0,249,396,62.9,20,16,12,1,36,3683,1272,134,174,77,78,129,60.5,17,38,44.7,36,30,0,0,1,3,2,4,3,0,0,0,0,1,307,1652,640,31,16,11,37,32,380,103,20,14,70,6,30,17,11,6,10,1,7,17,41.2,10,5,0,5,7,24,7,1,17,26,39.5,"FW,MF"
2013,Sam Vokes,"1,706",4,36,50.7,49.5,50,180,3,9,2019-2020,29,wls WAL,Stoke City,eng Championship,36,"1,706",19,18,18,8,5,2,7,5,0,0,0,220,434,50.7,17,30,5,1,33,3170,844,125,237,52.7,64,129,49.6,15,21,71.4,36,30,0,0,5,0,1,4,3,0,0,1,0,0,180,576,123,0,1,1,46,9,479,93,8,4,50,4,50,9,7,0,3,6,2,5,40,3,12,3,9,3,12,22,0,203,207,49.5,FW
2014,Anfernee Dijksteel,"1,130",2,26,69.7,41.9,46.2,280,11,25,2019-2020,22,sr SUR,2 Teams,eng Championship,17,"1,130",12.6,13,4,6,0,0,0,0,0,0,0,347,498,69.7,11,14,5,2,22,5660,2444,189,221,85.5,128,196,65.3,26,58,44.8,26,19,4,0,1,2,0,2,2,0,0,0,0,0,280,1822,973,23,12,3,14,12,251,29,13,6,46.2,7,53.8,25,16,14,10,1,11,21,52.4,10,15,8,7,11,36,26,0,18,25,41.9,DF
2015,Terence Kongolo,882,2,12,73.2,70.6,50,241,16,27,2019-2020,25,nl NED,2 Teams,eng Championship,12,882,9.8,10,2,2,0,1,1,0,0,0,0,379,518,73.2,5,26,2,1,38,6364,2726,174,200,87,173,221,78.3,23,64,35.9,12,10,2,0,0,0,0,2,2,0,0,0,0,0,241,1201,685,8,9,1,7,2,341,22,4,2,50,2,50,27,15,20,5,2,9,16,56.3,7,11,7,4,16,43,32,0,24,10,70.6,DF
2016,Matty Cash,"3,615",10,99,63.8,52.9,64.2,1071,57,110,2019-2020,21,pl POL,Nott'ham Forest,eng Championship,42,"3,615",40.2,40,2,1,3,5,8,3,0,0,0,1305,2045,63.8,45,118,35,19,140,23776,9613,606,718,84.4,529,762,69.4,154,477,32.3,99,71,10,8,4,6,0,10,9,0,0,1,0,0,1071,7077,4077,105,63,14,51,31,1205,169,67,43,64.2,24,35.8,110,82,75,29,6,57,91,62.6,34,39,14,25,57,167,170,0,74,66,52.9,DF
2017,Kadeem Harris,"3,374",14,119,72.4,26.5,55.2,959,18,39,2019-2020,26,eng ENG,Sheffield Weds,eng Championship,43,"3,374",37.5,40,3,3,3,4,7,3,0,0,0,689,952,72.4,49,36,33,22,70,10246,2317,432,498,86.7,196,280,70,43,91,47.3,119,80,2,23,6,6,2,14,8,0,4,2,0,0,959,9572,4837,215,104,67,104,61,980,240,154,85,55.2,69,44.8,39,24,18,16,5,12,33,36.4,21,38,2,36,18,57,36,1,18,50,26.5,"MF,DF"
2018,Connor Roberts,"2,932",12,72,77.5,44.2,57.9,1110,37,47,2019-2020,23,wls WAL,Swansea City,eng Championship,38,"2,932",32.6,32,6,7,1,4,5,1,0,0,0,1485,1916,77.5,28,103,29,5,192,25235,9801,686,793,86.5,638,786,81.2,125,233,53.6,72,53,9,0,3,7,0,12,7,2,0,2,1,0,1110,4629,2650,45,35,5,15,19,1346,191,19,11,57.9,8,42.1,47,25,33,11,3,20,30,66.7,10,30,12,18,37,84,89,2,34,43,44.2,DF
2019,Robbie McKenzie,674,0,5,65.2,60,33.3,121,8,11,2019-2020,20,eng ENG,Hull City,eng Championship,8,674,7.5,8,0,5,0,0,0,0,0,0,0,180,276,65.2,2,14,6,5,13,3043,1628,79,93,84.9,74,110,67.3,19,44,43.2,5,3,1,0,1,0,0,0,0,0,0,0,0,0,121,520,257,8,4,0,7,8,136,6,6,2,33.3,4,66.7,11,7,8,2,1,6,13,46.2,7,5,3,2,8,19,35,0,18,12,60,DF
2020,Alan Browne,"3,203",11,81,67.4,45.2,52.8,831,40,79,2019-2020,24,ie IRL,Preston,eng Championship,43,"3,203",35.6,35,8,1,4,2,6,4,0,0,0,1019,1512,67.4,25,109,32,3,122,17202,5622,522,657,79.5,348,490,71,116,234,49.6,81,48,10,3,9,10,1,11,6,0,0,4,1,0,831,4347,1561,37,38,10,90,53,1146,144,53,28,52.8,25,47.2,79,43,39,31,9,34,86,39.5,52,52,12,40,40,119,56,0,113,137,45.2,"MF,DF"
2021,Mike van der Hoorn,"2,288",1,19,83.7,61.3,100,951,23,22,2019-2020,26,nl NED,Swansea City,eng Championship,28,"2,288",25.4,27,1,2,1,1,2,1,0,0,0,1254,1499,83.7,5,106,2,1,114,26312,9641,365,413,88.4,688,768,89.6,185,282,65.6,19,18,0,0,0,1,0,1,1,0,0,0,0,0,951,5802,4151,11,7,0,9,1,1096,4,7,7,100,0,0,22,16,14,8,0,11,22,50,11,21,16,5,23,45,111,0,84,53,61.3,DF
2022,Scott Sinclair,894,0,11,80.6,7.1,55,183,2,6,2019-2020,30,eng ENG,Preston,eng Championship,18,894,9.9,11,7,2,3,0,3,3,0,0,0,154,191,80.6,4,7,7,0,18,1956,524,100,114,87.7,40,45,88.9,5,10,50,11,7,0,1,1,2,0,0,0,0,0,0,0,0,183,1262,552,20,15,5,29,19,201,48,20,11,55,9,45,6,5,4,2,0,3,12,25,9,9,1,8,2,8,2,0,1,13,7.1,"FW,MF"
2023,Darragh Lenihan,"3,306",4,33,77.3,63.3,87.5,1241,40,35,2019-2020,25,ie IRL,Blackburn,eng Championship,37,"3,306",36.7,37,0,0,3,2,5,3,0,0,0,1659,2145,77.3,10,112,12,1,112,35645,14228,460,542,84.9,915,1050,87.1,269,487,55.2,33,28,0,0,4,1,0,4,3,0,0,1,0,0,1241,6147,3603,15,5,0,12,3,1437,14,8,7,87.5,1,12.5,35,20,22,12,1,14,24,58.3,10,49,31,18,40,75,168,1,195,113,63.3,DF
2024,Luke Thomas,"2,315",7,101,71.5,27.6,59.5,695,18,77,2019-2020,20,eng ENG,Barnsley,eng Championship,39,"2,315",25.7,24,15,7,1,4,5,1,0,0,0,647,905,71.5,50,59,37,6,108,9407,2938,360,430,83.7,207,281,73.7,41,87,47.1,101,79,2,11,2,5,2,7,5,0,1,0,0,1,695,4947,2686,113,83,39,71,43,767,130,74,44,59.5,30,40.5,77,51,33,27,17,23,67,34.3,44,36,1,35,18,95,9,0,8,21,27.6,"MF,FW"
2025,Tomer Hemed,798,0,14,66.3,33.9,70,136,1,9,2019-2020,32,il ISR,Charlton Ath,eng Championship,18,798,8.9,9,9,5,0,0,0,0,0,0,0,120,181,66.3,6,12,2,0,16,1724,384,72,102,70.6,31,50,62,9,11,81.8,14,11,0,2,1,0,0,0,0,0,0,0,0,0,136,713,228,11,10,6,22,15,198,61,10,7,70,3,30,9,7,4,3,2,3,9,33.3,6,8,1,7,1,10,10,0,40,78,33.9,FW
2026,Mateusz Klich,"3,798",14,187,78.1,53.6,76.2,1299,23,86,2019-2020,29,pl POL,Leeds United,eng Championship,45,"3,798",42.2,45,0,1,6,5,11,4,2,3,1,1807,2314,78.1,79,156,94,16,336,26823,8420,1026,1191,86.1,577,715,80.7,119,213,55.9,187,163,4,5,11,2,2,14,12,0,0,2,0,0,1299,7600,3373,107,67,17,69,46,1955,324,42,32,76.2,10,23.8,86,53,38,31,17,23,82,28,59,34,2,32,23,109,19,0,30,26,53.6,MF
2027,Yuri Ribeiro,"2,388",3,56,71.7,47.1,55.8,717,28,34,2019-2020,22,pt POR,Nott'ham Forest,eng Championship,27,"2,388",26.5,27,0,7,0,3,3,0,0,0,0,917,1279,71.7,28,69,19,14,88,13216,5805,555,651,85.3,296,425,69.6,38,113,33.6,56,45,3,1,0,7,0,3,3,0,0,0,0,0,717,3872,2243,67,52,4,36,24,809,131,43,24,55.8,19,44.2,34,24,23,10,1,17,26,65.4,9,13,5,8,28,62,75,0,48,54,47.1,DF
2028,Ben Wilmot,"1,491",2,14,77.6,44.1,100,483,25,17,2019-2020,19,eng ENG,Swansea City,eng Championship,21,"1,491",16.6,16,5,15,2,0,2,2,0,0,0,654,843,77.6,5,47,0,0,57,13722,4671,164,199,82.4,405,463,87.5,79,158,50,14,13,0,0,1,0,0,2,2,0,0,0,0,0,483,3057,2221,14,3,0,2,1,563,0,2,2,100,0,0,17,12,15,2,0,8,15,53.3,7,28,21,7,25,42,84,1,64,81,44.1,DF
2029,Antonee Robinson,"3,352",3,74,67.6,45.7,60.4,1138,76,84,2019-2020,21,us USA,Wigan Athletic,eng Championship,38,"3,352",37.2,38,0,0,1,1,2,1,0,0,0,1266,1873,67.6,29,77,39,23,112,23083,9395,592,717,82.6,480,665,72.2,170,390,43.6,74,51,8,9,2,3,1,3,3,0,0,0,0,0,1138,9928,5489,160,133,24,50,35,1118,179,134,81,60.4,53,39.6,84,60,56,24,4,40,95,42.1,55,43,13,30,76,160,133,0,43,51,45.7,DF
2030,Tim Ream,"3,950",2,34,89.1,52.5,87.5,2072,31,36,2019-2020,31,us USA,Fulham,eng Championship,44,"3,950",43.9,44,0,0,0,0,0,0,0,0,0,2818,3162,89.1,10,189,4,1,259,57107,21500,797,870,91.6,1703,1812,94,305,429,71.1,34,33,1,0,0,0,0,2,2,0,0,0,0,0,2072,13936,10658,61,22,1,15,3,2545,0,16,14,87.5,2,12.5,36,16,28,8,0,16,19,84.2,3,42,31,11,31,67,136,4,116,105,52.5,DF
2031,Shaun Williams,"2,479",8,57,74.5,59.8,60,490,28,60,2019-2020,32,ie IRL,Millwall,eng Championship,32,"2,479",27.5,28,4,7,2,2,4,2,0,0,0,839,1126,74.5,28,94,10,4,105,15201,4557,347,430,80.7,352,420,83.8,104,207,50.2,57,35,15,1,4,1,1,8,2,2,0,2,1,1,490,1633,592,5,12,0,21,12,635,15,10,6,60,4,40,60,31,25,31,4,29,68,42.6,39,33,7,26,28,88,53,1,70,47,59.8,MF
2032,Jay Dasilva,"1,964",5,39,76.7,36.7,78.7,559,25,55,2019-2020,21,wls WAL,Bristol City,eng Championship,24,"1,964",21.8,22,2,0,0,2,2,0,0,0,0,759,990,76.7,17,59,20,8,79,11883,5098,411,463,88.8,271,355,76.3,56,127,44.1,39,29,3,5,2,0,0,5,3,0,1,1,0,0,559,3599,1923,46,26,9,36,24,576,61,61,48,78.7,13,21.3,55,29,27,22,6,23,45,51.1,22,17,6,11,25,80,42,1,18,31,36.7,DF
2033,Luke Berry,"1,358",3,47,63.3,34.7,61.5,256,19,20,2019-2020,27,eng ENG,Luton Town,eng Championship,21,"1,358",15.1,15,6,5,1,1,2,1,0,0,0,311,491,63.3,25,21,8,1,33,5904,1924,121,153,79.1,122,168,72.6,52,130,40,47,24,17,0,4,2,0,3,1,2,0,0,0,0,256,980,335,8,11,1,26,15,282,35,13,8,61.5,5,38.5,20,10,10,5,5,6,19,31.6,13,19,2,17,19,39,26,0,25,47,34.7,MF
