,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
11,Rhys Healey,712,3,28,56.9,47.5,40,141,2,6,2023-2024,28,wls WAL,2 Teams,eng Championship,22,712,7.9,6,16,10,5,1,6,5,0,0,0,95,167,56.9,7,11,3,0,15,1438,413,50,73,68.5,32,53,60.4,6,21,28.6,28,17,1,2,1,6,1,3,2,0,0,0,0,1,141,704,343,12,6,7,27,7,167,42,20,8,40,8,40,6,4,0,5,1,2,7,28.6,5,5,3,2,2,8,14,0,29,32,47.5,"MF,FW"
12,Anass Zaroury,696,2,31,68.3,60,38.2,257,5,12,2023-2024,22,ma MAR,Hull City,eng Championship,12,696,7.7,9,3,0,2,0,2,2,0,0,0,231,338,68.3,10,14,7,1,25,3765,1013,111,134,82.8,77,106,72.6,26,58,44.8,31,12,8,4,3,3,1,2,0,1,0,1,0,0,257,1599,846,35,22,10,14,6,281,50,34,13,38.2,17,50,12,7,5,2,5,6,11,54.5,5,18,1,17,5,17,5,0,3,2,60,"FW,MF"
13,Bae Junho,"2,392",7,102,79.2,23.4,43.9,729,16,44,2023-2024,19,kr KOR,Stoke City,eng Championship,38,"2,392",26.6,25,13,3,2,5,7,2,0,0,0,688,869,79.2,48,75,44,5,112,9862,2946,404,463,87.3,209,264,79.2,36,65,55.4,102,75,6,6,6,7,2,7,7,0,0,0,0,0,729,4817,2125,79,52,19,77,45,813,222,82,36,43.9,42,51.2,44,27,19,17,8,14,25,56,11,42,3,39,16,60,2,0,11,36,23.4,"FW,MF"
14,Lewis O'Brien,"1,576",2,40,85,47.8,46.2,721,17,40,2023-2024,24,eng ENG,Middlesbrough,eng Championship,23,"1,576",17.5,18,5,2,0,1,1,0,0,0,0,865,1018,85,16,84,14,2,86,12808,3458,481,525,91.6,308,359,85.8,42,77,54.5,40,27,3,5,0,2,3,2,2,0,0,0,0,0,721,3568,1895,38,38,3,22,24,870,54,26,12,46.2,7,26.9,40,24,15,19,6,16,32,50,16,28,9,19,17,57,24,0,11,12,47.8,MF
15,Jonny Howson,"3,092",6,116,84,41,50,1377,34,53,2023-2024,35,eng ENG,Middlesbrough,eng Championship,38,"3,092",34.4,35,3,3,2,2,4,1,1,2,1,1903,2266,84,58,199,22,3,192,33161,10068,852,928,91.8,827,944,87.6,174,289,60.2,116,86,23,1,4,1,1,6,5,0,1,0,0,0,1377,6537,3259,44,50,2,32,24,1755,36,40,20,50,16,40,53,33,20,32,1,26,53,49.1,27,30,10,20,34,87,51,2,16,23,41,MF
16,Alistair McCann,"2,069",2,33,77.3,60,56.3,455,42,104,2023-2024,23,nir NIR,Preston,eng Championship,31,"2,069",23,24,7,0,0,0,0,0,0,0,0,673,871,77.3,12,74,7,2,77,10538,2716,348,410,84.9,233,276,84.4,53,94,56.4,33,31,0,0,1,0,1,2,1,0,0,0,0,1,455,1675,627,7,8,1,17,11,556,19,16,9,56.3,6,37.5,104,58,38,59,7,54,102,52.9,48,45,4,41,42,146,51,1,33,22,60,MF
17,Osman Kakay,"1,575",1,18,73.1,54.3,56.3,403,12,33,2023-2024,25,sl SLE,QPR,eng Championship,23,"1,575",17.5,18,5,3,0,0,0,0,0,0,0,536,733,73.1,7,53,9,6,58,9747,4015,243,272,89.3,227,298,76.2,59,132,44.7,18,17,0,1,0,0,0,1,1,0,0,0,0,0,403,2208,1103,23,21,4,28,7,469,29,32,18,56.3,13,40.6,33,22,17,13,3,13,23,56.5,10,16,6,10,12,45,46,0,19,16,54.3,DF
18,Christian Fassnacht,"1,822",6,36,70.9,38.5,48.4,395,23,49,2023-2024,29,ch SUI,Norwich City,eng Championship,40,"1,822",20.2,19,21,4,6,2,8,6,0,0,0,371,523,70.9,15,25,20,7,56,5112,1380,213,254,83.9,116,169,68.6,15,32,46.9,36,31,1,0,2,1,1,6,5,1,0,0,0,0,395,1833,764,30,20,6,56,14,463,99,31,15,48.4,16,51.6,49,32,25,21,3,23,55,41.8,32,31,2,29,23,72,27,0,20,32,38.5,"FW,MF"
19,Harry Darling,"2,963",4,42,79.9,60.4,33.3,1295,36,37,2023-2024,23,eng ENG,Swansea City,eng Championship,38,"2,963",32.9,31,7,4,3,2,5,3,0,0,0,1594,1994,79.9,8,103,7,0,126,28614,8899,638,731,87.3,820,941,87.1,113,250,45.2,42,24,0,0,14,3,1,4,2,0,0,2,0,0,1295,7209,4260,51,27,3,20,14,1530,36,21,7,33.3,9,42.9,37,19,18,18,1,22,46,47.8,24,46,30,16,36,73,101,0,131,86,60.4,DF
20,Dexter Lembikisa,"2,004",5,18,63,41,50,413,24,56,2023-2024,19,jm JAM,Rotherham Utd,eng Championship,25,"2,004",22.3,22,3,1,1,0,1,1,0,0,0,498,790,63,6,38,17,9,53,7991,3762,272,332,81.9,180,287,62.7,37,124,29.8,18,15,0,1,0,1,1,5,4,0,0,0,0,1,413,1827,820,21,20,0,43,21,415,36,34,17,50,16,47.1,56,37,37,13,6,28,45,62.2,17,34,2,32,24,80,56,0,16,23,41,DF
21,Jake Clarke-Salter,"2,667",1,17,83,68.1,81.8,930,32,65,2023-2024,25,eng ENG,QPR,eng Championship,33,"2,667",29.6,29,4,7,1,1,2,1,0,0,0,1373,1655,83,5,74,1,0,57,25544,10548,503,549,91.6,738,834,88.5,117,230,50.9,17,11,1,0,3,0,2,1,1,0,0,0,0,0,930,3677,1822,10,3,0,14,2,1180,3,11,9,81.8,2,18.2,65,41,45,18,2,30,42,71.4,12,30,15,15,32,97,135,1,94,44,68.1,DF
22,Francisco Sierralta,"1,968",2,14,84.6,57.1,33.3,711,15,25,2023-2024,26,cl CHI,Watford,eng Championship,27,"1,968",21.9,23,4,15,0,1,1,0,0,0,0,967,1143,84.6,5,48,0,0,58,18743,6058,275,311,88.4,607,665,91.3,79,131,60.3,14,13,0,0,1,0,0,2,2,0,0,0,0,0,711,3638,1950,4,5,0,10,6,850,6,6,2,33.3,4,66.7,25,13,18,6,1,18,38,47.4,20,28,18,10,15,40,90,2,60,45,57.1,"DF,MF"
23,Mark McGuinness,"2,596",0,8,85.3,68.5,75,906,38,31,2023-2024,22,ie IRL,Cardiff City,eng Championship,30,"2,596",28.8,29,1,0,2,0,2,2,0,0,0,1187,1391,85.3,5,41,3,1,47,24505,8706,348,395,88.1,668,738,90.5,163,227,71.8,8,7,0,0,1,0,0,0,0,0,0,0,0,0,906,3634,1882,1,3,0,10,3,1053,6,4,3,75,0,0,31,19,24,7,0,16,41,39,25,28,21,7,38,69,123,2,76,35,68.5,DF
24,Pol Valentín,"2,204",4,42,67,28.3,59.7,551,19,54,2023-2024,26,es ESP,Sheffield Weds,eng Championship,36,"2,204",24.5,24,12,5,0,0,0,0,0,0,0,605,903,67,12,34,16,8,65,9641,3407,321,383,83.8,215,305,70.5,49,125,39.2,42,29,3,5,2,3,0,4,3,0,1,0,0,0,551,4087,1909,74,37,18,39,29,622,99,77,46,59.7,26,33.8,54,27,35,17,2,32,51,62.7,19,31,11,20,19,73,47,0,15,38,28.3,"DF,MF"
25,Mads Frøkjær-Jensen,"2,564",13,74,70.7,45.1,48.4,772,31,49,2023-2024,24,dk DEN,Preston,eng Championship,41,"2,564",28.5,29,12,5,3,8,11,3,0,0,0,821,1162,70.7,35,91,38,10,124,13073,3768,420,520,80.8,292,394,74.1,64,143,44.8,74,59,3,4,5,0,3,13,10,0,1,2,0,0,772,3416,1315,36,32,6,51,26,925,119,62,30,48.4,30,48.4,49,25,14,24,11,16,44,36.4,28,42,0,42,31,80,14,2,32,39,45.1,"MF,FW"
26,Joe Rothwell,452,0,12,88.9,14.3,50,200,6,6,2023-2024,28,eng ENG,Southampton,eng Championship,16,452,5,4,12,3,4,0,4,4,0,0,0,256,288,88.9,8,22,7,0,33,3932,871,145,157,92.4,88,97,90.7,17,28,60.7,12,9,3,0,0,0,0,0,0,0,0,0,0,0,200,1120,408,9,7,2,10,5,260,28,8,4,50,3,37.5,6,4,1,5,0,0,6,0,6,6,2,4,6,12,5,2,1,6,14.3,MF
