,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2011,Enzo Loiodice,850,2,23,84.7,46.7,50,303,11,25,2018-2019,17,fr FRA,Dijon,fr Ligue 1,12,850,9.4,10,2,9,0,1,1,0,0,0,0,354,418,84.7,6,32,2,1,40,6040,1402,148,161,91.9,172,193,89.1,20,36,55.6,23,16,0,1,1,3,2,2,2,0,0,0,0,0,303,1443,747,9,12,1,12,11,352,5,8,4,50,4,50,25,14,8,15,2,10,21,47.6,11,7,0,7,11,36,7,0,7,8,46.7,MF
2012,Téji Savanier,"2,864",21,156,65.5,48.9,66.9,1206,64,95,2018-2019,26,fr FRA,Nîmes,fr Ligue 1,32,"2,864",31.8,32,0,0,6,14,20,2,4,4,0,1235,1885,65.5,85,200,23,5,244,27457,11142,422,529,79.8,461,625,73.8,312,622,50.2,156,71,64,7,5,6,3,21,9,10,2,0,0,0,1206,7164,3911,61,53,8,65,43,1274,41,118,79,66.9,39,33.1,95,58,35,52,8,43,116,37.1,73,32,15,17,64,159,53,2,44,46,48.9,MF
2013,François Moubandje,"1,935",3,29,75.8,51.3,50,602,27,38,2018-2019,28,ch SUI,Toulouse,fr Ligue 1,22,"1,935",21.5,21,1,7,0,0,0,0,0,0,0,769,1015,75.8,13,53,7,6,75,13133,5068,357,407,87.7,313,411,76.2,76,141,53.9,29,21,4,0,2,1,1,3,2,1,0,0,0,0,602,3485,1961,35,30,2,35,12,649,79,32,16,50,16,50,38,22,22,10,6,17,22,77.3,5,18,4,14,27,65,74,0,39,37,51.3,DF
2014,Umut Bozok,"1,235",6,35,74,32.1,48,296,5,9,2018-2019,21,tr TUR,Nîmes,fr Ligue 1,25,"1,235",13.7,14,11,11,2,3,5,2,0,2,2,216,292,74,14,15,3,0,15,3086,493,124,156,79.5,64,80,80,13,20,65,35,18,0,2,3,12,0,6,4,0,1,0,1,0,296,1451,425,14,11,6,33,36,343,74,25,12,48,13,52,9,6,0,3,6,2,4,50,2,3,0,3,5,14,1,0,18,38,32.1,FW
2015,Wesley Lautoa,"3,024",0,24,86.4,45.1,76.5,1087,87,81,2018-2019,30,nc NCL,Dijon,fr Ligue 1,34,"3,024",33.6,34,0,1,0,0,0,0,0,0,0,1371,1587,86.4,4,88,5,0,118,27469,10210,443,499,88.8,731,786,93,181,257,70.4,24,18,0,2,2,0,2,0,0,0,0,0,0,0,1087,6872,4266,46,26,2,16,9,1210,8,17,13,76.5,4,23.5,81,55,46,31,4,34,75,45.3,41,37,14,23,87,168,110,1,51,62,45.1,"DF,MF"
2016,Morgan Sanson,"2,403",9,67,80.5,36.5,57.9,1094,42,70,2018-2019,23,fr FRA,Marseille,fr Ligue 1,33,"2,403",26.7,27,6,2,5,3,8,5,0,0,0,1089,1353,80.5,22,118,23,8,147,18328,4492,548,614,89.3,314,390,80.5,148,217,68.2,67,53,0,4,2,5,3,9,6,0,1,1,1,0,1094,6270,3062,72,71,5,56,48,1182,96,57,33,57.9,24,42.1,70,47,27,35,8,21,77,27.3,56,40,1,39,42,112,8,1,23,40,36.5,MF
2017,Manu García,"1,843",5,58,78.8,17.6,55.2,799,15,37,2018-2019,20,es ESP,Toulouse,fr Ligue 1,31,"1,843",20.5,21,10,6,0,4,4,0,0,0,0,737,935,78.8,22,93,19,1,139,11496,3665,415,483,85.9,212,267,79.4,74,114,64.9,58,47,0,3,2,5,1,5,5,0,0,0,0,0,799,3940,1995,36,38,4,45,29,904,65,58,32,55.2,26,44.8,37,26,14,17,6,15,49,30.6,34,16,1,15,15,52,5,0,3,14,17.6,MF
2018,Marcus Thuram,"2,571",6,91,70,54.2,69.2,766,10,45,2018-2019,20,fr FRA,Guingamp,fr Ligue 1,32,"2,571",28.6,32,0,0,9,1,10,5,4,5,1,585,836,70,36,43,17,6,76,7759,1948,379,494,76.7,157,225,69.8,17,45,37.8,91,65,0,13,5,7,1,6,3,0,0,1,2,0,766,7216,3424,133,90,53,95,92,942,221,146,101,69.2,45,30.8,45,28,23,15,7,20,43,46.5,23,24,1,23,10,55,14,0,110,93,54.2,"FW,MF"
2019,Rui Fonte,627,1,13,77.9,56.1,33.3,115,2,25,2018-2019,28,pt POR,Lille,fr Ligue 1,18,627,7,5,13,6,1,0,1,1,0,0,0,148,190,77.9,7,8,1,0,17,1802,416,94,114,82.5,28,36,77.8,7,11,63.6,13,12,0,0,1,0,0,1,1,0,0,0,0,0,115,526,164,6,8,3,7,17,180,40,3,1,33.3,2,66.7,25,12,4,16,5,6,11,54.5,5,4,0,4,2,27,8,0,37,29,56.1,"FW,MF"
2020,Myziane Maolida,952,3,31,80.6,32.1,42.2,311,1,12,2018-2019,19,km COM,Nice,fr Ligue 1,14,952,10.6,10,4,1,0,3,3,0,0,0,0,286,355,80.6,19,19,13,1,46,3842,966,173,205,84.4,93,108,86.1,8,17,47.1,31,24,0,4,2,1,0,3,3,0,0,0,0,0,311,2083,1139,35,32,19,37,27,368,113,45,19,42.2,26,57.8,12,8,5,5,2,2,4,50,2,5,0,5,1,13,5,0,9,19,32.1,FW
