,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1411,Maxwel Cornet,"2,446",13,62,77.6,54.7,59,1069,43,70,2020-2021,23,ci CIV,Lyon,fr Ligue 1,36,"2,446",27.2,29,7,0,2,5,7,2,0,0,0,1331,1715,77.6,25,84,19,12,128,20069,7736,772,883,87.4,438,580,75.5,83,161,51.6,62,41,7,2,5,6,1,13,10,0,0,1,2,0,1069,5008,2862,73,51,15,36,15,1210,196,39,23,59,16,41,70,41,39,24,7,33,58,56.9,25,23,5,18,43,113,47,2,41,34,54.7,"DF,FW"
1412,Darío Benedetto,"1,579",7,30,66.7,29.4,64.7,303,3,6,2020-2021,30,ar ARG,Marseille,fr Ligue 1,32,"1,579",17.5,19,13,2,5,3,8,4,1,1,0,240,360,66.7,12,16,7,1,22,3372,425,137,178,77,57,90,63.3,19,38,50,30,22,0,2,3,3,0,7,6,0,0,0,1,0,303,1235,376,15,10,6,41,22,387,96,17,11,64.7,6,35.3,6,4,1,4,1,5,13,38.5,8,9,2,7,3,9,17,0,25,60,29.4,FW
1413,Arnaud Kalimuendo,"1,291",10,44,77.2,17.4,53.1,333,2,8,2020-2021,18,fr FRA,2 Teams,fr Ligue 1,29,"1,291",14.3,14,15,6,7,3,10,7,0,0,0,240,311,77.2,16,8,13,4,21,3324,455,140,167,83.8,79,100,79,7,11,63.6,44,23,0,5,9,6,1,10,4,0,1,3,2,0,333,2044,1019,42,26,18,52,34,401,132,49,26,53.1,23,46.9,8,2,2,2,4,1,7,14.3,6,11,0,11,2,10,2,0,4,19,17.4,FW
1414,Randal Kolo Muani,"3,029",18,92,65.3,36.3,48.5,597,8,22,2020-2021,21,fr FRA,Nantes,fr Ligue 1,37,"3,029",33.7,35,2,0,9,4,13,9,0,0,0,400,613,65.3,38,22,9,2,39,4734,917,269,372,72.3,81,128,63.3,13,21,61.9,92,54,0,17,3,17,1,18,7,0,5,2,4,0,597,4041,2178,89,48,57,114,59,733,206,103,50,48.5,53,51.5,22,14,1,13,8,7,27,25.9,20,15,2,13,8,30,26,0,78,137,36.3,FW
1415,Reinildo Mandava,"2,180",5,44,79,75.4,71.8,951,45,79,2020-2021,26,mz MOZ,Lille,fr Ligue 1,29,"2,180",24.2,24,5,5,0,0,0,0,0,0,0,1258,1592,79,18,88,28,15,117,19039,6082,696,772,90.2,450,545,82.6,74,178,41.6,44,39,1,2,0,0,2,5,5,0,0,0,0,0,951,4319,2257,48,44,2,24,13,1073,145,39,28,71.8,11,28.2,79,43,39,32,8,35,58,60.3,23,26,3,23,45,124,53,0,52,17,75.4,DF
1416,Vincent Manceau,"2,309",4,36,79,54.2,50,985,35,42,2020-2021,31,fr FRA,Angers,fr Ligue 1,27,"2,309",25.7,25,2,5,0,0,0,0,0,0,0,1267,1603,79,12,91,24,8,123,21008,8883,667,730,91.4,480,612,78.4,108,213,50.7,36,30,5,0,0,1,0,4,3,1,0,0,0,0,985,4045,2107,37,34,2,15,2,1099,103,20,10,50,10,50,42,27,23,17,2,30,63,47.6,33,23,2,21,35,77,61,0,13,11,54.2,DF
1417,Vitorino Hilton,"2,117",1,16,81.2,60.3,100,686,38,15,2020-2021,42,br BRA,Montpellier,fr Ligue 1,29,"2,117",23.5,24,5,3,0,1,1,0,0,0,0,868,1069,81.2,1,63,3,0,59,20759,9294,171,192,89.1,469,517,90.7,221,329,67.2,16,12,3,0,1,0,0,1,1,0,0,0,0,0,686,3195,1794,3,3,0,11,1,760,4,1,1,100,0,0,15,10,10,4,1,3,14,21.4,11,34,26,8,38,53,104,3,44,29,60.3,DF
1418,Thiago Mendes,"2,243",5,60,87.4,54.3,65.2,1007,39,37,2020-2021,28,br BRA,Lyon,fr Ligue 1,32,"2,243",24.9,23,9,1,0,1,1,0,0,0,0,1299,1486,87.4,24,181,23,2,179,22578,7882,601,650,92.5,484,535,90.5,148,207,71.5,60,54,0,1,2,1,2,5,5,0,0,0,0,0,1007,4044,1882,20,19,0,28,14,1174,26,23,15,65.2,8,34.8,37,22,13,20,4,18,38,47.4,20,33,7,26,39,76,21,2,25,21,54.3,MF
1419,Steven Nzonzi,"2,908",0,55,91.5,68.6,83.3,1917,16,34,2020-2021,31,fr FRA,Rennes,fr Ligue 1,34,"2,908",32.3,33,1,1,1,1,2,1,0,0,0,2662,2909,91.5,12,292,6,1,274,44183,13955,1299,1382,94,1098,1178,93.2,198,249,79.5,55,49,0,1,3,2,0,0,0,0,0,0,0,0,1917,7353,3646,45,44,3,11,8,2538,46,24,20,83.3,4,16.7,34,16,15,16,3,12,31,38.7,19,24,10,14,16,50,26,0,81,37,68.6,MF
1420,Adrien Thomasson,"2,624",10,89,76.1,27,51.1,785,22,36,2020-2021,26,fr FRA,Strasbourg,fr Ligue 1,37,"2,624",29.2,31,6,0,5,1,6,5,0,0,0,861,1132,76.1,36,70,23,5,99,13438,2933,451,550,82,296,374,79.1,68,97,70.1,89,63,1,8,9,6,2,10,5,0,3,1,1,0,785,3653,1315,37,24,9,73,47,991,159,47,24,51.1,23,48.9,36,17,8,16,12,12,58,20.7,46,44,5,39,22,58,2,0,24,65,27,"MF,FW"
