,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1811,Jón Daði Böðvarsson,"1,390",3,30,56.2,38.8,52.2,304,6,14,2020-2021,28,is ISL,Millwall,eng Championship,38,"1,390",15.4,13,25,6,1,2,3,1,0,0,0,218,388,56.2,9,25,5,2,31,2637,616,146,229,63.8,50,90,55.6,4,6,66.7,30,22,0,2,3,3,0,3,3,0,0,0,0,0,304,1451,489,17,14,8,65,26,433,102,23,12,52.2,11,47.8,14,9,1,13,0,2,8,25,6,11,1,10,6,20,8,0,93,147,38.8,FW
1812,Matt Penney,850,1,16,61.2,36,50,229,16,19,2020-2021,22,eng ENG,Sheffield Weds,eng Championship,12,850,9.4,10,2,22,0,0,0,0,0,0,0,227,371,61.2,7,17,5,3,19,3679,1374,119,145,82.1,75,129,58.1,21,57,36.8,16,11,4,0,1,0,0,1,1,0,0,0,0,0,229,1094,536,16,7,2,14,8,226,29,18,9,50,9,50,19,11,12,5,2,11,26,42.3,15,13,1,12,16,35,15,0,9,16,36,"DF,MF"
1813,Korey Smith,"2,559",6,46,78.2,34.7,34.8,693,13,34,2020-2021,29,eng ENG,Swansea City,eng Championship,37,"2,559",28.4,27,10,6,0,3,3,0,0,0,0,804,1028,78.2,19,67,26,2,121,12516,3354,435,500,87,284,347,81.8,54,111,48.6,46,41,0,0,1,3,1,6,5,0,0,0,1,0,693,2496,1022,19,17,7,28,16,800,76,23,8,34.8,15,65.2,34,19,17,14,3,13,27,48.1,14,23,4,19,13,47,32,0,26,49,34.7,MF
1814,Jason Knight,"3,581",2,71,77.5,46.5,56.1,1038,37,65,2020-2021,19,ie IRL,Derby County,eng Championship,43,"3,581",39.8,41,2,3,2,0,2,2,0,0,0,1125,1452,77.5,25,102,20,10,135,17140,3323,607,709,85.6,404,491,82.3,63,122,51.6,71,52,1,1,1,14,2,2,0,0,0,0,2,0,1038,5864,2501,67,52,11,88,40,1187,153,57,32,56.1,25,43.9,65,38,21,33,11,22,79,27.8,57,39,3,36,37,102,27,0,67,77,46.5,"MF,FW"
1815,Michael Smith,"3,130",8,77,54.7,54.4,55.9,696,10,19,2020-2021,28,eng ENG,Rotherham Utd,eng Championship,44,"3,130",34.8,34,10,2,10,3,13,9,1,3,2,539,986,54.7,34,45,28,8,66,7538,1944,345,555,62.2,140,254,55.1,28,62,45.2,77,53,0,2,10,11,1,8,6,0,0,1,0,1,696,3139,857,36,30,18,119,48,1094,238,34,19,55.9,15,44.1,19,12,4,10,5,5,23,21.7,18,28,2,26,10,29,28,0,306,256,54.4,FW
1816,Harvey Elliott,"2,753",19,138,73.6,22.2,57.1,1213,20,22,2020-2021,17,eng ENG,Blackburn,eng Championship,41,"2,753",30.6,31,10,0,7,11,18,7,0,0,0,1173,1593,73.6,68,134,72,8,222,21089,6115,526,622,84.6,442,584,75.7,166,290,57.2,138,105,12,9,7,4,1,19,15,1,3,0,0,0,1213,7181,3404,106,78,27,73,26,1416,211,63,36,57.1,27,42.9,22,13,7,11,4,10,35,28.6,25,27,1,26,20,42,15,2,8,28,22.2,"FW,MF"
1817,Clarke Oduor,558,1,10,68.8,15.4,60,165,9,15,2020-2021,21,ke KEN,Barnsley,eng Championship,11,558,6.2,5,6,33,0,0,0,0,0,0,0,203,295,68.8,2,8,0,0,12,3263,944,112,138,81.2,70,104,67.3,18,40,45,10,5,4,1,0,0,0,1,1,0,0,0,0,0,165,1046,461,15,6,2,13,5,165,30,25,15,60,10,40,15,8,7,7,1,5,12,41.7,7,10,2,8,9,24,15,0,2,11,15.4,"DF,MF"
1818,Ched Evans,"1,649",4,42,61.7,37.7,50,397,7,10,2020-2021,31,wls WAL,Preston,eng Championship,21,"1,649",18.3,19,2,2,5,1,6,5,0,1,1,287,465,61.7,18,31,9,1,50,3956,1064,184,253,72.7,65,108,60.2,22,35,62.9,42,27,0,1,4,10,0,4,3,0,0,0,1,0,397,1856,593,18,16,4,90,32,555,92,22,11,50,11,50,10,7,1,9,0,3,12,25,9,14,3,11,7,17,15,0,89,147,37.7,FW
1819,Ryan Nyambe,"2,985",6,63,80.4,52.8,37.3,884,46,65,2020-2021,22,na NAM,Blackburn,eng Championship,38,"2,985",33.2,33,5,5,0,4,4,0,0,0,0,1239,1541,80.4,27,66,25,7,77,17733,5281,750,829,90.5,404,509,79.4,49,120,40.8,63,53,1,4,0,4,1,6,6,0,0,0,0,0,884,4573,2233,69,54,13,44,26,1003,181,59,22,37.3,37,62.7,65,46,42,19,4,20,36,55.6,16,40,14,26,46,111,71,0,56,50,52.8,DF
1820,Liam Moore,"2,785",3,18,83.8,58.7,100,1133,28,22,2020-2021,27,jm JAM,Reading,eng Championship,32,"2,785",30.9,31,1,2,0,1,1,0,0,0,0,1394,1663,83.8,6,42,2,0,36,27946,9739,432,475,90.9,774,844,91.7,169,305,55.4,18,10,1,0,7,0,0,3,2,0,0,1,0,0,1133,5305,2539,7,2,1,17,1,1278,6,3,3,100,0,0,22,9,15,5,2,11,18,61.1,7,32,25,7,28,50,115,0,84,59,58.7,DF
