,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1211,Moussa Koné,"1,755",2,24,76.3,18,56.3,289,2,13,2020-2021,23,sn SEN,Nîmes,fr Ligue 1,33,"1,755",19.5,21,12,3,9,0,9,9,0,0,0,225,295,76.3,11,18,2,0,26,3579,522,98,130,75.4,91,105,86.7,17,24,70.8,24,12,0,1,3,7,1,2,0,0,1,0,1,0,289,1641,631,22,13,14,65,31,337,85,48,27,56.3,21,43.8,13,6,1,8,4,2,9,22.2,7,7,1,6,2,15,7,0,16,73,18,FW
1212,Daniel Congré,"3,292",2,19,86.4,63.4,66.7,979,69,59,2020-2021,35,fr FRA,Montpellier,fr Ligue 1,38,"3,292",36.6,38,0,0,2,0,2,2,0,0,0,1314,1521,86.4,4,86,2,0,101,26567,11032,426,472,90.3,685,753,91,191,267,71.5,19,12,1,0,5,0,1,2,1,0,0,1,0,0,979,4746,2768,26,6,1,15,3,1107,4,6,4,66.7,2,33.3,59,35,45,12,2,36,70,51.4,34,50,33,17,69,128,144,3,71,41,63.4,DF
1213,Aboubakar Kamara,557,1,19,71.2,41.7,53.3,141,0,3,2020-2021,25,mr MTN,Dijon,fr Ligue 1,10,557,6.2,7,3,0,1,0,1,1,0,0,0,104,146,71.2,7,6,3,3,7,1507,255,67,77,87,24,33,72.7,9,15,60,19,11,0,2,2,4,0,1,1,0,0,0,0,0,141,694,234,10,8,3,18,16,180,37,15,8,53.3,7,46.7,3,1,0,2,1,1,7,14.3,6,1,0,1,0,3,2,0,15,21,41.7,"FW,MF"
1214,Layvin Kurzawa,"1,278",2,21,85.1,69.8,63.6,620,28,26,2020-2021,27,fr FRA,Paris S-G,fr Ligue 1,19,"1,278",14.2,15,4,6,1,1,2,1,0,0,0,827,972,85.1,10,30,15,6,60,11368,3472,507,553,91.7,267,310,86.1,24,60,40,21,15,0,1,2,3,0,2,1,0,0,0,1,0,620,2466,1239,32,23,3,25,14,740,121,22,14,63.6,8,36.4,26,19,10,10,6,9,28,32.1,19,20,5,15,28,54,26,1,30,13,69.8,DF
1215,Álvaro González,"2,831",4,17,87.8,54.8,100,1384,33,26,2020-2021,30,es ESP,Marseille,fr Ligue 1,32,"2,831",31.5,32,0,0,2,3,5,2,0,0,0,1708,1946,87.8,5,101,2,0,122,33109,12985,581,616,94.3,911,987,92.3,188,294,63.9,17,12,1,0,1,2,1,4,1,0,0,1,1,1,1384,6879,4819,25,5,0,9,3,1578,4,3,3,100,0,0,26,17,20,6,0,19,31,61.3,12,30,18,12,33,59,119,1,46,38,54.8,DF
1216,Jonathan Ikone,"2,177",10,63,80,29.8,60.9,712,7,18,2020-2021,22,fr FRA,Lille,fr Ligue 1,37,"2,177",24.2,26,11,0,4,5,9,3,1,1,0,608,760,80,24,54,22,0,73,9085,2004,327,389,84.1,197,233,84.5,38,57,66.7,63,40,1,11,8,2,1,10,5,0,1,3,1,0,712,4495,2322,65,54,24,61,56,796,117,87,53,60.9,34,39.1,18,12,3,8,7,9,22,40.9,13,16,1,15,7,25,9,0,17,40,29.8,"MF,FW"
1217,Kylian Mbappé,"2,380",27,108,77.1,26.3,49.7,952,3,4,2020-2021,21,fr FRA,Paris S-G,fr Ligue 1,31,"2,380",26.4,27,4,0,27,7,34,21,6,6,0,789,1024,77.1,33,51,33,4,80,9441,1655,557,655,85,159,195,81.5,20,49,40.8,108,69,1,19,8,11,0,27,13,0,7,2,5,0,952,7200,3939,163,101,85,82,46,1188,345,181,90,49.7,91,50.3,4,2,0,1,3,2,9,22.2,7,7,1,6,3,7,4,1,5,14,26.3,FW
1218,Ander Herrera,"1,851",8,54,90.3,40,52.2,1205,31,53,2020-2021,30,es ESP,Paris S-G,fr Ligue 1,31,"1,851",20.6,18,13,1,1,3,4,1,0,0,0,1580,1750,90.3,24,185,22,3,171,22413,6708,917,972,94.3,506,552,91.7,70,104,67.3,54,51,1,0,0,1,1,8,8,0,0,0,0,0,1205,5119,2693,27,31,1,25,10,1579,57,23,12,52.2,11,47.8,53,35,17,26,10,30,77,39,47,31,5,26,31,84,22,1,8,12,40,MF
1219,Mauro Icardi,"1,079",6,24,78,57.7,60,116,3,6,2020-2021,27,ar ARG,Paris S-G,fr Ligue 1,20,"1,079",12,11,9,1,7,3,10,6,1,1,0,142,182,78,15,7,3,0,12,1713,385,93,111,83.8,27,37,73,5,6,83.3,24,15,0,1,4,4,0,6,3,0,0,1,2,0,116,411,180,3,3,1,13,7,178,46,5,3,60,2,40,6,2,1,2,3,4,13,30.8,9,3,1,2,3,9,7,0,15,11,57.7,FW
1220,Alexander Djiku,"2,552",0,22,83.9,59.6,83.3,918,91,60,2020-2021,25,gh GHA,Strasbourg,fr Ligue 1,30,"2,552",28.4,29,1,0,0,0,0,0,0,0,0,1134,1351,83.9,4,70,1,0,83,24532,9351,264,296,89.2,671,741,90.6,182,269,67.7,22,15,0,0,5,1,1,0,0,0,0,0,0,0,918,4598,2139,11,11,0,9,7,1022,7,6,5,83.3,1,16.7,60,41,45,13,2,32,52,61.5,20,28,10,18,91,151,104,0,53,36,59.6,"DF,MF"
