,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
1411,Riccardo Marchizza,"1,561",3,28,78.5,55,33.3,598,11,20,2020-2021,22,it ITA,Spezia,it Serie A,24,"1,561",17.3,17,7,7,0,2,2,0,0,0,0,761,969,78.5,15,35,11,8,45,14119,3434,317,340,93.2,336,398,84.4,91,174,52.3,28,17,11,0,0,0,0,3,2,1,0,0,0,0,598,3344,1521,33,20,6,23,8,671,84,18,6,33.3,12,66.7,20,11,12,5,3,12,21,57.1,9,13,4,9,11,31,27,0,22,18,55,DF
1412,José Luis Palomino,"2,428",3,16,81.9,56.7,100,982,79,67,2020-2021,30,ar ARG,Atalanta,it Serie A,36,"2,428",27,25,11,1,1,2,3,1,0,0,0,1273,1554,81.9,9,93,2,0,136,23856,8941,462,523,88.3,655,739,88.6,134,242,55.4,16,15,0,0,0,0,1,3,3,0,0,0,0,0,982,4780,2169,16,12,2,13,5,1026,14,2,2,100,0,0,67,33,41,19,7,24,48,50,24,30,16,14,79,146,60,2,59,45,56.7,DF
1413,Samir Santos,"2,216",0,25,86,60.5,75,896,58,40,2020-2021,25,br BRA,Udinese,it Serie A,30,"2,216",24.6,24,6,6,1,0,1,1,0,0,0,1132,1317,86,9,75,5,3,88,18965,7117,527,558,94.4,519,583,89,69,131,52.7,25,18,1,1,0,3,2,0,0,0,0,0,0,0,896,3762,2064,24,24,1,11,14,1038,23,8,6,75,2,25,40,23,26,12,2,13,29,44.8,16,33,17,16,58,98,60,1,49,32,60.5,DF
1414,Mattias Svanberg,"1,852",6,49,78.4,55.6,70,494,30,38,2020-2021,21,se SWE,Bologna,it Serie A,34,"1,852",20.6,24,10,1,5,2,7,5,0,0,0,512,653,78.4,15,51,18,0,88,8602,2821,245,293,83.6,212,248,85.5,40,59,67.8,49,34,1,4,5,3,2,6,5,0,1,0,0,0,494,2553,1331,32,26,3,24,18,562,35,30,21,70,9,30,38,17,21,9,8,16,45,35.6,29,25,4,21,30,68,25,1,20,16,55.6,MF
1415,Koffi Djidji,"1,524",1,9,80.1,55.1,63.6,485,28,39,2020-2021,27,ci CIV,Crotone,it Serie A,20,"1,524",16.9,16,4,8,1,0,1,1,0,0,0,606,757,80.1,4,42,2,0,56,10623,4354,259,289,89.6,286,330,86.7,49,105,46.7,9,9,0,0,0,0,0,1,1,0,0,0,0,0,485,2393,1383,17,13,0,13,10,538,15,11,7,63.6,4,36.4,39,28,30,8,1,10,20,50,10,35,20,15,28,67,73,0,27,22,55.1,DF
1416,Felipe Caicedo,929,2,28,70.9,52,47.4,206,4,10,2020-2021,31,ec ECU,Lazio,it Serie A,25,929,10.3,9,16,5,8,0,8,7,1,1,0,185,261,70.9,12,19,2,0,18,2235,479,128,160,80,33,53,62.3,7,9,77.8,28,17,1,5,2,2,1,2,1,0,1,0,0,0,206,794,346,6,7,2,27,6,298,57,19,9,47.4,10,52.6,10,7,4,4,2,1,8,12.5,7,7,0,7,4,14,2,0,26,24,52,FW
1417,Nicolas Nkoulou,"1,358",1,8,85.9,40.6,80,475,33,14,2020-2021,30,cm CMR,Torino,it Serie A,18,"1,358",15.1,16,2,14,1,0,1,1,0,0,0,619,721,85.9,2,25,1,0,25,12441,4303,200,215,93,337,363,92.8,81,130,62.3,8,7,0,0,0,0,1,1,1,0,0,0,0,0,475,2121,969,2,0,0,5,0,536,0,5,4,80,1,20,14,9,11,3,0,7,12,58.3,5,28,14,14,33,47,71,1,26,38,40.6,DF
1418,Riccardo Sottil,"1,184",4,40,73.6,20,67.8,374,5,7,2020-2021,21,it ITA,Cagliari,it Serie A,21,"1,184",13.2,12,9,1,2,1,3,2,0,0,0,281,382,73.6,16,19,18,4,47,4702,973,139,173,80.3,108,140,77.1,24,40,60,40,29,1,3,4,3,0,4,3,0,0,1,0,0,374,3993,2185,77,53,21,29,22,380,83,59,40,67.8,19,32.2,7,3,2,3,2,0,7,0,7,4,0,4,5,12,3,0,3,12,20,"FW,MF"
1419,Danilo,"2,916",5,66,88.1,60,88,1511,66,62,2020-2021,29,br BRA,Juventus,it Serie A,34,"2,916",32.4,32,2,3,1,4,5,1,0,0,0,2184,2479,88.1,25,220,35,14,240,39579,12379,873,937,93.2,1094,1196,91.5,191,271,70.5,66,61,1,1,2,1,0,5,5,0,0,0,0,0,1511,7130,4081,59,39,5,18,9,2011,55,25,22,88,3,12,62,31,37,16,9,35,66,53,31,32,12,20,66,128,68,2,30,20,60,"DF,MF"
1420,Giulio Maggiore,"2,214",4,35,69.2,48.4,45,624,19,61,2020-2021,22,it ITA,Spezia,it Serie A,33,"2,214",24.6,26,7,0,3,1,4,3,0,0,0,565,817,69.2,13,58,13,0,77,8648,2457,297,375,79.2,198,276,71.7,40,86,46.5,35,25,0,1,4,3,2,4,3,0,0,1,0,0,624,2851,1363,38,26,14,55,14,719,94,40,18,45,22,55,61,36,26,28,7,21,53,39.6,32,33,6,27,19,80,25,1,31,33,48.4,MF
