,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
10,Daniele Casiraghi,"2,896",17,139,69.8,25.5,38.5,1122,18,36,2023-2024,30,it ITA,Südtirol,it Serie B,36,"2,896",32.2,33,3,0,16,7,23,5,11,11,0,1010,1446,69.8,71,85,61,16,157,17373,5250,477,570,83.7,396,528,75,104,230,45.2,139,77,36,4,7,13,2,17,11,4,1,1,0,0,1122,6745,2971,99,80,21,89,72,1321,231,130,50,38.5,59,45.4,36,19,14,16,6,11,35,31.4,24,30,6,24,18,54,27,0,13,38,25.5,MF
11,Francesco Esposito,"1,786",5,49,59.7,46.2,31.8,339,5,8,2023-2024,18,it ITA,Spezia,it Serie B,38,"1,786",19.8,17,21,0,3,0,3,3,0,0,0,261,437,59.7,24,24,10,1,39,3237,676,169,254,66.5,65,113,57.5,8,13,61.5,49,32,0,2,7,7,1,5,2,0,0,3,0,0,339,1174,337,12,12,11,62,33,505,114,22,7,31.8,13,59.1,8,2,0,3,5,3,15,20,12,13,2,11,5,13,10,0,85,99,46.2,FW
12,Nicolò Bertola,"1,129",0,11,83.4,28.6,50,339,20,25,2023-2024,20,it ITA,Spezia,it Serie B,16,"1,129",12.5,13,3,18,1,0,1,1,0,0,0,471,565,83.4,6,18,2,0,35,8150,3637,212,228,93,210,232,90.5,40,89,44.9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,339,1702,848,6,2,1,12,2,402,2,8,4,50,1,12.5,25,12,19,6,0,10,19,52.6,9,20,9,11,20,45,37,0,8,20,28.6,DF
13,Gennaro Borrelli,"1,450",8,33,53.8,53.9,43.6,320,1,8,2023-2024,23,it ITA,Brescia,it Serie B,28,"1,450",16.1,16,12,1,9,2,11,8,1,1,0,157,292,53.8,12,10,1,0,19,2075,344,87,153,56.9,39,65,60,8,17,47.1,33,20,0,3,3,7,0,8,4,0,1,1,2,0,320,1439,483,10,14,5,61,32,428,66,39,17,43.6,18,46.2,8,5,3,3,2,4,10,40,6,11,2,9,1,9,23,0,83,71,53.9,FW
14,Frank Tsadjout,797,4,37,75.5,57.1,36.4,181,3,6,2023-2024,24,it ITA,Cremonese,it Serie B,22,797,8.9,6,16,10,1,2,3,1,0,0,0,163,216,75.5,20,10,6,3,14,2194,364,101,123,82.1,48,60,80,6,8,75,37,28,0,1,1,6,1,4,4,0,0,0,0,0,181,1054,346,12,15,8,30,12,263,61,11,4,36.4,5,45.5,6,5,3,3,0,0,4,0,4,4,0,4,3,9,12,0,40,30,57.1,"FW,MF"
15,Marco D'Alessandro,"1,516",6,52,74.7,25,43.9,449,9,13,2023-2024,32,it ITA,Pisa,it Serie B,23,"1,516",16.8,18,5,2,3,3,6,3,0,0,0,343,459,74.7,17,17,22,8,42,4890,1133,223,247,90.3,94,137,68.6,17,30,56.7,52,33,0,9,2,8,0,6,4,0,1,0,1,0,449,3559,1679,64,25,25,43,19,498,165,57,25,43.9,24,42.1,13,8,5,7,1,4,13,30.8,9,8,2,6,9,22,22,0,3,9,25,"FW,DF"
16,Mario Šitum,"2,013",5,49,83.8,46.7,42.4,861,21,24,2023-2024,31,hr CRO,Catanzaro,it Serie B,27,"2,013",22.4,23,4,1,0,3,3,0,0,0,0,1064,1270,83.8,25,63,29,20,79,18700,4268,458,501,91.4,468,531,88.1,110,176,62.5,49,42,2,3,0,1,1,5,5,0,0,0,0,0,861,5409,2760,60,52,5,34,8,943,84,33,14,42.4,12,36.4,24,12,14,8,2,17,19,89.5,2,20,9,11,21,45,59,0,14,16,46.7,DF
17,Marin Šverko,"2,479",4,29,83.3,59,63.6,1113,32,41,2023-2024,25,hr CRO,Venezia,it Serie B,33,"2,479",27.5,29,4,0,0,0,0,0,0,0,0,1457,1750,83.3,4,146,9,1,129,27644,10844,492,553,89,842,941,89.5,112,214,52.3,29,20,4,0,3,2,0,4,2,1,0,1,0,0,1113,5723,3346,30,18,2,13,3,1296,21,11,7,63.6,2,18.2,41,28,21,14,6,24,31,77.4,7,31,19,12,32,73,100,1,59,41,59,DF
18,Michael Venturi,"2,559",0,24,85.9,62,71.4,953,40,46,2023-2024,24,it ITA,Cosenza,it Serie B,30,"2,559",28.4,30,0,3,2,0,2,2,0,0,0,1272,1481,85.9,3,88,6,1,111,25705,8211,382,429,89,721,783,92.1,154,232,66.4,24,23,0,0,1,0,0,0,0,0,0,0,0,0,953,4775,2573,25,8,2,21,8,1062,4,7,5,71.4,1,14.3,46,30,25,19,2,15,39,38.5,24,38,22,16,40,86,147,2,62,38,62,DF
19,Muhamed Djamanca,588,3,13,73.2,28.1,42.9,158,1,6,2023-2024,25,gw GNB,Reggiana,it Serie B,25,588,6.5,2,23,7,0,1,1,0,0,0,0,101,138,73.2,3,5,4,2,10,1334,267,54,66,81.8,32,41,78,5,10,50,13,8,0,2,2,1,0,3,3,0,0,0,0,0,158,1272,585,29,13,11,24,14,164,57,28,12,42.9,13,46.4,6,4,3,2,1,3,7,42.9,4,8,1,7,1,7,0,0,9,23,28.1,"FW,MF"
