,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
165,David García,1,860,2017-2018,35,es ESP,Las Palmas,es La Liga,11,860,9.6,9,2,17,1,0,1,1,0,0,0,DF
166,Javi García,1,"2,410",2017-2018,30,es ESP,Betis,es La Liga,32,"2,410",26.8,27,5,2,1,0,1,1,0,0,0,"MF,DF"
167,Esteban Granero,1,"1,230",2017-2018,30,es ESP,Espanyol,es La Liga,25,"1,230",13.7,11,14,6,1,2,3,1,0,0,0,MF
168,Michael Krohn-Dehli,1,"1,264",2017-2018,34,dk DEN,2 Teams,es La Liga,24,"1,264",14,15,9,3,1,1,2,1,0,0,0,MF
169,Rubén Peña,1,"1,732",2017-2018,26,es ESP,Eibar,es La Liga,28,"1,732",19.2,18,10,10,1,0,1,1,0,0,0,"DF,MF"
170,Paul Baysse,1,"1,239",2017-2018,29,fr FRA,Málaga,es La Liga,15,"1,239",13.8,13,2,3,1,0,1,1,0,0,0,DF
171,Naranjo,1,562,2017-2018,23,es ESP,Leganés,es La Liga,16,562,6.2,6,10,11,1,0,1,1,0,0,0,"MF,FW"
172,Sergi Roberto,1,"2,225",2017-2018,25,es ESP,Barcelona,es La Liga,30,"2,225",24.7,24,6,0,1,7,8,1,0,0,0,DF
173,Raúl Albentosa,1,"1,748",2017-2018,28,es ESP,La Coruña,es La Liga,20,"1,748",19.4,19,1,8,1,0,1,1,0,0,0,DF
174,Anthony Lozano,1,471,2017-2018,24,hn HON,Girona,es La Liga,14,471,5.2,4,10,2,1,0,1,1,0,0,0,"FW,MF"
175,Gerard Deulofeu,1,503,2017-2018,23,es ESP,Barcelona,es La Liga,10,503,5.6,5,5,3,1,1,2,1,0,0,0,"MF,FW"
176,Nacho Vidal,1,447,2017-2018,22,es ESP,Valencia,es La Liga,7,447,5,5,2,14,1,0,1,1,0,0,0,DF
177,Iván Alejo,1,"1,102",2017-2018,22,es ESP,Eibar,es La Liga,22,"1,102",12.2,14,8,6,1,3,4,1,0,0,0,"MF,FW"
178,Samuel Umtiti,1,"2,189",2017-2018,23,fr FRA,Barcelona,es La Liga,25,"2,189",24.3,24,1,3,1,0,1,1,0,0,0,DF
179,Jesús Navas,1,"1,763",2017-2018,31,es ESP,Sevilla,es La Liga,26,"1,763",19.6,20,6,2,1,0,1,1,0,0,0,"FW,DF"
180,Gonzalo Escalante,1,"1,565",2017-2018,24,ar ARG,Eibar,es La Liga,28,"1,565",17.4,16,12,7,1,0,1,1,0,0,0,MF
181,Iñigo Martínez,1,"2,495",2017-2018,26,es ESP,2 Teams,es La Liga,28,"2,495",27.7,28,0,0,1,1,2,1,0,0,0,DF
182,Mathías Olivera,1,103,2017-2018,19,uy URU,Getafe,es La Liga,3,103,1.1,1,2,3,1,0,1,1,0,0,0,MF
183,Joaquín Correa,1,"1,193",2017-2018,22,ar ARG,Sevilla,es La Liga,21,"1,193",13.3,15,6,9,1,1,2,1,0,0,0,FW
184,Burgui,1,"1,034",2017-2018,23,es ESP,Alavés,es La Liga,23,"1,034",11.5,12,11,4,1,0,1,1,0,0,0,"MF,FW"
185,Sergio Postigo,1,"2,425",2017-2018,28,es ESP,Levante,es La Liga,30,"2,425",26.9,27,3,3,1,0,1,1,0,0,0,DF
186,Iñigo Córdoba,1,"1,459",2017-2018,20,es ESP,Athletic Club,es La Liga,30,"1,459",16.2,18,12,5,1,1,2,1,0,0,0,FW
187,Xabier Etxeita,1,376,2017-2018,29,es ESP,Athletic Club,es La Liga,5,376,4.2,5,0,23,1,0,1,1,0,0,0,DF
188,Diego González,1,"1,429",2017-2018,22,es ESP,Málaga,es La Liga,18,"1,429",15.9,17,1,11,1,0,1,1,0,0,0,DF
189,Martín Mantovani,1,"1,022",2017-2018,33,ar ARG,Leganés,es La Liga,14,"1,022",11.4,10,4,4,1,0,1,1,0,0,0,DF
190,Recio,1,"1,837",2017-2018,26,es ESP,Málaga,es La Liga,22,"1,837",20.4,21,1,0,1,2,3,0,1,1,0,MF
191,Mario Hermoso,1,"1,928",2017-2018,22,es ESP,Espanyol,es La Liga,22,"1,928",21.4,22,0,7,1,0,1,1,0,0,0,DF
192,Mauro Arambarri,1,"2,124",2017-2018,21,uy URU,Getafe,es La Liga,27,"2,124",23.6,26,1,0,1,1,2,1,0,0,0,MF
193,Francis Guerrero,1,993,2017-2018,21,es ESP,Betis,es La Liga,14,993,11,10,4,6,1,0,1,1,0,0,0,"DF,MF"
194,Sergio Busquets,1,"2,593",2017-2018,29,es ESP,Barcelona,es La Liga,31,"2,593",28.8,30,1,2,1,4,5,1,0,0,0,MF
195,Igor Zubeldia,1,"1,582",2017-2018,20,es ESP,Real Sociedad,es La Liga,25,"1,582",17.6,16,9,10,1,2,3,1,0,0,0,MF
196,Joseba Zaldúa,1,"2,557",2017-2018,25,es ESP,Leganés,es La Liga,30,"2,557",28.4,29,1,5,1,0,1,1,0,0,0,DF
197,Héctor Moreno,1,720,2017-2018,29,mx MEX,Real Sociedad,es La Liga,8,720,8,8,0,4,1,0,1,1,0,0,0,DF
198,Álvaro Jiménez,1,529,2017-2018,22,es ESP,Getafe,es La Liga,13,529,5.9,5,8,6,1,1,2,1,0,0,0,"MF,FW"
199,Luka Modrić,1,"1,970",2017-2018,31,hr CRO,Real Madrid,es La Liga,26,"1,970",21.9,23,3,5,1,6,7,1,0,0,0,MF
200,José Campaña,1,"2,734",2017-2018,24,es ESP,Levante,es La Liga,35,"2,734",30.4,33,2,1,1,4,5,1,0,0,0,MF
