,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
40,Jorge Molina,7,"2,786",2017-2018,35,es ESP,Getafe,es La Liga,36,"2,786",31,31,5,0,7,4,11,4,3,6,3,FW
41,Asier Illarramendi,7,"3,163",2017-2018,27,es ESP,Real Sociedad,es La Liga,36,"3,163",35.1,35,1,0,7,5,12,7,0,0,0,MF
42,Iñaki Williams,7,"2,851",2017-2018,23,gh GHA,Athletic Club,es La Liga,38,"2,851",31.7,31,7,0,7,6,13,7,0,0,0,"FW,MF"
43,Daniel Parejo,7,"3,001",2017-2018,28,es ESP,Valencia,es La Liga,34,"3,001",33.3,34,0,0,7,7,14,1,6,6,0,MF
44,Ibai Gómez,7,"2,319",2017-2018,27,es ESP,Alavés,es La Liga,34,"2,319",25.8,26,8,2,7,6,13,6,1,1,0,"MF,FW"
45,Isco,7,"1,774",2017-2018,25,es ESP,Real Madrid,es La Liga,30,"1,774",19.7,21,9,3,7,7,14,7,0,0,0,MF
46,Florin Andone,7,"1,636",2017-2018,24,ro ROU,La Coruña,es La Liga,29,"1,636",18.2,16,13,5,7,3,10,7,0,1,1,FW
47,Luis Muriel,7,"1,608",2017-2018,26,co COL,Sevilla,es La Liga,29,"1,608",17.9,17,12,7,7,1,8,7,0,0,0,FW
48,Samu Castillejo,6,"2,074",2017-2018,22,es ESP,Villarreal,es La Liga,30,"2,074",23,25,5,1,6,5,11,6,0,0,0,"MF,FW"
49,Joan Jordán,6,"2,427",2017-2018,23,es ESP,Eibar,es La Liga,35,"2,427",27,25,10,2,6,4,10,5,1,2,1,MF
50,Emmanuel Boateng,6,"1,276",2017-2018,21,gh GHA,Levante,es La Liga,25,"1,276",14.2,10,15,3,6,0,6,6,0,0,0,FW
51,Marco Asensio,6,"1,844",2017-2018,21,es ESP,Real Madrid,es La Liga,32,"1,844",20.5,19,13,3,6,6,12,6,0,0,0,"FW,MF"
52,Pablo Sarabia,6,"2,395",2017-2018,25,es ESP,Sevilla,es La Liga,34,"2,395",26.6,27,7,1,6,5,11,5,1,1,0,"FW,MF"
53,Enes Ünal,6,"1,723",2017-2018,20,tr TUR,2 Teams,es La Liga,30,"1,723",19.1,18,12,5,6,3,9,6,0,0,0,FW
54,Gabriel,5,"2,377",2017-2018,23,br BRA,Leganés,es La Liga,29,"2,377",26.4,28,1,1,5,2,7,4,1,1,0,MF
55,Juanpe,5,"3,065",2017-2018,26,es ESP,Girona,es La Liga,35,"3,065",34.1,34,1,2,5,1,6,5,0,0,0,DF
56,Casemiro,5,"2,595",2017-2018,25,br BRA,Real Madrid,es La Liga,30,"2,595",28.8,30,0,5,5,3,8,5,0,0,0,MF
57,Takashi Inui,5,"2,631",2017-2018,29,jp JPN,Eibar,es La Liga,34,"2,631",29.2,31,3,1,5,2,7,5,0,0,0,"MF,FW"
58,Toni Kroos,5,"2,261",2017-2018,27,de GER,Real Madrid,es La Liga,27,"2,261",25.1,26,1,2,5,7,12,5,0,0,0,MF
59,Karim Benzema,5,"2,150",2017-2018,29,fr FRA,Real Madrid,es La Liga,32,"2,150",23.9,25,7,0,5,10,15,3,2,2,0,FW
60,Nicola Sansone,5,635,2017-2018,25,it ITA,Villarreal,es La Liga,18,635,7.1,5,13,6,5,1,6,4,1,1,0,"FW,MF"
61,Fernando Torres,5,982,2017-2018,33,es ESP,Atlético Madrid,es La Liga,27,982,10.9,7,20,10,5,0,5,5,0,1,1,FW
62,Diego Rolán,5,"1,946",2017-2018,24,uy URU,Málaga,es La Liga,26,"1,946",21.6,21,5,0,5,0,5,5,0,0,0,"FW,MF"
63,Gonçalo Guedes,5,"2,439",2017-2018,20,pt POR,Valencia,es La Liga,33,"2,439",27.1,27,6,0,5,9,14,5,0,0,0,MF
64,Pione Sisto,5,"2,517",2017-2018,22,dk DEN,Celta Vigo,es La Liga,34,"2,517",28,31,3,3,5,10,15,5,0,0,0,"FW,MF"
65,Markel Bergara,4,"1,463",2017-2018,31,es ESP,Getafe,es La Liga,18,"1,463",16.3,18,0,0,4,1,5,4,0,0,0,MF
66,Youssef En-Nesyri,4,"1,596",2017-2018,20,ma MAR,Málaga,es La Liga,25,"1,596",17.7,16,9,3,4,0,4,4,0,1,1,FW
67,Sergio Ramos,4,"2,289",2017-2018,31,es ESP,Real Madrid,es La Liga,26,"2,289",25.4,26,0,0,4,1,5,2,2,3,1,DF
68,Franco Vázquez,4,"1,838",2017-2018,28,ar ARG,Sevilla,es La Liga,30,"1,838",20.4,22,8,4,4,6,10,4,0,0,0,MF
69,Joaquín,4,"2,479",2017-2018,36,es ESP,Betis,es La Liga,35,"2,479",27.5,29,6,0,4,7,11,4,0,0,0,"MF,FW"
70,Koke,4,"2,756",2017-2018,25,es ESP,Atlético Madrid,es La Liga,35,"2,756",30.6,33,2,0,4,4,8,4,0,0,0,MF
71,Cristian Tello,4,"1,693",2017-2018,25,es ESP,Betis,es La Liga,32,"1,693",18.8,16,16,2,4,3,7,4,0,0,0,"FW,MF"
72,Chory Castro,4,"2,061",2017-2018,32,uy URU,Málaga,es La Liga,26,"2,061",22.9,26,0,2,4,2,6,3,1,1,0,"MF,FW"
73,Sergio Canales,4,"1,928",2017-2018,26,es ESP,Real Sociedad,es La Liga,36,"1,928",21.4,20,16,1,4,5,9,4,0,0,0,"MF,FW"
74,Paco Alcácer,4,695,2017-2018,23,es ESP,Barcelona,es La Liga,17,695,7.7,8,9,11,4,3,7,4,0,0,0,"MF,FW"
75,Javier Eraso,4,"2,533",2017-2018,27,es ESP,Leganés,es La Liga,34,"2,533",28.1,31,3,2,4,3,7,4,0,0,0,"MF,FW"
76,Nolito,4,"1,600",2017-2018,30,es ESP,Sevilla,es La Liga,30,"1,600",17.8,17,13,3,4,5,9,4,0,1,1,"FW,MF"
77,Miguel Ángel Guerrero,4,"1,442",2017-2018,27,es ESP,Leganés,es La Liga,22,"1,442",16,15,7,2,4,3,7,4,0,1,1,FW
78,Iker Muniain,4,780,2017-2018,24,es ESP,Athletic Club,es La Liga,14,780,8.7,7,7,1,4,2,6,4,0,0,0,"MF,FW"
79,Geoffrey Kondogbia,4,"2,614",2017-2018,24,cf CTA,Valencia,es La Liga,31,"2,614",29,30,1,0,4,4,8,4,0,0,0,MF
80,Ivi,4,"1,762",2017-2018,23,es ESP,Levante,es La Liga,29,"1,762",19.6,17,12,3,4,3,7,3,1,1,0,"MF,FW"
81,Daniel Wass,4,"2,932",2017-2018,28,dk DEN,Celta Vigo,es La Liga,35,"2,932",32.6,34,1,0,4,8,12,4,0,0,0,"MF,DF"
82,Jonathan Viera,4,"1,993",2017-2018,27,es ESP,Las Palmas,es La Liga,23,"1,993",22.1,23,0,0,4,3,7,3,1,3,2,MF
83,Lucas Vázquez,4,"1,679",2017-2018,26,es ESP,Real Madrid,es La Liga,33,"1,679",18.7,16,17,5,4,7,11,4,0,0,0,"MF,FW"
84,Manu García,3,"2,439",2017-2018,31,es ESP,Alavés,es La Liga,30,"2,439",27.1,27,3,5,3,0,3,3,0,2,2,MF
85,Roger Martí,3,963,2017-2018,26,es ESP,Levante,es La Liga,17,963,10.7,10,7,2,3,2,5,2,1,1,0,FW
86,Rubén Sobrino,3,"1,466",2017-2018,25,es ESP,Alavés,es La Liga,28,"1,466",16.3,15,13,2,3,2,5,3,0,0,0,"FW,MF"
87,Nacho,3,"2,074",2017-2018,27,es ESP,Real Madrid,es La Liga,27,"2,074",23,22,5,6,3,0,3,3,0,0,0,DF
88,Borja Valle,3,486,2017-2018,25,es ESP,La Coruña,es La Liga,17,486,5.4,3,14,11,3,2,5,3,0,0,0,"FW,MF"
89,Adnan Januzaj,3,"1,573",2017-2018,22,be BEL,Real Sociedad,es La Liga,28,"1,573",17.5,18,10,3,3,5,8,3,0,0,0,FW
90,Michael Olunga,3,433,2017-2018,23,ke KEN,Girona,es La Liga,14,433,4.8,4,10,12,3,1,4,3,0,0,0,"FW,MF"
91,Clément Lenglet,3,"3,001",2017-2018,22,fr FRA,Sevilla,es La Liga,35,"3,001",33.3,33,2,1,3,1,4,3,0,0,0,DF
92,Thomas Partey,3,"2,377",2017-2018,24,gh GHA,Atlético Madrid,es La Liga,33,"2,377",26.4,28,5,2,3,0,3,3,0,0,0,"MF,DF"
