,,,,,,,,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,Total,,Short,,,Medium,,,Long,,,,SCA Types,,,,,,,GCA Types,,,,,,Carries,,,,,,,,Receiving,,Take-Ons,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Aerial Duels,,,
Rk,Player,Min,GCA,SCA,Cmp%,Won%,Succ%,Carries,Int,Tkl,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,3-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Won,Lost,Won%,Pos
2411,Corentin Jean,"1,688",5,57,65.6,31.9,64.7,444,14,12,2017-2018,22,fr FRA,Toulouse,fr Ligue 1,33,"1,688",18.8,18,15,3,1,2,3,1,0,0,0,343,523,65.6,26,25,20,12,41,5464,1682,190,238,79.8,99,155,63.9,38,83,45.8,57,30,10,7,1,9,0,5,2,1,0,0,2,0,444,2854,1536,53,30,9,20,23,447,150,34,22,64.7,12,35.3,12,8,4,7,1,5,21,23.8,16,14,1,13,14,26,10,0,15,32,31.9,"FW,MF"
2412,Florent Mollet,"1,412",5,48,80.4,20.8,56.8,589,11,25,2017-2018,25,fr FRA,Metz,fr Ligue 1,22,"1,412",15.7,16,6,5,7,1,8,6,1,1,0,577,718,80.4,20,74,6,3,65,10883,2527,255,285,89.5,227,270,84.1,88,136,64.7,48,26,9,6,3,4,0,5,3,0,1,1,0,0,589,3075,1240,35,24,9,38,23,619,97,37,21,56.8,16,43.2,25,18,10,12,3,3,25,12,22,8,1,7,11,36,8,0,5,19,20.8,"MF,FW"
2413,Fabinho,"3,060",18,92,85.6,67.6,72.5,1317,43,114,2017-2018,23,br BRA,Monaco,fr Ligue 1,34,"3,060",34,34,0,0,7,3,10,3,4,4,0,1715,2003,85.6,36,183,28,1,261,32666,9666,702,799,87.9,745,836,89.1,241,305,79,92,67,0,10,1,9,5,18,11,0,4,0,2,1,1317,6736,3776,64,39,10,24,21,1525,57,51,37,72.5,14,27.5,114,64,38,67,9,48,112,42.9,64,48,13,35,43,157,62,0,94,45,67.6,MF
2414,Assane Dioussé,"1,344",0,15,83.7,40,86.7,546,11,32,2017-2018,19,sn SEN,Saint-Étienne,fr Ligue 1,25,"1,344",14.9,17,8,12,1,0,1,1,0,0,0,733,876,83.7,8,66,4,0,93,13181,3705,327,362,90.3,296,333,88.9,90,130,69.2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,546,2341,1006,14,6,3,16,22,713,26,15,13,86.7,2,13.3,32,21,14,14,4,13,34,38.2,21,29,2,27,11,43,16,2,10,15,40,MF
2415,Steeve Yago,"1,577",0,24,77.7,57.1,43.8,399,34,49,2017-2018,24,bf BFA,Toulouse,fr Ligue 1,21,"1,577",17.5,16,5,11,0,0,0,0,0,0,0,570,734,77.7,6,54,10,4,67,9213,4743,324,373,86.9,188,236,79.7,47,97,48.5,24,17,3,0,0,3,1,0,0,0,0,0,0,0,399,1857,1059,19,19,1,18,13,378,28,16,7,43.8,9,56.3,49,36,28,17,4,20,37,54.1,17,16,7,9,34,83,64,1,16,12,57.1,DF
2416,Abdoulaye Bamba,"1,533",2,19,76.9,56.7,60,480,11,29,2017-2018,27,ci CIV,Angers,fr Ligue 1,18,"1,533",17,17,1,9,0,0,0,0,0,0,0,657,854,76.9,6,46,5,1,70,9646,4317,393,431,91.2,225,294,76.5,27,86,31.4,19,14,2,2,0,1,0,2,1,0,0,0,1,0,480,2127,1254,32,21,2,8,11,530,55,15,9,60,6,40,29,22,23,6,0,16,30,53.3,14,8,1,7,11,40,52,0,17,13,56.7,DF
2417,Suk Hyun-jun,"1,195",1,23,53.6,52.4,26.9,221,1,6,2017-2018,26,kr KOR,Troyes,fr Ligue 1,26,"1,195",13.3,13,13,3,6,0,6,6,0,0,0,170,317,53.6,12,9,4,1,17,1997,498,115,166,69.3,33,81,40.7,6,12,50,23,14,0,3,6,0,0,1,0,0,1,0,0,0,221,1242,470,25,12,10,46,19,368,84,26,7,26.9,19,73.1,6,5,2,2,2,1,9,11.1,8,10,0,10,1,7,7,0,75,68,52.4,FW
2418,Yeni Ngbakoto,576,1,14,66.7,31.6,27.3,149,9,11,2017-2018,25,cd COD,Guingamp,fr Ligue 1,16,576,6.4,4,12,1,3,0,3,2,1,1,0,130,195,66.7,2,8,6,3,12,1619,447,81,93,87.1,30,52,57.7,5,24,20.8,14,6,1,0,4,3,0,1,0,0,0,1,0,0,149,854,398,15,10,1,13,9,192,43,11,3,27.3,8,72.7,11,10,4,6,1,3,10,30,7,10,0,10,9,20,6,0,6,13,31.6,"FW,MF"
2419,Paul-Georges Ntep,511,2,18,65.6,38.5,66.7,148,3,14,2017-2018,25,cm CMR,Saint-Étienne,fr Ligue 1,13,511,5.7,5,8,0,1,0,1,1,0,0,0,126,192,65.6,6,8,11,1,23,2125,573,64,80,80,40,60,66.7,14,26,53.8,18,13,0,2,1,2,0,2,2,0,0,0,0,0,148,1017,531,19,8,2,16,7,203,58,21,14,66.7,7,33.3,14,8,8,5,1,8,17,47.1,9,4,1,3,3,17,4,0,5,8,38.5,"FW,MF"
2420,François Kamano,"2,014",7,62,77.1,33.3,48.9,751,15,32,2017-2018,21,gn GUI,Bordeaux,fr Ligue 1,35,"2,014",22.4,23,12,2,8,4,12,7,1,1,0,529,686,77.1,27,19,19,5,52,7079,1297,326,382,85.3,146,181,80.7,20,45,44.4,62,42,1,9,4,6,0,7,5,0,0,1,1,0,751,6011,3348,122,85,48,71,51,766,213,94,46,48.9,48,51.1,32,24,11,14,7,10,35,28.6,25,18,2,16,15,47,8,0,12,24,33.3,FW
