,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
382,Sandro Ramírez,0,717,2017-2018,22,es ESP,Sevilla,es La Liga,13,717,8,7,6,2,0,1,1,0,0,0,0,"FW,MF"
383,Rafa Navarro,0,134,2017-2018,23,es ESP,Betis,es La Liga,3,134,1.5,1,2,14,0,0,0,0,0,0,0,DF
384,Sergio Sánchez,0,101,2017-2018,31,es ESP,Espanyol,es La Liga,2,101,1.1,1,1,10,0,0,0,0,0,0,0,DF
385,Alberto de la Bella,0,"1,528",2017-2018,31,es ESP,Real Sociedad,es La Liga,17,"1,528",17,17,0,17,0,1,1,0,0,0,0,DF
386,Marlos Moreno,0,30,2017-2018,20,co COL,Girona,es La Liga,2,30,0.3,0,2,5,0,0,0,0,0,0,0,"MF,DF"
387,Matías Aguirregaray,0,"1,153",2017-2018,28,uy URU,Las Palmas,es La Liga,15,"1,153",12.8,14,1,2,0,0,0,0,0,0,0,DF
388,Guilherme,0,"2,639",2017-2018,26,br BRA,La Coruña,es La Liga,31,"2,639",29.3,31,0,1,0,0,0,0,0,0,0,MF
389,Daniel Torres,0,"1,217",2017-2018,27,co COL,Alavés,es La Liga,18,"1,217",13.5,14,4,17,0,0,0,0,0,0,0,MF
390,Nacho Gil,0,958,2017-2018,21,es ESP,2 Teams,es La Liga,20,958,10.6,10,10,10,0,1,1,0,0,0,0,"FW,MF"
391,Armando Sadiku,0,267,2017-2018,26,al ALB,Levante,es La Liga,6,267,3,4,2,3,0,0,0,0,0,0,0,FW
392,Hernán,0,351,2017-2018,26,es ESP,Las Palmas,es La Liga,7,351,3.9,4,3,5,0,0,0,0,0,0,0,MF
393,Ximo Navarro,0,"2,608",2017-2018,27,es ESP,Las Palmas,es La Liga,31,"2,608",29,29,2,4,0,1,1,0,0,0,0,DF
394,Toni Lato,0,797,2017-2018,19,es ESP,Valencia,es La Liga,16,797,8.9,9,7,19,0,1,1,0,0,0,0,"DF,MF"
395,Cristian Rivera,0,246,2017-2018,20,es ESP,Eibar,es La Liga,7,246,2.7,2,5,5,0,0,0,0,0,0,0,MF
396,Cifu,0,108,2017-2018,26,es ESP,Málaga,es La Liga,2,108,1.2,1,1,8,0,0,0,0,0,0,0,DF
397,Imoh Ezekiel,0,469,2017-2018,23,ng NGA,Las Palmas,es La Liga,10,469,5.2,5,5,2,0,0,0,0,0,0,0,"MF,FW"
398,Hernán Toledo,0,624,2017-2018,21,ar ARG,Las Palmas,es La Liga,15,624,6.9,6,9,6,0,1,1,0,0,0,0,"FW,MF"
399,Barri,0,113,2017-2018,21,es ESP,Getafe,es La Liga,2,113,1.3,1,1,2,0,0,0,0,0,0,0,"MF,FW"
400,Momo,0,673,2017-2018,35,es ESP,Las Palmas,es La Liga,13,673,7.5,8,5,6,0,1,1,0,0,0,0,"FW,MF"
