,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
242,Tomás Pina Isla,1,"2,387",2017-2018,29,es ESP,Alavés,es La Liga,30,"2,387",26.5,28,2,5,1,0,1,1,0,0,0,MF
243,Rubén Rochina,1,151,2017-2018,26,es ESP,Levante,es La Liga,5,151,1.7,1,4,3,1,0,1,1,0,0,0,"MF,DF"
244,Ermedin Demirović,1,182,2017-2018,19,ba BIH,Alavés,es La Liga,3,182,2,2,1,5,1,1,2,1,0,0,0,FW
245,Tana,1,"1,552",2017-2018,26,es ESP,Las Palmas,es La Liga,24,"1,552",17.2,16,8,1,1,1,2,1,0,0,0,"MF,FW"
246,David López,1,"3,330",2017-2018,27,es ESP,Espanyol,es La Liga,37,"3,330",37,37,0,0,1,1,2,1,0,0,0,"DF,MF"
247,José María Giménez,1,"1,690",2017-2018,22,uy URU,Atlético Madrid,es La Liga,23,"1,690",18.8,17,6,8,1,1,2,1,0,0,0,DF
248,Kévin Rodrigues,1,"1,635",2017-2018,23,pt POR,Real Sociedad,es La Liga,20,"1,635",18.2,18,2,9,1,2,3,1,0,0,0,DF
249,Brown Ideye,1,733,2017-2018,28,ng NGA,Málaga,es La Liga,13,733,8.1,8,5,0,1,0,1,1,0,0,0,FW
250,Guido Pizarro,1,"1,755",2017-2018,27,ar ARG,Sevilla,es La Liga,24,"1,755",19.5,19,5,9,1,0,1,1,0,0,0,MF
251,Aïssa Mandi,1,"3,024",2017-2018,25,dz ALG,Betis,es La Liga,34,"3,024",33.6,34,0,2,1,0,1,1,0,0,0,DF
252,Rodrigo Ely,1,"2,691",2017-2018,23,br BRA,Alavés,es La Liga,31,"2,691",29.9,30,1,1,1,0,1,1,0,0,0,DF
253,Carlos Soler,1,"2,365",2017-2018,20,es ESP,Valencia,es La Liga,33,"2,365",26.3,27,6,0,1,4,5,1,0,0,0,MF
254,Manuel Iturra,0,"1,583",2017-2018,33,cl CHI,Málaga,es La Liga,20,"1,583",17.6,18,2,0,0,0,0,0,0,0,0,MF
255,Nemanja Maksimović,0,557,2017-2018,22,rs SRB,Valencia,es La Liga,15,557,6.2,6,9,16,0,0,0,0,0,0,0,MF
256,Aythami Artiles,0,184,2017-2018,31,es ESP,Las Palmas,es La Liga,3,184,2,2,1,4,0,0,0,0,0,0,0,DF
257,Marcos Llorente,0,546,2017-2018,22,es ESP,Real Madrid,es La Liga,13,546,6.1,5,8,10,0,0,0,0,0,0,0,MF
258,Luis Hernández,0,"3,240",2017-2018,28,es ESP,Málaga,es La Liga,36,"3,240",36,36,0,0,0,1,1,0,0,0,0,DF
